study_id,experiment,participant,age_in_years,sex,species,trial,condition,response
buttelmann2017great,1,sandra,17,f,chimpanzee,1,false_belief,box_with_object
buttelmann2017great,1,sandra,17,f,chimpanzee,2,false_belief,box_with_object
buttelmann2017great,1,sandra,17,f,chimpanzee,3,false_belief,box_with_object
buttelmann2017great,1,sandra,17,f,chimpanzee,4,false_belief,empty_box
buttelmann2017great,1,sandra,17,f,chimpanzee,5,false_belief,box_with_object
buttelmann2017great,1,sandra,17,f,chimpanzee,6,false_belief,box_with_object
buttelmann2017great,1,pia,11,f,chimpanzee,1,false_belief,box_with_object
buttelmann2017great,1,pia,11,f,chimpanzee,2,false_belief,empty_box
buttelmann2017great,1,pia,11,f,chimpanzee,3,false_belief,box_with_object
buttelmann2017great,1,pia,11,f,chimpanzee,4,false_belief,box_with_object
buttelmann2017great,1,pia,11,f,chimpanzee,5,false_belief,box_with_object
buttelmann2017great,1,pia,11,f,chimpanzee,6,false_belief,box_with_object
buttelmann2017great,1,alex,10,m,chimpanzee,1,false_belief,box_with_object
buttelmann2017great,1,alex,10,m,chimpanzee,2,false_belief,box_with_object
buttelmann2017great,1,alex,10,m,chimpanzee,3,false_belief,box_with_object
buttelmann2017great,1,alex,10,m,chimpanzee,4,false_belief,box_with_object
buttelmann2017great,1,alex,10,m,chimpanzee,5,false_belief,box_with_object
buttelmann2017great,1,alex,10,m,chimpanzee,6,false_belief,box_with_object
buttelmann2017great,1,annett,11,f,chimpanzee,1,false_belief,
buttelmann2017great,1,annett,11,f,chimpanzee,2,false_belief,
buttelmann2017great,1,annett,11,f,chimpanzee,3,false_belief,empty_box
buttelmann2017great,1,annett,11,f,chimpanzee,4,false_belief,box_with_object
buttelmann2017great,1,annett,11,f,chimpanzee,5,false_belief,
buttelmann2017great,1,annett,11,f,chimpanzee,6,false_belief,
buttelmann2017great,1,lobo,6,m,chimpanzee,1,false_belief,box_with_object
buttelmann2017great,1,lobo,6,m,chimpanzee,2,false_belief,box_with_object
buttelmann2017great,1,lobo,6,m,chimpanzee,3,false_belief,empty_box
buttelmann2017great,1,lobo,6,m,chimpanzee,4,false_belief,box_with_object
buttelmann2017great,1,lobo,6,m,chimpanzee,5,false_belief,box_with_object
buttelmann2017great,1,lobo,6,m,chimpanzee,6,false_belief,empty_box
buttelmann2017great,1,robert,35,m,chimpanzee,1,false_belief,box_with_object
buttelmann2017great,1,robert,35,m,chimpanzee,2,false_belief,box_with_object
buttelmann2017great,1,robert,35,m,chimpanzee,3,false_belief,empty_box
buttelmann2017great,1,robert,35,m,chimpanzee,4,false_belief,box_with_object
buttelmann2017great,1,robert,35,m,chimpanzee,5,false_belief,box_with_object
buttelmann2017great,1,robert,35,m,chimpanzee,6,false_belief,empty_box
buttelmann2017great,1,kofi,5,m,chimpanzee,1,false_belief,box_with_object
buttelmann2017great,1,kofi,5,m,chimpanzee,2,false_belief,box_with_object
buttelmann2017great,1,kofi,5,m,chimpanzee,3,false_belief,box_with_object
buttelmann2017great,1,kofi,5,m,chimpanzee,4,false_belief,empty_box
buttelmann2017great,1,kofi,5,m,chimpanzee,5,false_belief,box_with_object
buttelmann2017great,1,kofi,5,m,chimpanzee,6,false_belief,box_with_object
buttelmann2017great,1,natascha,30,f,chimpanzee,1,false_belief,box_with_object
buttelmann2017great,1,natascha,30,f,chimpanzee,2,false_belief,box_with_object
buttelmann2017great,1,natascha,30,f,chimpanzee,3,false_belief,box_with_object
buttelmann2017great,1,natascha,30,f,chimpanzee,4,false_belief,
buttelmann2017great,1,natascha,30,f,chimpanzee,5,false_belief,box_with_object
buttelmann2017great,1,natascha,30,f,chimpanzee,6,false_belief,
buttelmann2017great,1,kara,5,f,chimpanzee,1,false_belief,empty_box
buttelmann2017great,1,kara,5,f,chimpanzee,2,false_belief,empty_box
buttelmann2017great,1,kara,5,f,chimpanzee,3,false_belief,box_with_object
buttelmann2017great,1,kara,5,f,chimpanzee,4,false_belief,empty_box
buttelmann2017great,1,kara,5,f,chimpanzee,5,false_belief,box_with_object
buttelmann2017great,1,kara,5,f,chimpanzee,6,false_belief,empty_box
buttelmann2017great,1,alexandra,11,f,chimpanzee,1,false_belief,
buttelmann2017great,1,alexandra,11,f,chimpanzee,2,false_belief,box_with_object
buttelmann2017great,1,alexandra,11,f,chimpanzee,3,false_belief,box_with_object
buttelmann2017great,1,alexandra,11,f,chimpanzee,4,false_belief,box_with_object
buttelmann2017great,1,alexandra,11,f,chimpanzee,5,false_belief,box_with_object
buttelmann2017great,1,alexandra,11,f,chimpanzee,6,false_belief,box_with_object
buttelmann2017great,1,patrick,13,m,chimpanzee,1,false_belief,empty_box
buttelmann2017great,1,patrick,13,m,chimpanzee,2,false_belief,box_with_object
buttelmann2017great,1,patrick,13,m,chimpanzee,3,false_belief,box_with_object
buttelmann2017great,1,patrick,13,m,chimpanzee,4,false_belief,box_with_object
buttelmann2017great,1,patrick,13,m,chimpanzee,5,false_belief,box_with_object
buttelmann2017great,1,patrick,13,m,chimpanzee,6,false_belief,empty_box
buttelmann2017great,1,dorien,30,f,chimpanzee,1,true_belief,empty_box
buttelmann2017great,1,dorien,30,f,chimpanzee,2,true_belief,empty_box
buttelmann2017great,1,dorien,30,f,chimpanzee,3,true_belief,empty_box
buttelmann2017great,1,dorien,30,f,chimpanzee,4,true_belief,empty_box
buttelmann2017great,1,dorien,30,f,chimpanzee,5,true_belief,empty_box
buttelmann2017great,1,dorien,30,f,chimpanzee,6,true_belief,
buttelmann2017great,1,frodo,17,m,chimpanzee,1,true_belief,empty_box
buttelmann2017great,1,frodo,17,m,chimpanzee,2,true_belief,box_with_object
buttelmann2017great,1,frodo,17,m,chimpanzee,3,true_belief,empty_box
buttelmann2017great,1,frodo,17,m,chimpanzee,4,true_belief,
buttelmann2017great,1,frodo,17,m,chimpanzee,5,true_belief,empty_box
buttelmann2017great,1,frodo,17,m,chimpanzee,6,true_belief,
buttelmann2017great,1,jahaga,18,f,chimpanzee,1,true_belief,box_with_object
buttelmann2017great,1,jahaga,18,f,chimpanzee,2,true_belief,box_with_object
buttelmann2017great,1,jahaga,18,f,chimpanzee,3,true_belief,
buttelmann2017great,1,jahaga,18,f,chimpanzee,4,true_belief,box_with_object
buttelmann2017great,1,jahaga,18,f,chimpanzee,5,true_belief,box_with_object
buttelmann2017great,1,jahaga,18,f,chimpanzee,6,true_belief,box_with_object
buttelmann2017great,1,ulla,33,f,chimpanzee,1,true_belief,box_with_object
buttelmann2017great,1,ulla,33,f,chimpanzee,2,true_belief,box_with_object
buttelmann2017great,1,ulla,33,f,chimpanzee,3,true_belief,box_with_object
buttelmann2017great,1,ulla,33,f,chimpanzee,4,true_belief,box_with_object
buttelmann2017great,1,ulla,33,f,chimpanzee,5,true_belief,
buttelmann2017great,1,ulla,33,f,chimpanzee,6,true_belief,empty_box
buttelmann2017great,1,lome,9,m,chimpanzee,1,true_belief,box_with_object
buttelmann2017great,1,lome,9,m,chimpanzee,2,true_belief,box_with_object
buttelmann2017great,1,lome,9,m,chimpanzee,3,true_belief,box_with_object
buttelmann2017great,1,lome,9,m,chimpanzee,4,true_belief,empty_box
buttelmann2017great,1,lome,9,m,chimpanzee,5,true_belief,box_with_object
buttelmann2017great,1,lome,9,m,chimpanzee,6,true_belief,box_with_object
buttelmann2017great,1,fraukje,34,f,chimpanzee,1,true_belief,empty_box
buttelmann2017great,1,fraukje,34,f,chimpanzee,2,true_belief,empty_box
buttelmann2017great,1,fraukje,34,f,chimpanzee,3,true_belief,empty_box
buttelmann2017great,1,fraukje,34,f,chimpanzee,4,true_belief,
