study_id,participant,sex,species,session,trial,condition,first_task,received_preexperience_during_this_study,preexperience_with_raking_tools_during_previous_studies,condition_basket_fixed,time_until_success_excluding_time_when_subject_was_not_interacting_with_material_apparatus_in_seconds,duration_probing_with_unmodified_tool_in_seconds,duration_of_probing_with_functional_modified_tool_in_seconds,duration_of_probing_with_modified_non_functional_tool_in_seconds,latency_between_start_and_first_modification_wire_in_seconds,tool_crafting_time_excluding_interruptions_in_seconds,place_of_modification,technique_used,tool_turned_around,how_often_tool_turned_around,string_touched,duration_of_string_manipulation_in_seconds,wire_inserted_in_wrong_tube,duration_of_wrong_insertion_in_seconds,string_inserted,duration_of_string_insertion_in_seconds,latency_between_start_and_first_touch_wire_in_seconds
laumer2018spontaneous,padana,f,orangutan,2,4,bending_task,bending,no,no,no,139.681,0.0,81.323,6.97900000000001,7.472,5.27999999999998,at_apparatus,r,yes,4.0,no,0.0,no,0.0,0,0.0,6.032
laumer2018spontaneous,padana,f,orangutan,2,5,bending_task,bending,no,no,no,21.84,0.0,7.739,0.0,3.231,2.77,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.161
laumer2018spontaneous,padana,f,orangutan,2,6,bending_task,bending,no,no,no,25.079,0.0,11.998,0.0,3.601,3.724,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,1.683
laumer2018spontaneous,padana,f,orangutan,2,7,bending_task,bending,no,no,no,25.921,0.940000000000005,10.319,0.0,10.679,2.881,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,1.2
laumer2018spontaneous,padana,f,orangutan,2,8,bending_task,bending,no,no,no,11.04,0.0,0.542999999999999,0.0,4.441,2.271,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,1.441
laumer2018spontaneous,padana,f,orangutan,2,9,bending_task,bending,no,no,no,12.119,0.0,4.2,0.0,4.447,1.908,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.054
laumer2018spontaneous,padana,f,orangutan,2,10,bending_task,bending,no,no,no,39.0,0.0,22.079,0.0,4.079,4.56100000000001,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.001
laumer2018spontaneous,pini,f,orangutan,1,1,bending_task,bending,no,yes,no,104.041,0.0,25.114,11.039,22.68,32.519,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,19.919
laumer2018spontaneous,pini,f,orangutan,1,2,bending_task,bending,no,yes,no,346.8,0.0,113.323,66.798,7.201,44.2340000000001,at_apparatus_then_elsewhere,r,no,0.0,no,0.0,no,0.0,0,0.0,5.041
laumer2018spontaneous,pini,f,orangutan,1,3,bending_task,bending,no,yes,no,102.36,0.0,37.558,18.24,8.759,10.439,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,5.76
laumer2018spontaneous,pini,f,orangutan,1,4,bending_task,bending,no,yes,no,80.641,0.0,49.478,9.96,7.919,11.604,at_apparatus,r,no,0.0,yes,2.28,no,0.0,0,0.0,3.96
laumer2018spontaneous,pini,f,orangutan,1,5,bending_task,bending,no,yes,no,171.841,0.0,1.40400000000002,129.599,8.04,20.2,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,5.52
laumer2018spontaneous,pini,f,orangutan,1,6,bending_task,bending,no,yes,no,663.126,130.199,34.519,38.998,150.713,9.88999999999999,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,1.915
laumer2018spontaneous,pini,f,orangutan,1,7,bending_task,bending,no,yes,no,301.08,37.56,32.278,118.436,45.24,6.36100000000005,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.721
laumer2018spontaneous,pini,f,orangutan,1,8,bending_task,bending,no,yes,no,305.221,73.083,70.44,39.121,139.68,15.479,at_apparatus,r,no,0.0,yes,3.359,no,0.0,0,0.0,4.56
laumer2018spontaneous,pini,f,orangutan,1,9,bending_task,bending,no,yes,no,27.962,0.0,10.441,0.0,11.401,2.716,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.6
laumer2018spontaneous,pini,f,orangutan,1,10,bending_task,bending,no,yes,no,33.96,0.0,29.04,0.0,6.718,0.841000000000001,at_apparatus,r,yes,1.0,yes,1.32,no,0.0,0,0.0,3.6
laumer2018spontaneous,pini,f,orangutan,2,1,bending_task,bending,no,yes,no,314.882,69.72,117.082,0.0,104.879,17.562,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,9.358
laumer2018spontaneous,pini,f,orangutan,2,2,bending_task,bending,no,yes,no,316.68,40.559,146.279,0.0,66.601,14.278,at_apparatus,q_r,no,0.0,no,2.519,no,0.0,0,0.0,5.401
laumer2018spontaneous,pini,f,orangutan,2,3,bending_task,bending,no,yes,no,432.481,6.881,72.0009999999999,114.243,16.8,22.203,at_apparatus,r_q,no,0.0,no,0.0,no,0.0,0,0.0,4.32
laumer2018spontaneous,pini,f,orangutan,2,4,bending_task,bending,no,yes,no,340.201,70.439,46.677,73.195,80.356,36.562,at_apparatus,r,no,0.0,yes,5.28000000000003,no,0.0,0,0.0,4.396
laumer2018spontaneous,pini,f,orangutan,2,5,bending_task,bending,no,yes,no,492.601,0.0,231.485,74.115,22.559,35.698,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,19.799
laumer2018spontaneous,pini,f,orangutan,2,6,bending_task,bending,no,yes,no,224.88,73.357,29.16,0.0,194.639,3.24100000000001,at_apparatus,r,no,0.0,yes,45.483,no,0.0,0,0.0,4.44
