study_id,participant,sex,species,session,trial,condition,first_task,received_preexperience_during_this_study,preexperience_with_raking_tools_during_previous_studies,condition_basket_fixed,time_until_success_excluding_time_when_subject_was_not_interacting_with_material_apparatus_in_seconds,duration_probing_with_unmodified_tool_in_seconds,duration_of_probing_with_functional_modified_tool_in_seconds,duration_of_probing_with_modified_non_functional_tool_in_seconds,latency_between_start_and_first_modification_wire_in_seconds,tool_crafting_time_excluding_interruptions_in_seconds,place_of_modification,technique_used,tool_turned_around,how_often_tool_turned_around,string_touched,duration_of_string_manipulation_in_seconds,wire_inserted_in_wrong_tube,duration_of_wrong_insertion_in_seconds,string_inserted,duration_of_string_insertion_in_seconds,latency_between_start_and_first_touch_wire_in_seconds
laumer2018spontaneous,pini,f,orangutan,1,1,unbending_task,bending,no,,,27.005,0.0,17.641,0.0,5.041,2.76,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.956
laumer2018spontaneous,pini,f,orangutan,1,2,unbending_task,bending,no,,,121.44,0.0,89.828,0.0,6.6,5.642,at_apparatus,r_v,no,0.0,no,0.0,no,0.0,0,0.0,4.801
laumer2018spontaneous,pini,f,orangutan,1,3,unbending_task,bending,no,,,15.285,0.0,11.325,0.0,5.28,1.201,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,4.081
laumer2018spontaneous,pini,f,orangutan,1,4,unbending_task,bending,no,,,113.16,0.0,71.832,0.0,4.921,1.438,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.041
laumer2018spontaneous,pini,f,orangutan,1,5,unbending_task,bending,no,,,27.23,0.0,18.39,0.0,4.919,0.959999999999997,at_apparatus,v,no,0.0,no,0.0,no,0.0,0,0.0,2.52
laumer2018spontaneous,pini,f,orangutan,1,6,unbending_task,bending,no,,,41.811,0.0,19.561,0.0,4.434,6.846,at_apparatus,s_r,no,0.0,no,0.0,no,0.0,0,0.0,2.52
laumer2018spontaneous,pini,f,orangutan,1,7,unbending_task,bending,no,,,31.108,0.0,19.92,0.0,7.199,2.28,at_apparatus,v,no,0.0,no,0.0,no,0.0,0,0.0,3.72
laumer2018spontaneous,pini,f,orangutan,1,8,unbending_task,bending,no,,,68.64,0.0,45.0,0.0,4.439,0.961000000000002,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.0
laumer2018spontaneous,pini,f,orangutan,1,9,unbending_task,bending,no,,,69.393,0.0,51.599,0.0,4.799,0.756,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.24
laumer2018spontaneous,pini,f,orangutan,1,10,unbending_task,bending,no,,,16.919,0.0,7.319,0.0,8.76,2.88,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,4.201
laumer2018spontaneous,pini,f,orangutan,2,1,unbending_task,bending,no,,,61.297,0.0,38.647,0.0,5.184,3.667,at_apparatus,r_s,no,0.0,no,0.0,no,0.0,0,0.0,3.271
laumer2018spontaneous,pini,f,orangutan,2,2,unbending_task,bending,no,,,39.04,0.0,14.1,0.0,6.446,10.45,at_apparatus,r_s,no,0.0,no,0.0,no,0.0,0,0.0,4.01
laumer2018spontaneous,pini,f,orangutan,2,3,unbending_task,bending,no,,,43.167,0.0,23.864,0.0,6.25,1.887,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.091
laumer2018spontaneous,pini,f,orangutan,2,4,unbending_task,bending,no,,,27.32,0.0,13.077,0.0,4.56,0.602,at_apparatus,v,no,0.0,no,0.0,no,0.0,0,0.0,3.338
laumer2018spontaneous,pini,f,orangutan,2,5,unbending_task,bending,no,,,50.558,0.0,29.403,0.0,4.123,5.28899999999999,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.406
laumer2018spontaneous,pini,f,orangutan,2,6,unbending_task,bending,no,,,44.221,0.0,35.614,0.0,4.461,3.014,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.315
laumer2018spontaneous,pini,f,orangutan,2,7,unbending_task,bending,no,,,39.765,0.0,15.621,0.0,4.47,1.241,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.687
laumer2018spontaneous,pini,f,orangutan,2,8,unbending_task,bending,no,,,56.957,0.0,30.553,0.0,5.571,1.572,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.777
laumer2018spontaneous,pini,f,orangutan,2,9,unbending_task,bending,no,,,115.284,0.0,57.475,0.0,3.753,1.85000000000001,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.284
laumer2018spontaneous,pini,f,orangutan,2,10,unbending_task,bending,no,,,44.547,0.0,23.767,0.0,5.412,1.713,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.852
laumer2018spontaneous,raja,f,orangutan,1,1,unbending_task,unbending,no,,,546.26,0.0,40.097,55.919,4.68,24.241,at_apparatus,q_r,yes,36.361,no,0.0,yes,19.801,0,0.0,2.88
laumer2018spontaneous,raja,f,orangutan,1,2,unbending_task,unbending,no,,,339.359,0.0,62.875,0.0,8.398,109.325,at_apparatus,s_r_q,yes,8.03999999999999,no,0.0,yes,7.92,0,0.0,1.56
laumer2018spontaneous,raja,f,orangutan,1,3,unbending_task,unbending,no,,,51.832,0.0,6.593,2.76,4.8,16.681,at_apparatus,s_r,yes,18.24,no,0.0,no,0.0,0,0.0,1.681
laumer2018spontaneous,raja,f,orangutan,2,1,unbending_task,unbending,no,,,497.243,0.0,105.735,0.0,37.199,57.956,at_apparatus,r_v,no,0.0,yes,180.361,no,0.0,0,0.0,34.919
laumer2018spontaneous,raja,f,orangutan,2,2,unbending_task,unbending,no,,,58.696,0.0,21.618,0.0,12.719,5.983,at_apparatus,r,no,0.0,yes,3.24,no,0.0,0,0.0,5.04
laumer2018spontaneous,raja,f,orangutan,2,3,unbending_task,unbending,no,,,204.393,0.0,145.916,0.0,14.04,13.799,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,4.08
laumer2018spontaneous,raja,f,orangutan,2,4,unbending_task,unbending,no,,,61.468,0.0,41.548,0.0,3.479,6.839,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.03999999999999
laumer2018spontaneous,raja,f,orangutan,2,5,unbending_task,unbending,no,,,59.11,0.0,41.403,0.0,3.48099999999999,2.878,at_apparatus,v_r,no,0.0,no,0.0,no,0.0,0,0.0,1.442
laumer2018spontaneous,raja,f,orangutan,2,6,unbending_task,unbending,no,,,61.08,0.0,42.84,0.0,5.279,4.44,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.999
laumer2018spontaneous,raja,f,orangutan,2,7,unbending_task,unbending,no,,,59.611,0.0,24.721,0.0,1.799,25.199,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,1.08
laumer2018spontaneous,raja,f,orangutan,2,8,unbending_task,unbending,no,,,158.04,0.0,82.615,0.0,3.119,23.64,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,1.2
laumer2018spontaneous,raja,f,orangutan,2,9,unbending_task,unbending,no,,,74.52,0.0,29.879,0.0,4.321,17.51,at_apparatus,v_r,no,0.0,no,0.0,no,0.0,0,0.0,2.521
laumer2018spontaneous,raja,f,orangutan,2,10,unbending_task,unbending,no,,,79.632,0.0,39.715,0.0,18.719,10.805,at_apparatus,r_v,no,0.0,no,0.0,no,0.0,0,0.0,15.12
laumer2018spontaneous,raja,f,orangutan,3,1,unbending_task,unbending,no,,,60.031,0.0,29.684,0.0,6.72,5.51599999999999,at_apparatus,r_v,no,0.0,no,0.0,no,0.0,0,0.0,3.721
laumer2018spontaneous,raja,f,orangutan,3,2,unbending_task,unbending,no,,,38.16,0.0,16.801,0.0,4.235,13.762,at_apparatus,r_v,no,0.0,no,0.0,no,0.0,0,0.0,2.52
laumer2018spontaneous,raja,f,orangutan,3,3,unbending_task,unbending,no,,,30.802,0.0,15.84,0.0,3.359,1.08,at_apparatus,r,no,0.0,yes,3.994,no,0.0,0,0.0,2.078
laumer2018spontaneous,raja,f,orangutan,3,4,unbending_task,unbending,no,,,157.791,0.0,106.192,0.0,10.095,21.836,,r_v,no,0.0,no,0.0,no,0.0,0,0.0,7.934
laumer2018spontaneous,raja,f,orangutan,3,5,unbending_task,unbending,no,,,55.971,0.0,34.25,0.0,3.841,3.24,at_apparatus,v,no,0.0,no,0.0,no,0.0,0,0.0,2.641
laumer2018spontaneous,raja,f,orangutan,3,6,unbending_task,unbending,no,,,56.876,0.0,36.715,0.0,4.561,3.002,at_apparatus,v,no,0.0,no,0.0,no,0.0,0,0.0,2.042
laumer2018spontaneous,raja,f,orangutan,3,7,unbending_task,unbending,no,,,80.798,0.0,47.638,0.0,3.626,8.03400000000001,at_apparatus,r_v,no,0.0,no,0.0,no,0.0,0,0.0,2.546
laumer2018spontaneous,raja,f,orangutan,3,8,unbending_task,unbending,no,,,190.071,0.0,23.966,0.0,8.023,2.956,at_apparatus,r,no,0.0,yes,6.60900000000001,no,0.0,0,0.0,1.557
laumer2018spontaneous,raja,f,orangutan,3,9,unbending_task,unbending,no,,,36.566,0.0,18.874,0.0,2.582,3.98,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,1.001
laumer2018spontaneous,raja,f,orangutan,3,10,unbending_task,unbending,no,,,17.514,0.0,61.8340000000001,0.0,121.391,12.542,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,117.655
laumer2018spontaneous,dokana,f,orangutan,1,1,unbending_task,unbending,no,,,51.973,0.0,37.689,0.0,17.879,2.0,at_apparatus,s,no,0.0,yes,6.365,no,0.0,0,0.0,12.958
laumer2018spontaneous,dokana,f,orangutan,1,2,unbending_task,unbending,no,,,25.42,0.0,17.5,0.0,2.639,2.04,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,2.639
laumer2018spontaneous,dokana,f,orangutan,1,3,unbending_task,unbending,no,,,31.92,0.0,22.319,0.0,9.359,3.361,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,3.119
laumer2018spontaneous,dokana,f,orangutan,1,4,unbending_task,unbending,no,,,36.24,0.0,23.214,0.0,5.88,10.146,at_apparatus,s_v,no,0.0,no,0.0,no,0.0,0,0.0,3.0
laumer2018spontaneous,dokana,f,orangutan,1,5,unbending_task,unbending,no,,,20.51,0.0,5.63,0.0,11.041,8.28,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,4.441
laumer2018spontaneous,dokana,f,orangutan,1,6,unbending_task,unbending,no,,,32.284,0.0,17.881,0.0,17.715,1.497,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,4.809
laumer2018spontaneous,dokana,f,orangutan,1,7,unbending_task,unbending,no,,,25.733,0.0,17.094,0.0,10.08,1.558,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,2.999
laumer2018spontaneous,dokana,f,orangutan,1,8,unbending_task,unbending,no,,,67.14,0.0,55.56,0.0,7.801,14.28,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,1.262
laumer2018spontaneous,dokana,f,orangutan,1,9,unbending_task,unbending,no,,,97.932,0.0,52.795,0.0,8.64,17.641,at_apparatus,s_q,no,0.0,no,0.0,no,0.0,0,0.0,2.628
laumer2018spontaneous,dokana,f,orangutan,1,10,unbending_task,unbending,no,,,96.965,0.0,54.953,0.0,7.921,15.839,at_apparatus,s_q,no,0.0,no,0.0,no,0.0,0,0.0,0.835000000000001
laumer2018spontaneous,dokana,f,orangutan,2,1,unbending_task,unbending,no,,,35.552,0.0,20.791,0.0,5.761,3.839,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,2.4
laumer2018spontaneous,dokana,f,orangutan,2,2,unbending_task,unbending,no,,,30.894,0.0,16.023,0.0,8.4,4.555,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,2.765
laumer2018spontaneous,dokana,f,orangutan,2,3,unbending_task,unbending,no,,,62.52,0.0,27.6,0.0,7.681,20.039,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,2.64
laumer2018spontaneous,dokana,f,orangutan,2,4,unbending_task,unbending,no,,,27.835,0.0,14.633,0.0,11.639,1.319,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,3.839
laumer2018spontaneous,dokana,f,orangutan,2,5,unbending_task,unbending,no,,,51.839,0.0,29.115,0.0,8.173,2.909,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,3.001
laumer2018spontaneous,dokana,f,orangutan,2,6,unbending_task,unbending,no,,,44.4,0.0,21.359,0.0,10.317,6.843,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,6.84
laumer2018spontaneous,dokana,f,orangutan,2,7,unbending_task,unbending,no,,,39.12,0.0,12.599,0.0,11.641,9.279,at_apparatus,s_v,no,0.0,no,0.0,no,0.0,0,0.0,2.88
laumer2018spontaneous,dokana,f,orangutan,2,8,unbending_task,unbending,no,,,179.28,0.0,95.751,0.0,9.6,8.51999999999999,at_apparatus,s_v,no,0.0,no,0.0,no,0.0,0,0.0,2.52
laumer2018spontaneous,dokana,f,orangutan,2,9,unbending_task,unbending,no,,,23.28,0.0,8.039,0.0,7.68,6.0,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,2.4
laumer2018spontaneous,dokana,f,orangutan,2,10,unbending_task,unbending,no,,,25.909,0.0,12.469,0.0,6.359,4.56,at_apparatus,v,no,0.0,no,0.0,no,0.0,0,0.0,4.8
laumer2018spontaneous,bimbo,m,orangutan,1,1,unbending_task,unbending,yes,,,53.79,0.0,43.698,0.0,7.491,6.67800000000001,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,4.077
laumer2018spontaneous,bimbo,m,orangutan,1,2,unbending_task,unbending,yes,,,87.076,0.0,29.043,17.683,8.77,22.032,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,3.934
laumer2018spontaneous,bimbo,m,orangutan,1,3,unbending_task,unbending,yes,,,20.16,0.0,10.41,0.0,6.489,3.444,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,2.573
laumer2018spontaneous,bimbo,m,orangutan,1,4,unbending_task,unbending,yes,,,129.952,0.0,76.495,0.0,11.685,30.918,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,3.077
laumer2018spontaneous,bimbo,m,orangutan,1,5,unbending_task,unbending,yes,,,53.16,0.0,36.72,0.0,10.836,6.406,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,3.122
laumer2018spontaneous,bimbo,m,orangutan,1,6,unbending_task,unbending,yes,,,61.519,0.0,30.082,0.0,10.572,12.655,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,2.928
laumer2018spontaneous,bimbo,m,orangutan,1,7,unbending_task,unbending,yes,,,105.876,0.0,71.968,0.0,9.115,6.409,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,3.014
laumer2018spontaneous,bimbo,m,orangutan,1,8,unbending_task,unbending,yes,,,111.284,0.0,35.977,23.563,11.529,7.60700000000001,at_apparatus,s_v,no,0.0,no,0.0,no,0.0,0,0.0,2.355
laumer2018spontaneous,bimbo,m,orangutan,1,9,unbending_task,unbending,yes,,,55.603,0.0,25.148,0.0,20.999,8.035,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,3.594
laumer2018spontaneous,bimbo,m,orangutan,1,10,unbending_task,unbending,yes,,,39.426,0.0,29.31,0.0,8.41,1.993,at_apparatus,v,no,0.0,no,0.0,no,0.0,0,0.0,2.504
laumer2018spontaneous,bimbo,m,orangutan,2,1,unbending_task,unbending,yes,,,57.12,0.0,34.543,0.0,14.201,9.721,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,4.281
laumer2018spontaneous,bimbo,m,orangutan,2,2,unbending_task,unbending,yes,,,144.676,0.0,12.28,35.683,6.938,16.596,at_apparatus,v_s,no,0.0,no,0.0,no,0.0,0,0.0,3.214
laumer2018spontaneous,bimbo,m,orangutan,2,3,unbending_task,unbending,yes,,,44.11,0.0,36.448,0.0,8.394,2.343,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,3.075
laumer2018spontaneous,bimbo,m,orangutan,2,4,unbending_task,unbending,yes,,,24.077,0.0,14.196,0.0,7.33,4.93,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,2.379
laumer2018spontaneous,bimbo,m,orangutan,2,5,unbending_task,unbending,yes,,,40.49,0.0,26.772,0.0,10.313,2.046,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,2.589
laumer2018spontaneous,bimbo,m,orangutan,2,6,unbending_task,unbending,yes,,,19.528,0.0,6.814,0.0,8.595,6.946,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,2.827
laumer2018spontaneous,bimbo,m,orangutan,2,7,unbending_task,unbending,yes,,,51.08,0.0,38.402,0.0,8.691,2.964,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,4.091
laumer2018spontaneous,bimbo,m,orangutan,2,8,unbending_task,unbending,yes,,,33.038,0.0,13.235,0.0,8.411,14.435,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,3.043
laumer2018spontaneous,bimbo,m,orangutan,2,9,unbending_task,unbending,yes,,,24.595,0.0,17.976,0.0,8.04,1.904,at_apparatus,s,no,0.0,no,0.0,no,0.0,0,0.0,3.325
laumer2018spontaneous,bimbo,m,orangutan,2,10,unbending_task,unbending,yes,,,102.132,0.0,43.33,15.83,13.334,20.166,at_apparatus,s_v,no,0.0,no,0.0,no,0.0,0,0.0,3.1
