study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,trial,condition,spitting,latency_first_spit/water,number_of_spits,success,latency_success
hanus2011comparing,2,,,,ikuru,10.0,10,f,chimpanzee,,dry       ,0,,0,0,
hanus2011comparing,2,,,,ikuru,10.0,10,f,chimpanzee,,wet2      ,0,,0,0,
hanus2011comparing,2,2005,10,12,indi,9.0,9,m,chimpanzee,1,dry       ,1,295,1,0,
hanus2011comparing,2,2005,10,13,indi,9.0,9,m,chimpanzee,2,dry       ,1,98,1,0,
hanus2011comparing,2,2005,10,14,indi,9.0,9,m,chimpanzee,3,dry       ,1,115,1,0,
hanus2011comparing,2,2005,10,15,indi,9.0,9,m,chimpanzee,4,dry       ,0,,0,0,
hanus2011comparing,2,2005,10,16,indi,9.0,9,m,chimpanzee,5,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,17,indi,9.0,9,m,chimpanzee,6,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,18,indi,9.0,9,m,chimpanzee,7,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,19,indi,9.0,9,m,chimpanzee,8,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,20,indi,9.0,9,m,chimpanzee,9,wet       ,0,,0,0,
hanus2011comparing,2,,,,isabella,6.0,6,f,orangutan,,dry       ,0,,0,0,
hanus2011comparing,2,,,,janu,6.0,6,m,orangutan,,wet       ,0,,0,0,
hanus2011comparing,2,,,,jecky,6.0,6,m,orangutan,,wet       ,0,,0,0,
hanus2011comparing,2,2005,08,14,jidan,6.0,6,m,orangutan,1,dry       ,1,135,11,0,
hanus2011comparing,2,2005,08,14,jidan,6.0,6,m,orangutan,2,dry       ,1,166,0,0,
hanus2011comparing,2,2005,08,15,jidan,6.0,6,m,orangutan,3,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,15,jidan,6.0,6,m,orangutan,4,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,16,jidan,6.0,6,m,orangutan,5,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,16,jidan,6.0,6,m,orangutan,6,dry       ,0,,3,0,
hanus2011comparing,2,2005,08,17,jidan,6.0,6,m,orangutan,7,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,17,jidan,6.0,6,m,orangutan,8,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,18,jidan,6.0,6,m,orangutan,9,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,18,jidan,6.0,6,m,orangutan,10,dry       ,0,,0,0,
hanus2011comparing,2,2005,06,27,kalema,18.0,9,m,chimpanzee,1,wet       ,0,,0,0,
hanus2011comparing,2,2005,06,27,kalema,18.0,9,m,chimpanzee,2,wet       ,1,380,1,0,
hanus2011comparing,2,2005,06,28,kalema,18.0,9,m,chimpanzee,3,wet       ,1,276,1,0,
hanus2011comparing,2,2005,06,28,kalema,18.0,9,m,chimpanzee,4,wet       ,1,309,1,0,
hanus2011comparing,2,2008,06,29,kalema,18.0,9,m,chimpanzee,5,wet       ,1,43,1,0,
hanus2011comparing,2,2008,06,29,kalema,18.0,9,m,chimpanzee,6,wet       ,1,249,1,0,
hanus2011comparing,2,2005,10,10,katie,18.0,18,f,chimpanzee,1,wet       ,1,533,2,1,618
hanus2011comparing,2,2005,10,11,katie,18.0,18,f,chimpanzee,2,wet       ,1,353,5,0,
hanus2011comparing,2,2005,10,12,katie,18.0,18,f,chimpanzee,3,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,13,katie,18.0,18,f,chimpanzee,4,wet       ,0,,0,0,
