study_id,experiment,experiment_name,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,cond,juice_side,indicated,group_original,block,target_position,target_given_at,order,first_item_returned,second_item_returned,third_item_returned,fourth_item_returned,fifth_item_returned
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,patrick,,13.0,m,chimpanzee,,4,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,patrick,,13.0,m,chimpanzee,,5,air,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,patrick,,13.0,m,chimpanzee,,6,water,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,patrick,,13.0,m,chimpanzee,,7,air,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,patrick,,13.0,m,chimpanzee,,8,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,robert,,34.0,m,chimpanzee,,1,air,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,robert,,34.0,m,chimpanzee,,2,water,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,robert,,34.0,m,chimpanzee,,3,air,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,robert,,34.0,m,chimpanzee,,4,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,robert,,34.0,m,chimpanzee,,5,air,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,robert,,34.0,m,chimpanzee,,6,water,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,robert,,34.0,m,chimpanzee,,7,air,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,robert,,34.0,m,chimpanzee,,8,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,natascha,,30.0,f,chimpanzee,,1,air,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,natascha,,30.0,f,chimpanzee,,2,water,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,natascha,,30.0,f,chimpanzee,,3,air,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,natascha,,30.0,f,chimpanzee,,4,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,natascha,,30.0,f,chimpanzee,,5,air,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,natascha,,30.0,f,chimpanzee,,6,water,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,natascha,,30.0,f,chimpanzee,,7,air,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,natascha,,30.0,f,chimpanzee,,8,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,riet,,32.0,f,chimpanzee,,1,air,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,riet,,32.0,f,chimpanzee,,2,water,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,riet,,32.0,f,chimpanzee,,3,air,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,riet,,32.0,f,chimpanzee,,4,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,riet,,32.0,f,chimpanzee,,5,air,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,riet,,32.0,f,chimpanzee,,6,water,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,riet,,32.0,f,chimpanzee,,7,air,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,riet,,32.0,f,chimpanzee,,8,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,dorien,,29.0,f,chimpanzee,,1,air,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,dorien,,29.0,f,chimpanzee,,2,water,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,dorien,,29.0,f,chimpanzee,,3,air,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,dorien,,29.0,f,chimpanzee,,4,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,dorien,,29.0,f,chimpanzee,,5,air,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,dorien,,29.0,f,chimpanzee,,6,water,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,dorien,,29.0,f,chimpanzee,,7,air,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,dorien,,29.0,f,chimpanzee,,8,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,frodo,,16.0,m,chimpanzee,,3,air,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,frodo,,16.0,m,chimpanzee,,4,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,frodo,,16.0,m,chimpanzee,,1,air,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,frodo,,16.0,m,chimpanzee,,2,water,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,frodo,,16.0,m,chimpanzee,,5,air,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,frodo,,16.0,m,chimpanzee,,6,water,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,frodo,,16.0,m,chimpanzee,,7,air,r,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_pretest,2010,10,5,frodo,,16.0,m,chimpanzee,,8,water,l,juice,,,,,,,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,6,fraukje,34.5,34.0,f,chimpanzee,1.0,1,weight,,,1.0,1.0,2.0,4.0,5342,5,3,4,2,
hanus2011chimpanzee,2,exchange_test,2010,10,6,fraukje,34.5,34.0,f,chimpanzee,1.0,2,weight,,,1.0,1.0,5.0,2.0,45,4,5,,,
hanus2011chimpanzee,2,exchange_test,2010,10,6,fraukje,34.5,34.0,f,chimpanzee,1.0,3,weight,,,1.0,1.0,4.0,2.0,34,3,4,,,
hanus2011chimpanzee,2,exchange_test,2010,10,6,fraukje,34.5,34.0,f,chimpanzee,1.0,4,weight,,,1.0,1.0,3.0,3.0,423,4,2,3,,
hanus2011chimpanzee,2,exchange_test,2010,10,7,fraukje,34.5,34.0,f,chimpanzee,2.0,5,weight,,,1.0,1.0,1.0,4.0,3451,3,4,5,1,
hanus2011chimpanzee,2,exchange_test,2010,10,7,fraukje,34.5,34.0,f,chimpanzee,2.0,6,weight,,,1.0,1.0,4.0,1.0,4,4,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,7,fraukje,34.5,34.0,f,chimpanzee,2.0,7,weight,,,1.0,1.0,1.0,4.0,3421,3,4,2,1,
hanus2011chimpanzee,2,exchange_test,2010,10,7,fraukje,34.5,34.0,f,chimpanzee,2.0,8,weight,,,1.0,1.0,5.0,3.0,435,4,3,5,,
hanus2011chimpanzee,2,exchange_test,2010,10,8,fraukje,34.5,34.0,f,chimpanzee,3.0,9,weight,,,1.0,1.0,3.0,1.0,3,3,,,,
