column_name,description
study_id,personal study ID composed by the first authors’ first surname_year of publication_first title word 
experiment,number of experiment from publication 
experiment_name,name of data subset – novel_object_test
year,year the data point was obtained  
participant,name of the participant 
age_in_years,age presented in years – see metadata for source of age 
sex,sex of the participant 
species,species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan 
session,set of trials - mostly occurring on the same day - usually numerical 
period,test period containing different test sessions and which was repeated within 60 days
latency_to_reach_or_touch,latency in second it took participant to touch or reach an object
duration_of_action_with_object,duration of any activities directed to the object
