"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – hidden_food_test "
"year","year the data point was obtained  "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"period","test period containing different test sessions and which was repeated within 60 days"
"activity","activity the participant did – rest (1)/move(2)/locate(3)/food item (0) control item -involved entering cage- therefore no activity recording"
"latency_to_reach_or_touch","latency in seconds it took participant to find each item"
"not_found_or_taken","not found items assigned to 600 seconds "
"percentage_items_found","the percentage of items that were found by the participant "
"food_item", type and location of hidden food  (0 = grape in the middle of the floor)
