study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,duration_occupied
uher2008coherence,1,button_box_test,2005,n’diki,27.0,f,gorilla,6.0,2.0,49.2
uher2008coherence,1,button_box_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,1.0,87.48
uher2008coherence,1,button_box_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,1.0,53.8
uher2008coherence,1,button_box_test,2005,ruby_b'windi,7.0,f,gorilla,3.0,1.0,86.84
uher2008coherence,1,button_box_test,2005,ruby_b'windi,7.0,f,gorilla,4.0,2.0,87.36
uher2008coherence,1,button_box_test,2005,ruby_b'windi,7.0,f,gorilla,5.0,2.0,100.4
uher2008coherence,1,button_box_test,2005,ruby_b'windi,7.0,f,gorilla,6.0,2.0,111.52
uher2008coherence,1,button_box_test,2005,viringika,9.0,f,gorilla,1.0,1.0,86.96
uher2008coherence,1,button_box_test,2005,viringika,9.0,f,gorilla,2.0,1.0,77.04
uher2008coherence,1,button_box_test,2005,viringika,9.0,f,gorilla,3.0,1.0,57.44
uher2008coherence,1,button_box_test,2005,viringika,9.0,f,gorilla,4.0,2.0,65.56
uher2008coherence,1,button_box_test,2005,viringika,9.0,f,gorilla,5.0,2.0,21.4
uher2008coherence,1,button_box_test,2005,viringika,9.0,f,gorilla,6.0,2.0,51.4
uher2008coherence,1,button_box_test,2005,dokana,16.0,f,orangutan,1.0,1.0,122.04
uher2008coherence,1,button_box_test,2005,dokana,16.0,f,orangutan,2.0,1.0,69.52
uher2008coherence,1,button_box_test,2005,dokana,16.0,f,orangutan,3.0,1.0,132.8
uher2008coherence,1,button_box_test,2005,dokana,16.0,f,orangutan,4.0,2.0,107.88
uher2008coherence,1,button_box_test,2005,dokana,16.0,f,orangutan,5.0,2.0,30.08
uher2008coherence,1,button_box_test,2005,dokana,16.0,f,orangutan,6.0,2.0,70.92
uher2008coherence,1,button_box_test,2005,dunja,31.0,f,orangutan,1.0,1.0,187.08
uher2008coherence,1,button_box_test,2005,dunja,31.0,f,orangutan,2.0,1.0,167.08
uher2008coherence,1,button_box_test,2005,dunja,31.0,f,orangutan,3.0,1.0,174.2
uher2008coherence,1,button_box_test,2005,dunja,31.0,f,orangutan,4.0,2.0,213.44
uher2008coherence,1,button_box_test,2005,dunja,31.0,f,orangutan,5.0,2.0,170.56
uher2008coherence,1,button_box_test,2005,dunja,31.0,f,orangutan,6.0,2.0,149.04
uher2008coherence,1,button_box_test,2005,padana,7.0,f,orangutan,1.0,1.0,120.48
uher2008coherence,1,button_box_test,2005,padana,7.0,f,orangutan,2.0,1.0,161.28
uher2008coherence,1,button_box_test,2005,padana,7.0,f,orangutan,3.0,1.0,112.28
uher2008coherence,1,button_box_test,2005,padana,7.0,f,orangutan,4.0,2.0,50.6
uher2008coherence,1,button_box_test,2005,padana,7.0,f,orangutan,5.0,2.0,96.52
uher2008coherence,1,button_box_test,2005,padana,7.0,f,orangutan,6.0,2.0,34.44
uher2008coherence,1,button_box_test,2005,pini,16.0,f,orangutan,1.0,1.0,168.44
uher2008coherence,1,button_box_test,2005,pini,16.0,f,orangutan,2.0,1.0,152.72
uher2008coherence,1,button_box_test,2005,pini,16.0,f,orangutan,3.0,1.0,30.56
uher2008coherence,1,button_box_test,2005,pini,16.0,f,orangutan,4.0,2.0,153.56
uher2008coherence,1,button_box_test,2005,pini,16.0,f,orangutan,5.0,2.0,0.0
uher2008coherence,1,button_box_test,2005,pini,16.0,f,orangutan,6.0,2.0,44.68
