"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – food_competition_test"
"year","year the data point was obtained  "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"role","role of the participant – focal_participant"
"participant_2","name of the participant_2"
"sex_2","sex of the participant_2"
"role_2","role of the participant_2 – opponent"
"dyad","name of the two ape participants that compose the dyad "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the ape participants - usually numerical "
"period","test period containing different test sessions and which was repeated within 60 days"
"successful_reaching","whether participants successfully reached the box"
"entered_or_not","whether the participants entered the the box or not"
"fight_with_fingers_in_box","whether the participants had fight with fingers inside the box -  noted only when both apes had a hand in the box"
"latency_to_reach_or_touch","latency in seconds to reach box till 10cm before splitter "
