study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,duration
uher2008coherence,7,honey_grid_test,2005,n’diki,27.0,f,gorilla,3.0,1.0,291.16
uher2008coherence,7,honey_grid_test,2005,n’diki,27.0,f,gorilla,4.0,2.0,299.12
uher2008coherence,7,honey_grid_test,2005,n’diki,27.0,f,gorilla,5.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,n’diki,27.0,f,gorilla,6.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,1.0,249.68
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,1.0,279.96
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,3.0,1.0,287.64
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,4.0,2.0,299.72
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,5.0,2.0,289.6
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,6.0,2.0,278.04
uher2008coherence,7,honey_grid_test,2005,viringika,9.0,f,gorilla,1.0,1.0,241.24
uher2008coherence,7,honey_grid_test,2005,viringika,9.0,f,gorilla,2.0,1.0,298.64
uher2008coherence,7,honey_grid_test,2005,viringika,9.0,f,gorilla,3.0,1.0,299.52
uher2008coherence,7,honey_grid_test,2005,viringika,9.0,f,gorilla,4.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,viringika,9.0,f,gorilla,5.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,viringika,9.0,f,gorilla,6.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,dokana,16.0,f,orangutan,1.0,1.0,300.0
uher2008coherence,7,honey_grid_test,2005,dokana,16.0,f,orangutan,2.0,1.0,300.0
uher2008coherence,7,honey_grid_test,2005,dokana,16.0,f,orangutan,3.0,1.0,300.0
uher2008coherence,7,honey_grid_test,2005,dokana,16.0,f,orangutan,4.0,2.0,299.56
uher2008coherence,7,honey_grid_test,2005,dokana,16.0,f,orangutan,5.0,2.0,
uher2008coherence,7,honey_grid_test,2005,dokana,16.0,f,orangutan,6.0,2.0,299.76
uher2008coherence,7,honey_grid_test,2005,dunja,31.0,f,orangutan,1.0,1.0,210.88
uher2008coherence,7,honey_grid_test,2005,dunja,31.0,f,orangutan,2.0,1.0,278.6
uher2008coherence,7,honey_grid_test,2005,dunja,31.0,f,orangutan,3.0,1.0,299.32
uher2008coherence,7,honey_grid_test,2005,dunja,31.0,f,orangutan,4.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,dunja,31.0,f,orangutan,5.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,dunja,31.0,f,orangutan,6.0,2.0,292.2
uher2008coherence,7,honey_grid_test,2005,padana,7.0,f,orangutan,1.0,1.0,278.32
uher2008coherence,7,honey_grid_test,2005,padana,7.0,f,orangutan,2.0,1.0,254.64
uher2008coherence,7,honey_grid_test,2005,padana,7.0,f,orangutan,3.0,1.0,286.6
uher2008coherence,7,honey_grid_test,2005,padana,7.0,f,orangutan,4.0,2.0,299.72
uher2008coherence,7,honey_grid_test,2005,padana,7.0,f,orangutan,5.0,2.0,292.24
uher2008coherence,7,honey_grid_test,2005,padana,7.0,f,orangutan,6.0,2.0,217.44
uher2008coherence,7,honey_grid_test,2005,pini,16.0,f,orangutan,1.0,1.0,271.72
uher2008coherence,7,honey_grid_test,2005,pini,16.0,f,orangutan,2.0,1.0,300.0
uher2008coherence,7,honey_grid_test,2005,pini,16.0,f,orangutan,3.0,1.0,299.84
uher2008coherence,7,honey_grid_test,2005,pini,16.0,f,orangutan,4.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,pini,16.0,f,orangutan,5.0,2.0,288.92
uher2008coherence,7,honey_grid_test,2005,pini,16.0,f,orangutan,6.0,2.0,300.0
