study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,experimenter_in_or_out,reaching_frequency,knocking_frequency,food
uher2008coherence,13,food_out_of_reach_test,2005,bebe,25.0,f,gorilla,1.0,1.0,out,5.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,bebe,25.0,f,gorilla,1.0,1.0,in,9.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,bebe,25.0,f,gorilla,2.0,1.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,bebe,25.0,f,gorilla,2.0,1.0,in,15.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,bebe,25.0,f,gorilla,3.0,2.0,out,3.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,bebe,25.0,f,gorilla,3.0,2.0,in,10.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,bebe,25.0,f,gorilla,4.0,2.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,bebe,25.0,f,gorilla,4.0,2.0,in,12.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,n’diki,27.0,f,gorilla,1.0,1.0,out,1.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,n’diki,27.0,f,gorilla,1.0,1.0,in,6.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,n’diki,27.0,f,gorilla,2.0,1.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,n’diki,27.0,f,gorilla,2.0,1.0,in,16.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,n’diki,27.0,f,gorilla,3.0,2.0,out,3.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,n’diki,27.0,f,gorilla,3.0,2.0,in,0.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,n’diki,27.0,f,gorilla,4.0,2.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,n’diki,27.0,f,gorilla,4.0,2.0,in,12.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,1.0,out,5.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,1.0,in,16.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,1.0,out,35.0,14.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,1.0,in,39.0,5.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,ruby_b'windi,7.0,f,gorilla,3.0,2.0,out,24.0,3.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,ruby_b'windi,7.0,f,gorilla,3.0,2.0,in,8.0,1.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,ruby_b'windi,7.0,f,gorilla,4.0,2.0,out,1.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,ruby_b'windi,7.0,f,gorilla,4.0,2.0,in,17.0,4.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,viringika,9.0,f,gorilla,1.0,1.0,out,0.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,viringika,9.0,f,gorilla,1.0,1.0,in,0.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,viringika,9.0,f,gorilla,2.0,1.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,viringika,9.0,f,gorilla,2.0,1.0,in,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,viringika,9.0,f,gorilla,3.0,2.0,out,0.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,viringika,9.0,f,gorilla,3.0,2.0,in,3.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,viringika,9.0,f,gorilla,4.0,2.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,viringika,9.0,f,gorilla,4.0,2.0,in,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,dokana,16.0,f,orangutan,1.0,1.0,out,1.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,dokana,16.0,f,orangutan,1.0,1.0,in,1.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,dokana,16.0,f,orangutan,2.0,1.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,dokana,16.0,f,orangutan,2.0,1.0,in,10.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,dokana,16.0,f,orangutan,3.0,2.0,out,5.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,dokana,16.0,f,orangutan,3.0,2.0,in,11.0,1.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,dokana,16.0,f,orangutan,4.0,2.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,dokana,16.0,f,orangutan,4.0,2.0,in,19.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,dunja,31.0,f,orangutan,1.0,1.0,out,2.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,dunja,31.0,f,orangutan,1.0,1.0,in,1.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,dunja,31.0,f,orangutan,2.0,1.0,out,2.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,dunja,31.0,f,orangutan,2.0,1.0,in,14.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,dunja,31.0,f,orangutan,3.0,2.0,out,4.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,dunja,31.0,f,orangutan,3.0,2.0,in,4.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,dunja,31.0,f,orangutan,4.0,2.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,dunja,31.0,f,orangutan,4.0,2.0,in,11.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,padana,7.0,f,orangutan,1.0,1.0,out,2.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,padana,7.0,f,orangutan,1.0,1.0,in,20.0,3.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,padana,7.0,f,orangutan,2.0,1.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,padana,7.0,f,orangutan,2.0,1.0,in,22.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,padana,7.0,f,orangutan,3.0,2.0,out,4.0,7.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,padana,7.0,f,orangutan,3.0,2.0,in,15.0,5.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,padana,7.0,f,orangutan,4.0,2.0,out,3.0,8.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,padana,7.0,f,orangutan,4.0,2.0,in,31.0,15.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,pini,16.0,f,orangutan,1.0,1.0,out,7.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,pini,16.0,f,orangutan,1.0,1.0,in,16.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,pini,16.0,f,orangutan,2.0,1.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,pini,16.0,f,orangutan,2.0,1.0,in,12.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,pini,16.0,f,orangutan,3.0,2.0,out,14.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,pini,16.0,f,orangutan,3.0,2.0,in,11.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,pini,16.0,f,orangutan,4.0,2.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,pini,16.0,f,orangutan,4.0,2.0,in,17.0,0.0,banana
