study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,experimenter_in_or_out,reaching_frequency,knocking_frequency,food
uher2008coherence,13,food_out_of_reach_test,2005,joey,22.0,m,bonobo,1.0,1.0,out,28.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,joey,22.0,m,bonobo,1.0,1.0,in,8.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,joey,22.0,m,bonobo,2.0,1.0,out,16.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,joey,22.0,m,bonobo,2.0,1.0,in,14.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,joey,22.0,m,bonobo,3.0,2.0,out,7.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,joey,22.0,m,bonobo,3.0,2.0,in,7.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,joey,22.0,m,bonobo,4.0,2.0,out,18.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,joey,22.0,m,bonobo,4.0,2.0,in,7.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,kuno,8.0,m,bonobo,1.0,1.0,out,56.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,kuno,8.0,m,bonobo,1.0,1.0,in,6.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,kuno,8.0,m,bonobo,2.0,1.0,out,8.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,kuno,8.0,m,bonobo,2.0,1.0,in,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,kuno,8.0,m,bonobo,3.0,2.0,out,24.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,kuno,8.0,m,bonobo,3.0,2.0,in,2.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,kuno,8.0,m,bonobo,4.0,2.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,kuno,8.0,m,bonobo,4.0,2.0,in,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,out,1.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,in,5.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,out,4.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,in,4.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,out,3.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,in,10.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,in,9.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,yasa,7.0,f,bonobo,1.0,1.0,out,10.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,yasa,7.0,f,bonobo,1.0,1.0,in,36.0,7.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,yasa,7.0,f,bonobo,2.0,1.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,yasa,7.0,f,bonobo,2.0,1.0,in,10.0,1.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,yasa,7.0,f,bonobo,3.0,2.0,out,18.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,yasa,7.0,f,bonobo,3.0,2.0,in,12.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,yasa,7.0,f,bonobo,4.0,2.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,yasa,7.0,f,bonobo,4.0,2.0,in,11.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,frodo,11.0,m,chimpanzee,1.0,1.0,out,6.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,frodo,11.0,m,chimpanzee,1.0,1.0,in,16.0,7.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,frodo,11.0,m,chimpanzee,2.0,1.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,frodo,11.0,m,chimpanzee,2.0,1.0,in,21.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,frodo,11.0,m,chimpanzee,3.0,2.0,out,0.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,frodo,11.0,m,chimpanzee,3.0,2.0,in,1.0,1.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,frodo,11.0,m,chimpanzee,4.0,2.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,frodo,11.0,m,chimpanzee,4.0,2.0,in,6.0,2.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,fraukje,28.0,f,chimpanzee,1.0,1.0,out,0.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,fraukje,28.0,f,chimpanzee,1.0,1.0,in,7.0,12.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,fraukje,28.0,f,chimpanzee,2.0,1.0,out,64.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,fraukje,28.0,f,chimpanzee,2.0,1.0,in,35.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,fraukje,28.0,f,chimpanzee,3.0,2.0,out,0.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,fraukje,28.0,f,chimpanzee,3.0,2.0,in,2.0,1.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,fraukje,28.0,f,chimpanzee,4.0,2.0,out,0.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,fraukje,28.0,f,chimpanzee,4.0,2.0,in,1.0,7.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,robert,29.0,m,chimpanzee,1.0,1.0,out,,,pfo
uher2008coherence,13,food_out_of_reach_test,2005,robert,29.0,m,chimpanzee,1.0,1.0,in,,,pfo
uher2008coherence,13,food_out_of_reach_test,2005,robert,29.0,m,chimpanzee,2.0,1.0,out,,,banana
uher2008coherence,13,food_out_of_reach_test,2005,robert,29.0,m,chimpanzee,2.0,1.0,in,,,banana
uher2008coherence,13,food_out_of_reach_test,2005,robert,29.0,m,chimpanzee,3.0,2.0,out,0.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,robert,29.0,m,chimpanzee,3.0,2.0,in,1.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,robert,29.0,m,chimpanzee,4.0,2.0,out,5.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,robert,29.0,m,chimpanzee,4.0,2.0,in,12.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,sandra,11.0,f,chimpanzee,1.0,1.0,out,35.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,sandra,11.0,f,chimpanzee,1.0,1.0,in,14.0,2.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,sandra,11.0,f,chimpanzee,2.0,1.0,out,30.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,sandra,11.0,f,chimpanzee,2.0,1.0,in,45.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,sandra,11.0,f,chimpanzee,3.0,2.0,out,1.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,sandra,11.0,f,chimpanzee,3.0,2.0,in,9.0,0.0,pfo
uher2008coherence,13,food_out_of_reach_test,2005,sandra,11.0,f,chimpanzee,4.0,2.0,out,7.0,0.0,banana
uher2008coherence,13,food_out_of_reach_test,2005,sandra,11.0,f,chimpanzee,4.0,2.0,in,15.0,0.0,banana
