study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,rocking,scratching,grinning,vocalizing,pacing,wrist_shaking,changing_location,reaching,frequency_of_knocking
uher2008coherence,12,pile_of_food_test,2005,joey,22.0,m,bonobo,1.0,1.0,0.0,45.0,0.0,12.88,0.0,0.0,0.0,2.0,0.0
uher2008coherence,12,pile_of_food_test,2005,joey,22.0,m,bonobo,2.0,1.0,0.0,56.0,0.0,2.84,4.16,0.0,2.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,joey,22.0,m,bonobo,3.0,1.0,0.0,55.0,0.0,14.36,5.16,0.0,3.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,0.0,3.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,0.0,10.0,38.36,3.36,6.28,0.0,0.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,kuno,8.0,m,bonobo,3.0,1.0,0.0,2.0,2.84,2.2,0.0,0.0,2.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,0.0,9.0,26.36,19.16,7.44,0.0,0.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,0.0,14.0,6.72,8.64,14.6,0.0,4.0,2.0,0.0
uher2008coherence,12,pile_of_food_test,2005,limbuko,9.0,m,bonobo,3.0,1.0,0.0,16.0,17.16,20.8,45.84,0.0,4.0,1.0,0.0
uher2008coherence,12,pile_of_food_test,2005,yasa,7.0,f,bonobo,1.0,1.0,0.0,5.0,0.32,8.08,18.4,0.0,8.0,27.0,8.0
uher2008coherence,12,pile_of_food_test,2005,yasa,7.0,f,bonobo,2.0,1.0,0.0,1.0,0.28,3.4,3.64,0.0,19.0,22.0,9.0
uher2008coherence,12,pile_of_food_test,2005,yasa,7.0,f,bonobo,3.0,1.0,0.0,23.0,0.0,0.52,15.68,0.0,11.0,9.0,2.0
uher2008coherence,12,pile_of_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,0.0,51.0,0.0,10.92,0.0,0.0,2.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,joey,22.0,m,bonobo,5.0,2.0,0.0,41.0,0.0,1.44,0.0,0.0,4.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,joey,22.0,m,bonobo,6.0,2.0,0.0,37.0,0.0,4.8,0.0,0.0,3.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,0.0,0.0,82.2,1.84,0.0,0.0,2.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,kuno,8.0,m,bonobo,5.0,2.0,0.0,11.0,31.56,3.64,0.0,0.0,0.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,kuno,8.0,m,bonobo,6.0,2.0,0.0,0.0,34.24,11.36,0.0,0.0,1.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,0.0,6.0,8.84,14.48,0.0,0.0,3.0,3.0,0.0
uher2008coherence,12,pile_of_food_test,2005,limbuko,9.0,m,bonobo,5.0,2.0,0.0,81.0,0.44,0.68,61.84,0.0,4.0,5.0,0.0
uher2008coherence,12,pile_of_food_test,2005,limbuko,9.0,m,bonobo,6.0,2.0,0.0,4.0,15.6,3.08,7.32,0.0,3.0,6.0,0.0
uher2008coherence,12,pile_of_food_test,2005,yasa,7.0,f,bonobo,4.0,2.0,0.0,8.0,0.0,2.04,13.56,0.0,8.0,5.0,3.0
uher2008coherence,12,pile_of_food_test,2005,yasa,7.0,f,bonobo,5.0,2.0,0.0,8.0,0.0,1.6,24.48,0.0,2.0,7.0,2.0
uher2008coherence,12,pile_of_food_test,2005,yasa,7.0,f,bonobo,6.0,2.0,0.0,6.0,0.16,0.36,12.72,0.0,5.0,10.0,2.0
uher2008coherence,12,pile_of_food_test,2005,frodo,11.0,m,chimpanzee,1.0,1.0,55.04,9.0,0.0,0.0,33.76,0.0,5.0,76.0,51.0
uher2008coherence,12,pile_of_food_test,2005,frodo,11.0,m,chimpanzee,2.0,1.0,57.2,12.0,0.0,0.24,42.68,0.0,5.0,11.0,4.0
uher2008coherence,12,pile_of_food_test,2005,frodo,11.0,m,chimpanzee,3.0,1.0,111.36,4.0,0.0,0.0,23.48,0.0,4.0,57.0,102.0
uher2008coherence,12,pile_of_food_test,2005,fraukje,28.0,f,chimpanzee,1.0,1.0,27.24,0.0,0.0,0.2,13.84,2.12,0.0,7.0,10.0
uher2008coherence,12,pile_of_food_test,2005,fraukje,28.0,f,chimpanzee,2.0,1.0,44.56,5.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0
uher2008coherence,12,pile_of_food_test,2005,fraukje,28.0,f,chimpanzee,3.0,1.0,41.08,0.0,0.0,0.08,6.32,0.0,2.0,3.0,4.0
uher2008coherence,12,pile_of_food_test,2005,robert,29.0,m,chimpanzee,1.0,1.0,3.08,2.0,0.0,0.0,82.12,0.0,0.0,2.0,2.0
uher2008coherence,12,pile_of_food_test,2005,robert,29.0,m,chimpanzee,2.0,1.0,,,,,,,,,
uher2008coherence,12,pile_of_food_test,2005,robert,29.0,m,chimpanzee,3.0,1.0,,,,,,,,,
uher2008coherence,12,pile_of_food_test,2005,sandra,11.0,f,chimpanzee,1.0,1.0,100.68,0.0,0.0,0.0,25.88,0.0,6.0,20.0,18.0
uher2008coherence,12,pile_of_food_test,2005,sandra,11.0,f,chimpanzee,2.0,1.0,125.32,4.0,0.0,0.32,7.16,0.0,4.0,6.0,3.0
uher2008coherence,12,pile_of_food_test,2005,sandra,11.0,f,chimpanzee,3.0,1.0,49.04,1.0,0.0,0.0,28.36,0.0,3.0,9.0,6.0
uher2008coherence,12,pile_of_food_test,2005,frodo,11.0,m,chimpanzee,4.0,2.0,89.0,58.0,0.0,1.44,42.96,0.0,2.0,12.0,9.0
uher2008coherence,12,pile_of_food_test,2005,frodo,11.0,m,chimpanzee,5.0,2.0,54.0,44.0,0.0,0.0,62.68,0.0,3.0,5.0,2.0
uher2008coherence,12,pile_of_food_test,2005,frodo,11.0,m,chimpanzee,6.0,2.0,38.84,26.0,0.0,0.0,58.2,0.0,0.0,7.0,7.0
uher2008coherence,12,pile_of_food_test,2005,fraukje,28.0,f,chimpanzee,4.0,2.0,15.16,3.0,0.0,0.0,14.56,0.0,0.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,fraukje,28.0,f,chimpanzee,5.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,fraukje,28.0,f,chimpanzee,6.0,2.0,14.92,1.0,0.0,0.0,1.96,0.0,2.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,robert,29.0,m,chimpanzee,4.0,2.0,61.32,6.0,0.0,0.0,83.44,0.0,1.0,4.0,10.0
uher2008coherence,12,pile_of_food_test,2005,robert,29.0,m,chimpanzee,5.0,2.0,93.28,7.0,0.0,0.0,43.04,0.0,2.0,26.0,21.0
uher2008coherence,12,pile_of_food_test,2005,robert,29.0,m,chimpanzee,6.0,2.0,22.28,13.0,0.0,0.0,80.44,0.0,0.0,2.0,6.0
uher2008coherence,12,pile_of_food_test,2005,sandra,11.0,f,chimpanzee,4.0,2.0,80.08,3.0,0.0,0.16,40.16,0.0,3.0,5.0,2.0
uher2008coherence,12,pile_of_food_test,2005,sandra,11.0,f,chimpanzee,5.0,2.0,112.56,3.0,0.0,9.96,28.72,0.0,3.0,9.0,8.0
uher2008coherence,12,pile_of_food_test,2005,sandra,11.0,f,chimpanzee,6.0,2.0,81.08,4.0,0.0,0.24,33.76,0.0,4.0,35.0,14.0
uher2008coherence,12,pile_of_food_test,2005,dokana,16.0,f,orangutan,1.0,1.0,0.0,150.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,dokana,16.0,f,orangutan,2.0,1.0,0.0,45.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,dokana,16.0,f,orangutan,3.0,1.0,0.0,175.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
uher2008coherence,12,pile_of_food_test,2005,dunja,31.0,f,orangutan,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,3.0,1.0,0.0
uher2008coherence,12,pile_of_food_test,2005,dunja,31.0,f,orangutan,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
uher2008coherence,12,pile_of_food_test,2005,dunja,31.0,f,orangutan,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
uher2008coherence,12,pile_of_food_test,2005,padana,7.0,f,orangutan,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0
uher2008coherence,12,pile_of_food_test,2005,padana,7.0,f,orangutan,2.0,1.0,0.0,17.0,0.0,0.0,0.0,0.88,1.0,0.0,1.0
uher2008coherence,12,pile_of_food_test,2005,padana,7.0,f,orangutan,3.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0
uher2008coherence,12,pile_of_food_test,2005,pini,16.0,f,orangutan,1.0,1.0,0.0,71.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0
uher2008coherence,12,pile_of_food_test,2005,pini,16.0,f,orangutan,2.0,1.0,0.0,3.0,0.0,0.0,9.2,0.0,6.0,1.0,0.0
uher2008coherence,12,pile_of_food_test,2005,pini,16.0,f,orangutan,3.0,1.0,0.0,0.0,0.0,0.0,10.96,0.0,7.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,dokana,16.0,f,orangutan,4.0,2.0,0.0,40.0,0.0,0.0,0.0,1.92,2.0,4.0,2.0
