study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,rocking,scratching,grinning,vocalizing,pacing,wrist_shaking,changing_location,reaching,frequency_of_knocking
uher2008coherence,12,pile_of_food_test,2005,dokana,16.0,f,orangutan,5.0,2.0,0.0,47.0,0.0,0.0,0.0,3.44,1.0,9.0,0.0
uher2008coherence,12,pile_of_food_test,2005,dokana,16.0,f,orangutan,6.0,2.0,0.0,151.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
uher2008coherence,12,pile_of_food_test,2005,dunja,31.0,f,orangutan,4.0,2.0,0.0,1.0,0.0,0.0,0.0,14.44,4.0,8.0,0.0
uher2008coherence,12,pile_of_food_test,2005,dunja,31.0,f,orangutan,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0
uher2008coherence,12,pile_of_food_test,2005,dunja,31.0,f,orangutan,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
uher2008coherence,12,pile_of_food_test,2005,padana,7.0,f,orangutan,4.0,2.0,0.0,95.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0
uher2008coherence,12,pile_of_food_test,2005,padana,7.0,f,orangutan,5.0,2.0,0.0,26.0,0.0,0.0,0.0,26.32,1.0,0.0,1.0
uher2008coherence,12,pile_of_food_test,2005,padana,7.0,f,orangutan,6.0,2.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
uher2008coherence,12,pile_of_food_test,2005,pini,16.0,f,orangutan,4.0,2.0,0.0,35.0,0.0,0.0,5.0,0.12,8.0,16.0,1.0
uher2008coherence,12,pile_of_food_test,2005,pini,16.0,f,orangutan,5.0,2.0,0.0,56.0,0.0,0.0,10.32,0.0,7.0,4.0,0.0
uher2008coherence,12,pile_of_food_test,2005,pini,16.0,f,orangutan,6.0,2.0,0.0,0.0,0.0,0.0,4.6,0.0,4.0,0.0,0.0
