study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,duration_occupied,item_eaten_or_tasted,latency_to_reach_or_touch,food_type,novel_food_type,food,rejecting_food,latency_60
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,3.0,2.0,6.72,1.0,0.76,novel,artificial,green mouse 1,0.0,0.76
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,3.0,2.0,11.08,1.0,0.8,normal,,apple,0.0,0.8
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,3.0,2.0,16.44,1.0,0.56,novel,artificial,red mouse 2,0.0,0.56
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,3.0,2.0,5.08,1.0,0.68,normal,,apple,0.0,0.68
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,3.0,2.0,4.04,1.0,0.92,novel,artificial,green roll 2,0.0,0.92
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,3.0,2.0,10.72,1.0,0.56,normal,,apple,0.0,0.56
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,3.0,2.0,6.16,1.0,0.64,novel,artificial,green mouse 2,0.0,0.64
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,3.0,2.0,8.92,1.0,0.8,normal,,apple,0.0,0.8
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,3.0,2.0,6.32,1.0,0.88,novel,artificial,red roll 2,0.0,0.88
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,9.72,1.0,0.6,normal,,apple,0.0,0.6
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,8.12,1.0,1.08,novel,natural,blue tree 1,0.0,1.08
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,10.28,1.0,0.52,normal,,apple,0.0,0.52
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,16.8,1.0,0.84,novel,natural,brown heart 1,0.0,0.84
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,10.4,1.0,0.64,normal,,apple,0.0,0.64
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,13.64,1.0,0.6,novel,natural,brown tree 1,0.0,0.6
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,12.0,1.0,0.96,normal,,apple,0.0,0.96
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,17.84,1.0,1.16,novel,natural,blue heart 1,0.0,1.16
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,11.28,1.0,0.64,normal,,apple,0.0,0.64
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,12.08,1.0,0.76,novel,natural,blue tree 2,0.0,0.76
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,9.0,1.0,0.8,normal,,apple,0.0,0.8
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,17.32,1.0,1.04,novel,natural,brown heart 2,0.0,1.04
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,10.04,1.0,0.72,normal,,apple,0.0,0.72
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,10.72,1.0,0.6,novel,natural,brown tree 2,0.0,0.6
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,12.68,1.0,0.8,normal,,apple,0.0,0.8
uher2008coherence,10,novel_food_test,2005,joey,22.0,m,bonobo,4.0,2.0,15.92,1.0,0.64,novel,natural,blue heart 2,0.0,0.64
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,3.52,1.0,0.96,normal,,apple,0.0,0.96
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,55.16,1.0,1.2,novel,natural,green star 1,0.0,1.2
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,4.44,1.0,0.36,normal,,apple,0.0,0.36
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,29.88,1.0,1.08,novel,natural,red bell 1,0.0,1.08
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,5.64,1.0,0.52,normal,,apple,0.0,0.52
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,34.96,0.9,1.12,novel,natural,green bell 1,0.0,1.12
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,7.48,1.0,0.72,normal,,apple,0.0,0.72
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,28.08,1.0,1.2,novel,natural,red star 1,0.0,1.2
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,10.44,1.0,0.76,normal,,apple,0.0,0.76
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,42.12,0.5,1.28,novel,natural,green star 2,0.0,1.28
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,5.68,1.0,0.72,normal,,apple,0.0,0.72
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,54.2,1.0,1.28,novel,natural,red bell 2,0.0,1.28
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,5.56,1.0,0.6,normal,,apple,0.0,0.6
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,80.88,0.5,1.52,novel,natural,green bell 2,0.0,1.52
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,4.72,1.0,0.6,normal,,apple,0.0,0.6
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,1.0,1.0,70.64,1.0,0.84,novel,natural,red star 2,0.0,0.84
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,4.52,1.0,1.04,normal,,apple,0.0,1.04
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,6.8,1.0,0.64,novel,artificial,yellow baiser 1,0.0,0.64
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,21.12,1.0,0.8,normal,,apple,0.0,0.8
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,34.8,0.2,0.92,novel,artificial,brown marsh 1,0.8,0.92
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,4.12,1.0,0.92,normal,,apple,0.0,0.92
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,84.92,0.5,1.04,novel,artificial,brown baiser 1,0.5,1.04
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,5.16,1.0,0.68,normal,,apple,0.0,0.68
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,19.8,0.0,1.28,novel,artificial,yellow marsh 1,1.0,1.28
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,6.12,1.0,0.8,normal,,apple,0.0,0.8
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,8.72,1.0,0.96,novel,artificial,yellow baiser 2,0.0,0.96
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,21.48,1.0,0.88,normal,,apple,0.0,0.88
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,15.32,0.0,1.8,novel,artificial,brown marsh 2,1.0,1.8
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,4.72,1.0,0.64,normal,,apple,0.0,0.64
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,32.6,0.0,1.12,novel,artificial,brown baiser 2,1.0,1.12
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,7.2,1.0,1.04,normal,,apple,0.0,1.04
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,2.0,1.0,20.76,0.0,1.28,novel,artificial,yellow marsh 2,1.0,1.28
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,5.16,1.0,1.16,normal,,apple,0.0,1.16
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,9.92,1.0,1.2,novel,artificial,red mouse 1,0.0,1.2
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,11.8,1.0,1.08,normal,,apple,0.0,1.08
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,10.32,1.0,0.84,novel,artificial,green roll 1,0.0,0.84
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,8.56,1.0,0.68,normal,,apple,0.0,0.68
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,18.4,1.0,1.12,novel,artificial,green mouse 1,0.0,1.12
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,4.04,1.0,0.68,normal,,apple,0.0,0.68
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,11.96,1.0,0.88,novel,artificial,red roll 1,0.0,0.88
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,7.28,1.0,0.76,normal,,apple,0.0,0.76
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,16.48,1.0,1.04,novel,artificial,red mouse 2,0.0,1.04
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,6.6,1.0,0.44,normal,,apple,0.0,0.44
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,5.48,1.0,0.92,novel,artificial,green roll 2,0.0,0.92
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,6.92,1.0,0.88,normal,,apple,0.0,0.88
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,19.32,1.0,1.0,novel,artificial,green mouse 2,0.0,1.0
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,7.96,1.0,0.6,normal,,apple,0.0,0.6
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,3.0,2.0,11.56,1.0,0.72,novel,artificial,red roll 2,0.0,0.72
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,,,,normal,,apple,,
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,15.4,1.0,0.88,novel,natural,blue tree 1,0.0,0.88
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,8.56,1.0,0.6,normal,,apple,0.0,0.6
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,14.68,1.0,0.64,novel,natural,brown heart 1,0.0,0.64
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,,,,normal,,apple,,
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,12.32,1.0,0.96,novel,natural,brown tree 1,0.0,0.96
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,9.76,1.0,0.6,normal,,apple,0.0,0.6
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,19.36,1.0,0.72,novel,natural,blue heart 1,0.0,0.72
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,9.48,1.0,0.48,normal,,apple,0.0,0.48
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,15.0,1.0,1.0,novel,natural,blue tree 2,0.0,1.0
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,7.68,1.0,0.8,normal,,apple,0.0,0.8
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,10.04,1.0,0.88,novel,natural,brown heart 2,0.0,0.88
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,7.64,1.0,0.64,normal,,apple,0.0,0.64
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,10.8,1.0,0.68,novel,natural,brown tree 2,0.0,0.68
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,7.04,1.0,0.52,normal,,apple,0.0,0.52
uher2008coherence,10,novel_food_test,2005,kuno,8.0,m,bonobo,4.0,2.0,16.52,1.0,0.68,novel,natural,blue heart 2,0.0,0.68
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,8.32,1.0,0.76,normal,,apple,0.0,0.76
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,6.68,1.0,1.24,novel,natural,green star 1,0.0,1.24
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,7.24,1.0,0.48,normal,,apple,0.0,0.48
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,10.64,1.0,0.92,novel,natural,red bell 1,0.0,0.92
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,5.52,1.0,0.8,normal,,apple,0.0,0.8
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,8.32,1.0,0.96,novel,natural,green bell 1,0.0,0.96
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,4.84,1.0,1.04,normal,,apple,0.0,1.04
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,6.64,1.0,1.12,novel,natural,red star 1,0.0,1.12
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,4.52,1.0,0.84,normal,,apple,0.0,0.84
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,4.92,1.0,0.92,novel,natural,green star 2,0.0,0.92
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,6.44,1.0,0.96,normal,,apple,0.0,0.96
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,13.08,1.0,1.2,novel,natural,red bell 2,0.0,1.2
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,,,,normal,,apple,,
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,8.24,1.0,1.32,novel,natural,green bell 2,0.0,1.32
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,6.6,1.0,0.48,normal,,apple,0.0,0.48
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,7.0,1.0,0.76,novel,natural,red star 2,0.0,0.76
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,3.24,1.0,0.68,normal,,apple,0.0,0.68
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,5.0,1.0,0.72,novel,artificial,yellow baiser 1,0.0,0.72
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,4.88,1.0,0.68,normal,,apple,0.0,0.68
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,5.8,1.0,0.64,novel,artificial,brown marsh 1,0.0,0.64
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,5.0,1.0,0.72,normal,,apple,0.0,0.72
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,6.08,1.0,1.08,novel,artificial,brown marsh 1,0.0,1.08
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,7.16,1.0,0.92,normal,,apple,0.0,0.92
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,5.28,1.0,0.76,novel,artificial,yellow marsh 1,0.0,0.76
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,5.24,1.0,0.72,normal,,apple,0.0,0.72
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,5.28,1.0,1.16,novel,artificial,yellow baiser 2,0.0,1.16
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,5.2,1.0,0.68,normal,,apple,0.0,0.68
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,6.08,1.0,0.76,novel,artificial,brown marsh 2,0.0,0.76
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,5.24,1.0,0.64,normal,,apple,0.0,0.64
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,3.16,1.0,0.88,novel,artificial,brown baiser 2,0.0,0.88
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,6.24,1.0,0.92,normal,,apple,0.0,0.92
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,16.16,1.0,0.92,novel,artificial,yellow marsh 2,0.0,0.92
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,4.28,1.0,0.52,normal,,apple,0.0,0.52
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,8.56,1.0,0.6,novel,artificial,red mouse 1,0.0,0.6
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,6.68,1.0,0.6,normal,,apple,0.0,0.6
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,6.64,1.0,0.88,novel,artificial,green roll 1,0.0,0.88
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,6.76,1.0,0.52,normal,,apple,0.0,0.52
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,7.48,1.0,0.68,novel,artificial,green mouse 1,0.0,0.68
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,8.76,1.0,0.64,normal,,apple,0.0,0.64
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,7.64,1.0,0.56,novel,artificial,red roll 1,0.0,0.56
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,8.24,1.0,0.52,normal,,apple,0.0,0.52
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,7.36,1.0,0.48,novel,artificial,red mouse 2,0.0,0.48
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,7.48,1.0,0.36,normal,,apple,0.0,0.36
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,6.0,1.0,0.52,novel,artificial,green roll 2,0.0,0.52
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,8.24,1.0,0.44,normal,,apple,0.0,0.44
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,6.6,1.0,0.88,novel,artificial,green mouse 2,0.0,0.88
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,5.16,1.0,1.32,normal,,apple,0.0,1.32
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,7.16,1.0,0.68,novel,artificial,red roll 2,0.0,0.68
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,8.24,1.0,0.56,normal,,apple,0.0,0.56
