study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,trial,period,touched_box,opened_box,item_eaten_or_tasted,food_rejected,latency_to_touch_box,latency_to_open_box,not_touching,not_opening
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,4.0,8.0,2.0,1.0,1.0,1.0,0.0,1.76,2.56,1.76,2.56
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,4.0,9.0,2.0,1.0,1.0,1.0,0.0,1.2,2.92,1.2,2.92
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,4.0,10.0,2.0,1.0,1.0,1.0,0.0,2.04,3.88,2.04,3.88
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,5.0,0.0,2.0,1.0,1.0,,,3.72,6.12,3.72,6.12
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,5.0,1.0,2.0,1.0,1.0,1.0,0.0,3.04,9.96,3.04,9.96
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,5.0,2.0,2.0,1.0,1.0,1.0,0.0,1.24,2.12,1.24,2.12
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,5.0,3.0,2.0,1.0,1.0,1.0,0.0,2.8,2.8,2.8,2.8
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,5.0,4.0,2.0,1.0,1.0,0.0,1.0,4.24,4.24,4.24,4.24
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,5.0,5.0,2.0,1.0,1.0,1.0,0.0,1.76,2.6,1.76,2.6
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,5.0,6.0,2.0,1.0,1.0,0.0,1.0,3.2,58.24,3.2,58.24
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,5.0,7.0,2.0,1.0,1.0,1.0,0.0,2.6,5.24,2.6,5.24
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,5.0,8.0,2.0,1.0,1.0,1.0,0.0,3.28,4.16,3.28,4.16
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,5.0,9.0,2.0,1.0,1.0,1.0,0.0,5.16,5.16,5.16,5.16
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,5.0,10.0,2.0,1.0,1.0,1.0,0.0,3.52,5.84,3.52,5.84
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,6.0,0.0,2.0,1.0,1.0,,,1.84,1.84,1.84,1.84
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,6.0,1.0,2.0,1.0,1.0,1.0,0.0,2.08,2.08,2.08,2.08
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,6.0,2.0,2.0,1.0,1.0,1.0,0.0,1.76,1.76,1.76,1.76
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,6.0,3.0,2.0,1.0,1.0,1.0,0.0,1.32,1.32,1.32,1.32
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,6.0,4.0,2.0,1.0,1.0,0.0,1.0,4.76,7.92,4.76,7.92
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,6.0,5.0,2.0,1.0,1.0,1.0,0.0,1.44,2.56,1.44,2.56
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,6.0,6.0,2.0,1.0,1.0,0.0,1.0,3.92,3.92,3.92,3.92
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,6.0,7.0,2.0,1.0,1.0,1.0,0.0,2.84,2.84,2.84,2.84
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,6.0,8.0,2.0,1.0,1.0,1.0,0.0,3.36,3.36,3.36,3.36
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,6.0,9.0,2.0,1.0,1.0,1.0,0.0,4.68,7.8,4.68,7.8
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,6.0,10.0,2.0,1.0,1.0,1.0,0.0,3.08,3.08,3.08,3.08
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,1.0,0.0,1.0,1.0,1.0,,,4.0,9.2,4.0,9.2
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.2,8.16,2.2,8.16
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,1.0,2.0,1.0,1.0,1.0,1.0,0.0,3.52,9.24,3.52,9.24
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,1.0,3.0,1.0,1.0,1.0,1.0,0.0,3.96,6.36,3.96,6.36
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.36,7.96,2.36,7.96
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,1.0,5.0,1.0,1.0,1.0,1.0,0.0,3.6,5.96,3.6,5.96
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,1.0,6.0,1.0,1.0,1.0,1.0,0.0,3.56,6.04,3.56,6.04
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,1.0,7.0,1.0,1.0,1.0,1.0,0.0,4.8,7.92,4.8,7.92
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,1.0,8.0,1.0,1.0,1.0,1.0,0.0,5.0,8.88,5.0,8.88
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,1.0,9.0,1.0,1.0,1.0,1.0,0.0,4.16,6.12,4.16,6.12
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,1.0,10.0,1.0,1.0,1.0,1.0,0.0,3.16,5.4,3.16,5.4
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,2.0,0.0,1.0,1.0,1.0,,,5.16,51.16,5.16,51.16
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.84,6.28,1.84,6.28
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.44,11.0,1.44,11.0
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,2.0,3.0,1.0,1.0,1.0,1.0,0.0,2.88,6.36,2.88,6.36
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.76,6.28,1.76,6.28
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.92,9.2,1.92,9.2
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,2.0,6.0,1.0,1.0,1.0,1.0,0.0,2.2,5.0,2.2,5.0
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,2.0,7.0,1.0,1.0,1.0,1.0,0.0,2.12,4.4,2.12,4.4
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,2.0,8.0,1.0,1.0,1.0,1.0,0.0,3.56,6.6,3.56,6.6
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,2.0,9.0,1.0,1.0,1.0,1.0,0.0,4.08,6.96,4.08,6.96
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,2.0,10.0,1.0,1.0,1.0,1.0,0.0,2.44,5.68,2.44,5.68
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,3.0,0.0,1.0,1.0,1.0,,,3.56,26.52,3.56,26.52
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.48,7.72,1.48,7.72
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.28,3.32,1.28,3.32
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.88,3.28,1.88,3.28
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,3.0,4.0,1.0,1.0,1.0,1.0,0.0,1.68,6.8,1.68,6.8
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,3.0,5.0,1.0,1.0,1.0,1.0,0.0,1.48,3.36,1.48,3.36
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,3.0,6.0,1.0,1.0,1.0,1.0,0.0,2.28,3.52,2.28,3.52
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,3.0,7.0,1.0,1.0,1.0,1.0,0.0,2.72,7.92,2.72,7.92
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,3.0,8.0,1.0,1.0,1.0,1.0,0.0,2.48,5.96,2.48,5.96
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,3.0,9.0,1.0,1.0,1.0,1.0,0.0,2.0,3.68,2.0,3.68
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,3.0,10.0,1.0,1.0,1.0,1.0,0.0,1.88,3.88,1.88,3.88
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,4.0,0.0,2.0,1.0,1.0,,,4.88,14.76,4.88,14.76
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,4.0,1.0,2.0,1.0,1.0,1.0,0.0,1.48,2.88,1.48,2.88
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,4.0,2.0,2.0,1.0,1.0,1.0,0.0,1.4,3.76,1.4,3.76
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,4.0,3.0,2.0,1.0,1.0,1.0,0.0,2.2,15.0,2.2,15.0
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,4.0,4.0,2.0,1.0,1.0,1.0,0.0,1.88,8.04,1.88,8.04
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,4.0,5.0,2.0,1.0,1.0,1.0,0.0,1.92,3.72,1.92,3.72
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,4.0,6.0,2.0,1.0,1.0,0.25,0.75,1.88,6.48,1.88,6.48
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,4.0,7.0,2.0,1.0,1.0,1.0,0.0,1.76,3.36,1.76,3.36
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,4.0,8.0,2.0,1.0,1.0,1.0,0.0,2.04,6.36,2.04,6.36
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,4.0,9.0,2.0,1.0,1.0,1.0,0.0,1.64,4.44,1.64,4.44
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,4.0,10.0,2.0,1.0,1.0,1.0,0.0,2.2,3.56,2.2,3.56
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,5.0,0.0,2.0,1.0,1.0,,,4.48,33.96,4.48,33.96
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,5.0,1.0,2.0,1.0,1.0,1.0,0.0,1.56,6.56,1.56,6.56
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,5.0,2.0,2.0,1.0,1.0,1.0,0.0,1.08,3.24,1.08,3.24
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,5.0,3.0,2.0,1.0,1.0,1.0,0.0,1.32,3.96,1.32,3.96
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,5.0,4.0,2.0,1.0,1.0,1.0,0.0,1.04,3.36,1.04,3.36
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,5.0,5.0,2.0,1.0,1.0,1.0,0.0,2.76,3.84,2.76,3.84
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,5.0,6.0,2.0,1.0,1.0,1.0,0.0,1.28,3.84,1.28,3.84
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,5.0,7.0,2.0,1.0,1.0,1.0,0.0,2.28,8.04,2.28,8.04
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,5.0,8.0,2.0,1.0,1.0,1.0,0.0,2.8,4.72,2.8,4.72
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,5.0,9.0,2.0,1.0,1.0,1.0,0.0,1.56,6.0,1.56,6.0
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,5.0,10.0,2.0,1.0,1.0,1.0,0.0,1.64,14.6,1.64,14.6
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,6.0,0.0,2.0,1.0,1.0,,,2.84,5.24,2.84,5.24
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,6.0,1.0,2.0,1.0,1.0,1.0,0.0,1.28,7.44,1.28,7.44
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,6.0,2.0,2.0,1.0,1.0,1.0,0.0,1.28,2.68,1.28,2.68
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,6.0,3.0,2.0,1.0,1.0,1.0,0.0,2.52,11.72,2.52,11.72
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,6.0,4.0,2.0,1.0,1.0,1.0,0.0,1.48,4.04,1.48,4.04
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,6.0,5.0,2.0,1.0,1.0,1.0,0.0,1.72,6.16,1.72,6.16
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,6.0,6.0,2.0,1.0,1.0,1.0,0.0,3.0,4.2,3.0,4.2
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,6.0,7.0,2.0,1.0,1.0,1.0,0.0,1.52,4.28,1.52,4.28
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,6.0,8.0,2.0,1.0,1.0,1.0,0.0,3.4,9.2,3.4,9.2
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,6.0,9.0,2.0,1.0,1.0,1.0,0.0,1.8,3.16,1.8,3.16
uher2008coherence,3,food_box_test,2005,kuno,8.0,m,bonobo,6.0,10.0,2.0,1.0,1.0,1.0,0.0,1.64,2.36,1.64,2.36
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,1.0,0.0,1.0,1.0,1.0,,,5.72,19.4,5.72,19.4
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.16,5.92,2.16,5.92
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.12,4.0,2.12,4.0
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,3.16,2.0,3.16
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.6,2.6,1.6,2.6
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,1.0,5.0,1.0,1.0,1.0,1.0,0.0,2.08,3.84,2.08,3.84
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,1.0,6.0,1.0,1.0,1.0,1.0,0.0,1.76,3.32,1.76,3.32
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,1.0,7.0,1.0,1.0,1.0,1.0,0.0,1.76,2.88,1.76,2.88
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,1.0,8.0,1.0,1.0,1.0,1.0,0.0,3.6,6.16,3.6,6.16
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,1.0,9.0,1.0,1.0,1.0,1.0,0.0,1.68,2.92,1.68,2.92
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,1.0,10.0,1.0,1.0,1.0,1.0,0.0,5.28,6.76,5.28,6.76
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,2.0,0.0,1.0,1.0,1.0,,,3.4,5.88,3.4,5.88
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.72,3.72,1.72,3.72
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.16,3.56,1.16,3.56
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.76,5.28,1.76,5.28
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.52,2.88,1.52,2.88
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.28,2.68,1.28,2.68
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,2.0,6.0,1.0,1.0,1.0,1.0,0.0,1.32,3.88,1.32,3.88
