study_id,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,condition,baited_cup,chosen_cup_if_choice_differs_from_position_of_reward,correct
amici2010monkeys,memory_delayed_response_task,2008,1,15,kuno,11,m,bonobo,4,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,limbuko,12,m,bonobo,1,1,no_delay,right, ,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,limbuko,12,m,bonobo,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,limbuko,12,m,bonobo,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,limbuko,12,m,bonobo,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,limbuko,12,m,bonobo,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,limbuko,12,m,bonobo,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,limbuko,12,m,bonobo,2,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,15,limbuko,12,m,bonobo,3,1,30min_delay,middle,right,0
amici2010monkeys,memory_delayed_response_task,2008,1,15,limbuko,12,m,bonobo,4,1,30min_delay,left,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,16,lome,6,m,chimpanzee,1,1,no_delay,right, ,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,lome,6,m,chimpanzee,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,lome,6,m,chimpanzee,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,lome,6,m,chimpanzee,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,lome,6,m,chimpanzee,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,lome,6,m,chimpanzee,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,lome,6,m,chimpanzee,2,1,30min_delay,middle,left,0
amici2010monkeys,memory_delayed_response_task,2008,1,17,lome,6,m,chimpanzee,3,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,17,lome,6,m,chimpanzee,4,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,5,padana,10,f,orangutan,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,5,padana,10,f,orangutan,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,5,padana,10,f,orangutan,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,5,padana,10,f,orangutan,1,4,30sec_delay,right,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,5,padana,10,f,orangutan,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,5,padana,10,f,orangutan,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,7,padana,10,f,orangutan,2,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,8,padana,10,f,orangutan,3,1,30min_delay,middle,right,0
amici2010monkeys,memory_delayed_response_task,2008,1,9,padana,10,f,orangutan,4,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,11,pagai,4,m,orangutan,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,11,pagai,4,m,orangutan,1,2,no_delay,middle,left,0
amici2010monkeys,memory_delayed_response_task,2008,1,11,pagai,4,m,orangutan,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,11,pagai,4,m,orangutan,1,4,30sec_delay,right,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,11,pagai,4,m,orangutan,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,11,pagai,4,m,orangutan,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,11,pagai,4,m,orangutan,2,1,30min_delay,right,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,11,pagai,4,m,orangutan,3,1,30min_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,11,pagai,4,m,orangutan,4,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,5,pini,19,f,orangutan,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,5,pini,19,f,orangutan,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,5,pini,19,f,orangutan,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,7,pini,19,f,orangutan,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,7,pini,19,f,orangutan,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,7,pini,19,f,orangutan,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,7,pini,19,f,orangutan,2,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,8,pini,19,f,orangutan,3,1,30min_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,9,pini,19,f,orangutan,4,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,9,raja,4,f,orangutan,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,9,raja,4,f,orangutan,1,2,no_delay,middle, ,1
amici2010monkeys,memory_delayed_response_task,2008,1,9,raja,4,f,orangutan,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,9,raja,4,f,orangutan,1,4,30sec_delay,right,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,9,raja,4,f,orangutan,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,9,raja,4,f,orangutan,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,9,raja,4,f,orangutan,2,1,30min_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,10,raja,4,f,orangutan,3,1,30min_delay,right,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,11,raja,4,f,orangutan,4,1,30min_delay,left,middle,0
