study_id,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,condition,baited_cup,chosen_cup_if_choice_differs_from_position_of_reward,correct
amici2010monkeys,memory_delayed_response_task,2008,1,10,gorgo,26,m,gorilla,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,10,gorgo,26,m,gorilla,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,10,gorgo,26,m,gorilla,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,10,gorgo,26,m,gorilla,1,5,30sec_delay,middle,left,0
amici2010monkeys,memory_delayed_response_task,2008,1,10,gorgo,26,m,gorilla,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,10,gorgo,26,m,gorilla,2,1,30min_delay,right,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,10,gorgo,26,m,gorilla,3,1,30min_delay,middle,left,0
amici2010monkeys,memory_delayed_response_task,2008,1,11,gorgo,26,m,gorilla,4,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,joey,25,m,bonobo,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,joey,25,m,bonobo,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,joey,25,m,bonobo,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,joey,25,m,bonobo,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,joey,25,m,bonobo,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,joey,25,m,bonobo,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,joey,25,m,bonobo,2,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,15,joey,25,m,bonobo,3,1,30min_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,15,joey,25,m,bonobo,4,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,kibara,3,f,gorilla,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,kibara,3,f,gorilla,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,kibara,3,f,gorilla,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,kibara,3,f,gorilla,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,kibara,3,f,gorilla,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,kibara,3,f,gorilla,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,kibara,3,f,gorilla,2,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,4,kibara,3,f,gorilla,3,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,5,kibara,3,f,gorilla,4,1,30min_delay,middle,right,0
amici2010monkeys,memory_delayed_response_task,2008,1,4,kila,7,f,orangutan,1,1,no_delay,right,left,0
amici2010monkeys,memory_delayed_response_task,2008,1,4,kila,7,f,orangutan,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,4,kila,7,f,orangutan,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,4,kila,7,f,orangutan,1,4,30sec_delay,right,left,0
amici2010monkeys,memory_delayed_response_task,2008,1,4,kila,7,f,orangutan,1,5,30sec_delay,middle,left,0
amici2010monkeys,memory_delayed_response_task,2008,1,4,kila,7,f,orangutan,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,7,kila,7,f,orangutan,2,1,30min_delay,right,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,8,kila,7,f,orangutan,3,1,30min_delay,middle,left,0
amici2010monkeys,memory_delayed_response_task,2008,1,9,kila,7,f,orangutan,4,1,30min_delay,left,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,14,kuno,11,m,bonobo,1,1,no_delay,right, ,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,kuno,11,m,bonobo,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,kuno,11,m,bonobo,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,kuno,11,m,bonobo,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,kuno,11,m,bonobo,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,kuno,11,m,bonobo,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,kuno,11,m,bonobo,2,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,15,kuno,11,m,bonobo,3,1,30min_delay,middle,,1
