"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","condition(time point) in which the participants were allowed to make a choice – no delay/30sec delay/30min delay"
"baited_cup","the location of food – right/middle/left"
"chosen_cup_if_choice_differs_from_position_of_reward","chosen cup if choice differs from position of reward - right/middle/ left"
"correct","chosen cup with reward – 1= correct/0= incorrect"
