study_id,year ,month,day,participant,sex,role,participant_2,sex_2,role_2,species,dyad,session,trial,condition,experience_focal_participant,experience_partner,leverage,food_on_left_for_focal_participant,food_on_left_for_partner,food_on_right_for_focal_participant,food_on_right_for_partner,alternative_for_partner,choice_focal_participant,choice_partner,focal_participant_eat,partner_eat,focal_participant_max,partner_max,choice_alternative,focal_participant_choice_side
sanchez2021chimpanzees,2020,3,1,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,5,8,favorite_for_responder,1,1,yes,1,5,3,3,4.0,3,4.0,0,1.0,1,1.0,1.0,0
sanchez2021chimpanzees,2020,3,2,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,6,1,favorite_for_proposer,1,1,no,5,1,3,3,,5,1.0,1,1.0,1,1.0,,1
sanchez2021chimpanzees,2020,3,2,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,6,2,favorite_for_proposer,1,1,no,3,3,5,1,,5,1.0,1,1.0,1,1.0,,0
sanchez2021chimpanzees,2020,3,2,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,6,3,favorite_for_responder,1,1,no,1,5,3,3,,3,3.0,1,1.0,1,1.0,,0
sanchez2021chimpanzees,2020,3,2,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,6,4,favorite_for_responder,1,1,no,3,3,1,5,,3,3.0,1,1.0,1,1.0,,1
sanchez2021chimpanzees,2020,3,2,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,6,5,favorite_for_proposer,1,1,no,3,3,5,1,,5,1.0,1,1.0,1,1.0,,0
sanchez2021chimpanzees,2020,3,2,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,6,6,favorite_for_responder,1,1,no,1,5,3,3,,3,3.0,1,1.0,1,1.0,,0
sanchez2021chimpanzees,2020,3,2,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,6,7,favorite_for_responder,1,1,no,3,3,1,5,,3,3.0,1,1.0,1,1.0,,1
sanchez2021chimpanzees,2020,3,2,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,6,8,favorite_for_proposer,1,1,no,5,1,3,3,,5,1.0,1,1.0,1,1.0,,1
sanchez2021chimpanzees,2020,3,4,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,7,1,favorite_for_responder,1,1,yes,3,3,1,5,4.0,3,4.0,0,1.0,1,1.0,1.0,1
sanchez2021chimpanzees,2020,3,4,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,7,2,favorite_for_responder,1,1,yes,1,5,3,3,4.0,3,4.0,0,1.0,1,1.0,1.0,0
sanchez2021chimpanzees,2020,3,4,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,7,3,favorite_for_proposer,1,1,yes,5,1,3,3,2.0,5,2.0,0,1.0,1,1.0,1.0,1
sanchez2021chimpanzees,2020,3,4,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,7,4,favorite_for_responder,1,1,yes,3,3,1,5,4.0,3,4.0,0,1.0,1,1.0,1.0,1
sanchez2021chimpanzees,2020,3,4,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,7,5,favorite_for_proposer,1,1,yes,3,3,5,1,2.0,5,2.0,0,1.0,1,1.0,1.0,0
sanchez2021chimpanzees,2020,3,4,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,7,6,favorite_for_responder,1,1,yes,1,5,3,3,4.0,3,4.0,0,1.0,1,1.0,1.0,0
sanchez2021chimpanzees,2020,3,4,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,7,7,favorite_for_proposer,1,1,yes,5,1,3,3,2.0,5,2.0,0,1.0,1,1.0,1.0,1
sanchez2021chimpanzees,2020,3,4,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,7,8,favorite_for_proposer,1,1,yes,3,3,5,1,2.0,3,2.0,0,1.0,0,0.0,1.0,1
sanchez2021chimpanzees,2020,3,5,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,8,1,favorite_for_proposer,1,1,no,5,1,3,3,,5,1.0,1,1.0,1,1.0,,1
sanchez2021chimpanzees,2020,3,5,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,8,2,favorite_for_responder,1,1,no,1,5,3,3,,3,3.0,1,1.0,1,1.0,,0
sanchez2021chimpanzees,2020,3,5,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,8,3,favorite_for_responder,1,1,no,3,3,1,5,,3,3.0,1,1.0,1,1.0,,1
sanchez2021chimpanzees,2020,3,5,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,8,4,favorite_for_proposer,1,1,no,5,1,3,3,,5,1.0,1,1.0,1,1.0,,1
sanchez2021chimpanzees,2020,3,5,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,8,5,favorite_for_proposer,1,1,no,3,3,5,1,,5,1.0,1,1.0,1,1.0,,0
sanchez2021chimpanzees,2020,3,5,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,8,6,favorite_for_responder,1,1,no,1,5,3,3,,3,3.0,1,1.0,1,1.0,,0
sanchez2021chimpanzees,2020,3,5,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,8,7,favorite_for_proposer,1,1,no,3,3,5,1,,5,1.0,1,1.0,1,1.0,,0
sanchez2021chimpanzees,2020,3,5,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,8,8,favorite_for_responder,1,1,no,3,3,1,5,,3,3.0,1,1.0,1,1.0,,1
sanchez2021chimpanzees,2020,3,6,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,9,1,favorite_for_proposer,1,1,yes,5,1,3,3,2.0,5,2.0,0,1.0,1,1.0,1.0,1
sanchez2021chimpanzees,2020,3,6,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,9,2,favorite_for_responder,1,1,yes,1,5,3,3,4.0,3,4.0,0,1.0,1,1.0,1.0,0
sanchez2021chimpanzees,2020,3,6,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,9,3,favorite_for_proposer,1,1,yes,3,3,5,1,2.0,5,2.0,0,1.0,1,1.0,1.0,0
sanchez2021chimpanzees,2020,3,6,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,9,4,favorite_for_responder,1,1,yes,1,5,3,3,4.0,3,4.0,0,1.0,1,1.0,1.0,0
sanchez2021chimpanzees,2020,3,6,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,9,5,favorite_for_responder,1,1,yes,3,3,1,5,4.0,3,4.0,0,1.0,1,1.0,1.0,1
sanchez2021chimpanzees,2020,3,6,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,9,6,favorite_for_proposer,1,1,yes,3,3,5,1,2.0,3,2.0,0,1.0,0,0.0,1.0,1
sanchez2021chimpanzees,2020,3,6,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,9,7,favorite_for_proposer,1,1,yes,5,1,3,3,2.0,5,2.0,0,1.0,1,1.0,1.0,1
sanchez2021chimpanzees,2020,3,6,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,9,8,favorite_for_responder,1,1,yes,3,3,1,5,4.0,3,4.0,0,1.0,1,1.0,1.0,1
sanchez2021chimpanzees,2020,3,7,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,10,1,favorite_for_responder,1,1,no,1,5,3,3,,3,3.0,1,1.0,1,1.0,,0
sanchez2021chimpanzees,2020,3,7,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,10,2,favorite_for_responder,1,1,no,3,3,1,5,,3,3.0,1,1.0,1,1.0,,1
sanchez2021chimpanzees,2020,3,7,sandra,f,focal_participant,tai,f,partner,chimpanzee,sandra_tai,10,3,favorite_for_proposer,1,1,no,5,1,3,3,,5,1.0,1,1.0,1,1.0,,1
