study_id,participant,sex,species,session,trial,order,automatic_gaze_value,gaze_behind_barriers_value
schmid2017great,alexandra,f,chimpanzee,1,8,reliablefirst,1.0,1.0
schmid2017great,alexandra,f,chimpanzee,2,1,reliablefirst,1.0,0.0
schmid2017great,alexandra,f,chimpanzee,2,2,reliablefirst,1.0,1.0
schmid2017great,alexandra,f,chimpanzee,2,3,reliablefirst,1.0,1.0
schmid2017great,alexandra,f,chimpanzee,2,4,reliablefirst,1.0,0.0
schmid2017great,alexandra,f,chimpanzee,2,5,reliablefirst,1.0,0.0
schmid2017great,alexandra,f,chimpanzee,2,6,reliablefirst,1.0,1.0
schmid2017great,alexandra,f,chimpanzee,2,7,reliablefirst,1.0,1.0
schmid2017great,alexandra,f,chimpanzee,2,8,reliablefirst,0.0,0.0
schmid2017great,alexandra,f,chimpanzee,3,1,reliablefirst,1.0,0.0
schmid2017great,alexandra,f,chimpanzee,3,2,reliablefirst,1.0,0.0
schmid2017great,alexandra,f,chimpanzee,3,3,reliablefirst,0.0,0.0
schmid2017great,alexandra,f,chimpanzee,3,4,reliablefirst,1.0,1.0
schmid2017great,alexandra,f,chimpanzee,3,5,reliablefirst,1.0,0.0
schmid2017great,alexandra,f,chimpanzee,3,6,reliablefirst,0.0,0.0
schmid2017great,alexandra,f,chimpanzee,3,7,reliablefirst,1.0,0.0
schmid2017great,alexandra,f,chimpanzee,3,8,reliablefirst,1.0,0.0
schmid2017great,alexandra,f,chimpanzee,4,1,reliablefirst,1.0,0.0
schmid2017great,alexandra,f,chimpanzee,4,2,reliablefirst,1.0,1.0
schmid2017great,alexandra,f,chimpanzee,4,3,reliablefirst,1.0,0.0
schmid2017great,alexandra,f,chimpanzee,4,4,reliablefirst,0.0,0.0
schmid2017great,alexandra,f,chimpanzee,4,5,reliablefirst,1.0,1.0
schmid2017great,alexandra,f,chimpanzee,4,6,reliablefirst,0.0,0.0
schmid2017great,alexandra,f,chimpanzee,4,7,reliablefirst,1.0,1.0
schmid2017great,alexandra,f,chimpanzee,4,8,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,1,1,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,1,2,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,1,3,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,1,4,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,1,5,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,1,6,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,1,7,reliablefirst,0.0,1.0
schmid2017great,bangolo,m,chimpanzee,1,8,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,2,1,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,2,2,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,2,3,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,2,4,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,2,5,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,2,6,reliablefirst,1.0,1.0
schmid2017great,bangolo,m,chimpanzee,2,7,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,2,8,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,3,1,reliablefirst,0.0,0.0
schmid2017great,bangolo,m,chimpanzee,3,2,reliablefirst,0.0,0.0
schmid2017great,bangolo,m,chimpanzee,3,3,reliablefirst,0.0,0.0
schmid2017great,bangolo,m,chimpanzee,3,4,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,3,5,reliablefirst,0.0,0.0
schmid2017great,bangolo,m,chimpanzee,3,6,reliablefirst,0.0,0.0
schmid2017great,bangolo,m,chimpanzee,3,7,reliablefirst,0.0,0.0
schmid2017great,bangolo,m,chimpanzee,3,8,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,4,1,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,4,2,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,4,3,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,4,4,reliablefirst,0.0,0.0
schmid2017great,bangolo,m,chimpanzee,4,5,reliablefirst,0.0,0.0
schmid2017great,bangolo,m,chimpanzee,4,6,reliablefirst,0.0,0.0
schmid2017great,bangolo,m,chimpanzee,4,7,reliablefirst,1.0,0.0
schmid2017great,bangolo,m,chimpanzee,4,8,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,1,1,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,1,2,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,1,3,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,1,4,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,1,5,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,1,6,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,1,7,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,1,8,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,2,1,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,2,2,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,2,3,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,2,4,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,2,5,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,2,6,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,2,7,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,2,8,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,3,1,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,3,2,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,3,3,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,3,4,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,3,5,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,3,6,reliablefirst,1.0,1.0
schmid2017great,bimbo,m,orangutan,3,7,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,3,8,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,4,1,reliablefirst,1.0,0.0
schmid2017great,bimbo,m,orangutan,4,2,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,4,3,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,4,4,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,4,5,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,4,6,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,4,7,reliablefirst,0.0,0.0
schmid2017great,bimbo,m,orangutan,4,8,reliablefirst,0.0,0.0
schmid2017great,dokana,f,orangutan,1,1,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,1,2,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,1,3,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,1,4,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,1,5,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,1,6,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,1,7,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,1,8,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,2,1,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,2,2,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,2,3,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,2,4,reliablefirst,0.0,0.0
schmid2017great,dokana,f,orangutan,2,5,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,2,6,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,2,7,reliablefirst,0.0,0.0
