study_id,experiment,year,month,day,participant,age_in_years,sex,species,species_subgroup,session,test_trial,trial,condition,constellation,food_left,food_right,point,side_indicated,food_indicated,point_to_absent,indicated_food
bohn2015communication,1,2013,10,17,pini,25.0,f,orangutan,,1,1,10,test,different,c,x,1,l,c,0,none
bohn2015communication,1,2013,10,17,pini,25.0,f,orangutan,,1,2,11,test,different,c,x,1,l,c,0,none
bohn2015communication,1,2013,10,17,pini,25.0,f,orangutan,,1,3,12,test,different,c,x,1,l,c,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,0,1,testwarmup,same,g,g,1,l,g,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,0,2,testwarmup,same,g,g,1,l,g,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,0,3,testwarmup,same,g,g,1,l,g,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,0,4,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,0,5,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,0,6,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,0,7,testwarmup,same,g,g,1,l,g,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,0,8,testwarmup,same,g,g,1,l,g,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,0,9,testwarmup,same,g,g,1,l,g,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,1,10,test,same,x,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,2,11,test,same,x,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,bimbo,33.0,m,orangutan,,2,3,12,test,same,x,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,dokana,24.0,f,orangutan,,2,0,1,testwarmup,different,g,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,dokana,24.0,f,orangutan,,2,0,2,testwarmup,different,g,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,dokana,24.0,f,orangutan,,2,0,3,testwarmup,different,g,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,dokana,24.0,f,orangutan,,2,0,4,testwarmup,different,g,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,dokana,24.0,f,orangutan,,2,0,5,testwarmup,different,g,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,dokana,24.0,f,orangutan,,2,0,6,testwarmup,different,g,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,dokana,24.0,f,orangutan,,2,0,7,testwarmup,different,g,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,dokana,24.0,f,orangutan,,2,0,8,testwarmup,different,g,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,dokana,24.0,f,orangutan,,2,0,9,testwarmup,different,g,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,dokana,24.0,f,orangutan,,2,1,10,test,different,g,x,1,r,c,1,lq
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,0,1,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,0,2,testwarmup,different,g,c,1,l,g,0,none
