"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","half table condition -food hidden in one of three cups near each other after 30 seconds they are retrieved"
"position","place where the reward was -left/right/ middle"
"chosen","whether participant choice was in the left/right/ middle"
"correct","whether participant choice was correct - correct/incorrect"
