study_id,experiment,year,month,day,date_of_arrival,participant,age_in_years,sex,species,location,trial,condition,alignment,correct_cup,correct_cup_position,choice,correct
haun2009great,4,2003,4,15,4/15/2003,osborn,24,f,orangutan,pasir_panjang,9.0,nothing,left,1,1,3,0.0
haun2009great,4,2003,4,15,4/15/2003,osborn,24,f,orangutan,pasir_panjang,12.0,nothing,left,1,1,3,0.0
haun2009great,4,2003,4,15,4/15/2003,osborn,24,f,orangutan,pasir_panjang,14.0,nothing,left,1,1,3,0.0
haun2009great,4,2003,4,15,4/15/2003,osborn,24,f,orangutan,pasir_panjang,17.0,nothing,left,1,1,3,0.0
haun2009great,4,2003,4,15,4/15/2003,osborn,24,f,orangutan,pasir_panjang,18.0,nothing,left,1,1,2,0.0
haun2009great,4,2004,7,28,7/28/2004,rowland,24,m,orangutan,pasir_panjang,1.0,nothing,right,3,1,3,1.0
haun2009great,4,2004,7,28,7/28/2004,rowland,24,m,orangutan,pasir_panjang,2.0,nothing,right,3,1,3,1.0
haun2009great,4,2004,7,28,7/28/2004,rowland,24,m,orangutan,pasir_panjang,13.0,nothing,right,3,1,2,0.0
haun2009great,4,2004,7,28,7/28/2004,rowland,24,m,orangutan,pasir_panjang,14.0,nothing,right,3,1,3,1.0
haun2009great,4,2004,7,28,7/28/2004,rowland,24,m,orangutan,pasir_panjang,16.0,nothing,right,3,1,3,1.0
haun2009great,4,2004,7,28,7/28/2004,rowland,24,m,orangutan,pasir_panjang,17.0,nothing,right,3,1,3,1.0
haun2009great,4,2002,8,21,8/21/2002,claire,24,f,orangutan,pasir_panjang,2.0,nothing,right,2,2,1,0.0
haun2009great,4,2002,8,21,8/21/2002,claire,24,f,orangutan,pasir_panjang,6.0,nothing,right,2,2,3,0.0
haun2009great,4,2002,8,21,8/21/2002,claire,24,f,orangutan,pasir_panjang,7.0,nothing,right,2,2,2,1.0
haun2009great,4,2002,8,21,8/21/2002,claire,24,f,orangutan,pasir_panjang,11.0,nothing,right,2,2,2,1.0
haun2009great,4,2002,8,21,8/21/2002,claire,24,f,orangutan,pasir_panjang,14.0,nothing,right,2,2,2,1.0
haun2009great,4,2002,8,21,8/21/2002,claire,24,f,orangutan,pasir_panjang,17.0,nothing,right,2,2,2,1.0
haun2009great,4,2003,7,15,7/15/2003,natalia,24,f,orangutan,pasir_panjang,2.0,nothing,left,2,2,1,0.0
haun2009great,4,2003,7,15,7/15/2003,natalia,24,f,orangutan,pasir_panjang,7.0,nothing,left,2,2,1,0.0
haun2009great,4,2003,7,15,7/15/2003,natalia,24,f,orangutan,pasir_panjang,8.0,nothing,left,2,2,1,0.0
haun2009great,4,2003,7,15,7/15/2003,natalia,24,f,orangutan,pasir_panjang,11.0,nothing,left,2,2,1,0.0
haun2009great,4,2003,7,15,7/15/2003,natalia,24,f,orangutan,pasir_panjang,17.0,nothing,left,2,2,1,0.0
haun2009great,4,2003,7,15,7/15/2003,natalia,24,f,orangutan,pasir_panjang,18.0,nothing,left,2,2,1,0.0
haun2009great,4,2003,4,15,4/15/2003,osborn,24,f,orangutan,pasir_panjang,2.0,nothing,left,2,2,2,1.0
haun2009great,4,2003,4,15,4/15/2003,osborn,24,f,orangutan,pasir_panjang,4.0,nothing,left,2,2,2,1.0
haun2009great,4,2003,4,15,4/15/2003,osborn,24,f,orangutan,pasir_panjang,7.0,nothing,left,2,2,2,1.0
haun2009great,4,2003,4,15,4/15/2003,osborn,24,f,orangutan,pasir_panjang,8.0,nothing,left,2,2,2,1.0
haun2009great,4,2003,4,15,4/15/2003,osborn,24,f,orangutan,pasir_panjang,11.0,nothing,left,2,2,3,0.0
haun2009great,4,2003,4,15,4/15/2003,osborn,24,f,orangutan,pasir_panjang,15.0,nothing,left,2,2,2,1.0
haun2009great,4,2004,7,28,7/28/2004,rowland,24,m,orangutan,pasir_panjang,3.0,nothing,right,2,2,3,0.0
haun2009great,4,2004,7,28,7/28/2004,rowland,24,m,orangutan,pasir_panjang,5.0,nothing,right,2,2,3,0.0
haun2009great,4,2004,7,28,7/28/2004,rowland,24,m,orangutan,pasir_panjang,8.0,nothing,right,2,2,3,0.0
haun2009great,4,2004,7,28,7/28/2004,rowland,24,m,orangutan,pasir_panjang,11.0,nothing,right,2,2,1,0.0
haun2009great,4,2004,7,28,7/28/2004,rowland,24,m,orangutan,pasir_panjang,15.0,nothing,right,2,2,1,0.0
