study_id,experiment,experiment_name,participant,age_original,age_in_years,sex,species,species_subgroup,session,trial,all_trials,condition,pref,pref_side,decision,side
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,1,1,11.0,pretest,banana,right,,
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,1,2,11.0,pretest,banana,right,,
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,1,3,11.0,pretest,banana,left,,
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,1,4,11.0,pretest,banana,left,,
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,1,1,11.0,test,,,correct,right
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,1,2,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,1,3,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,1,4,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,1,5,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,1,6,11.0,test,,,wrong,left
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,2,7,11.0,test,,,correct,right
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,2,8,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,2,9,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,2,10,11.0,test,,,correct,right
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,2,11,11.0,test,,,correct,right
rakoczy2014apes,3,control_heuristics_banana_majority,bimbo,366.0,30.0,m,orangutan,,2,12,11.0,test,,,correct,right
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,1,1,4.0,pretest,banana,left,,
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,1,2,4.0,pretest,banana,left,,
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,1,3,4.0,pretest,banana,right,,
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,1,4,4.0,pretest,banana,right,,
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,1,1,4.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,1,2,4.0,test,,,wrong,left
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,1,3,4.0,test,,,wrong,right
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,1,4,4.0,test,,,wrong,left
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,1,5,4.0,test,,,wrong,left
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,1,6,4.0,test,,,wrong,right
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,2,7,4.0,test,,,wrong,left
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,2,8,4.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,2,9,4.0,test,,,wrong,left
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,2,10,4.0,test,,,wrong,right
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,2,11,4.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,corry,411.0,34.0,f,chimpanzee,a,2,12,4.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,1,1,11.0,pretest,banana,left,,
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,1,2,11.0,pretest,banana,left,,
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,1,3,11.0,pretest,banana,right,,
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,1,4,11.0,pretest,banana,right,,
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,1,1,11.0,test,,,correct,right
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,1,2,11.0,test,,,correct,right
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,1,3,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,1,4,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,1,5,11.0,test,,,correct,right
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,1,6,11.0,test,,,wrong,left
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,2,7,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,2,8,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,2,9,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,2,10,11.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,2,11,11.0,test,,,correct,right
rakoczy2014apes,3,control_heuristics_banana_majority,dokana,266.0,22.0,f,orangutan,,2,12,11.0,test,,,correct,right
rakoczy2014apes,3,control_heuristics_banana_majority,dorien,365.0,30.0,f,chimpanzee,a,1,1,10.0,pretest,banana,right,,
rakoczy2014apes,3,control_heuristics_banana_majority,dorien,365.0,30.0,f,chimpanzee,a,1,2,10.0,pretest,banana,right,,
rakoczy2014apes,3,control_heuristics_banana_majority,dorien,365.0,30.0,f,chimpanzee,a,1,3,10.0,pretest,banana,left,,
rakoczy2014apes,3,control_heuristics_banana_majority,dorien,365.0,30.0,f,chimpanzee,a,1,4,10.0,pretest,banana,left,,
rakoczy2014apes,3,control_heuristics_banana_majority,dorien,365.0,30.0,f,chimpanzee,a,1,1,10.0,test,,,correct,right
rakoczy2014apes,3,control_heuristics_banana_majority,dorien,365.0,30.0,f,chimpanzee,a,1,2,10.0,test,,,correct,left
rakoczy2014apes,3,control_heuristics_banana_majority,dorien,365.0,30.0,f,chimpanzee,a,1,3,10.0,test,,,correct,left
