study_id,experiment,experiment_name,participant,age_original,age_in_years,sex,species,species_subgroup,session,trial,all_trials,condition,pref,pref_side,decision,side
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,2,7,10.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,2,8,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,2,9,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,2,10,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,2,11,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,2,12,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,1,1,11.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,1,2,11.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,1,3,11.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,1,4,11.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,1,1,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,1,2,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,1,3,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,1,4,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,1,5,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,1,6,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,2,7,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,2,8,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,2,9,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,2,10,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,2,11,11.0,test,,,wrong,right
rakoczy2014apes,4,statistical_inference_control_one,frodo,208.0,17.0,m,chimpanzee,a,2,12,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,1,1,10.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,1,2,10.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,1,3,10.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,1,4,10.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,1,1,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,1,2,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,1,3,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,1,4,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,1,5,10.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,1,6,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,2,7,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,2,8,10.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,2,9,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,2,10,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,2,11,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,gorgo,348.0,29.0,m,gorilla,,2,12,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,1,1,8.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,1,2,8.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,1,3,8.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,1,4,8.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,1,1,8.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,1,2,8.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,1,3,8.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,1,4,8.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,1,5,8.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,1,6,8.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,2,7,8.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,2,8,8.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,2,9,8.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,2,10,8.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,2,11,8.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,joey,339.0,28.0,m,bonobo,,2,12,8.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,1,1,10.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,1,2,10.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,1,3,10.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,1,4,10.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,1,1,10.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,1,2,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,1,3,10.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,1,4,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,1,5,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,1,6,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,2,7,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,2,8,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,2,9,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,2,10,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,2,11,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kara,69.0,5.0,f,chimpanzee,a,2,12,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,1,1,,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,1,2,,pretest,carrott,left,,
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,1,3,,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,1,4,,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,1,1,,test,,,,
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,1,2,,test,,,,
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,1,3,,test,,,,
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,1,4,,test,,,,
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,1,5,,test,,,,
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,1,6,,test,,,,
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,2,7,,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,2,8,,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,2,9,,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,2,10,,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,2,11,,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kibara,86.0,7.0,f,gorilla,,2,12,,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,1,1,9.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,1,2,9.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,1,3,9.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,1,4,9.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,1,1,9.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,1,2,9.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,1,3,9.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,1,4,9.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,1,5,9.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,1,6,9.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,2,7,9.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,2,8,9.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,2,9,9.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,2,10,9.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,2,11,9.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kila,129.0,10.0,f,orangutan,,2,12,9.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,1,1,10.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,1,2,10.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,1,3,10.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,1,4,10.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,1,1,10.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,1,2,10.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,1,3,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,1,4,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,1,5,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,1,6,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,2,7,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,2,8,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,2,9,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,2,10,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,2,11,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kofi,68.0,5.0,m,chimpanzee,a,2,12,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,1,1,11.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,1,2,11.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,1,3,11.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,1,4,11.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,1,1,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,1,2,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,1,3,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,1,4,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,1,5,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,1,6,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,2,7,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,2,8,11.0,test,,,wrong,right
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,2,9,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,2,10,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,2,11,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,kuno,172.0,14.0,m,bonobo,,2,12,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,1,1,11.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,1,2,11.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,1,3,11.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,1,4,11.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,1,1,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,1,2,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,1,3,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,1,4,11.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,1,5,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,1,6,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,2,7,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,2,8,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,2,9,11.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,2,10,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,2,11,11.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,lobo,83.0,6.0,m,chimpanzee,a,2,12,11.0,test,,,correct,right
