study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,dyad,species,day,white,brown
leeuwen2013total,lobo,7,m,observed,lome,10.0,m,observer,lobo_lome,chimpanzee,8.0,,
leeuwen2013total,swela,16,f,observed,lome,10.0,m,observer,swela_lome,chimpanzee,8.0,,
leeuwen2013total,ulla,34,f,observed,lome,10.0,m,observer,ulla_lome,chimpanzee,8.0,,
leeuwen2013total,dorien,31,f,observed,lome,10.0,m,observer,dorien_lome,chimpanzee,8.0,,
leeuwen2013total,tai,9,f,observed,lome,10.0,m,observer,tai_lome,chimpanzee,9.0,3.0,
leeuwen2013total,pia,12,f,observed,lome,10.0,m,observer,pia_lome,chimpanzee,9.0,,
leeuwen2013total,lome,10,m,exchanger,,,,,,chimpanzee,9.0,,
leeuwen2013total,fraukje,35,f,observed,lome,10.0,m,observer,fraukje_lome,chimpanzee,9.0,1.0,
leeuwen2013total,kara,6,f,observed,lome,10.0,m,observer,kara_lome,chimpanzee,9.0,1.0,
leeuwen2013total,kofi,6,m,observed,lome,10.0,m,observer,kofi_lome,chimpanzee,9.0,2.0,
leeuwen2013total,lobo,7,m,observed,lome,10.0,m,observer,lobo_lome,chimpanzee,9.0,,
leeuwen2013total,swela,16,f,observed,lome,10.0,m,observer,swela_lome,chimpanzee,9.0,,
leeuwen2013total,ulla,34,f,observed,lome,10.0,m,observer,ulla_lome,chimpanzee,9.0,,
leeuwen2013total,dorien,31,f,observed,lome,10.0,m,observer,dorien_lome,chimpanzee,9.0,,
leeuwen2013total,tai,9,f,observed,lome,10.0,m,observer,tai_lome,chimpanzee,10.0,10.0,4.0
leeuwen2013total,pia,12,f,observed,lome,10.0,m,observer,pia_lome,chimpanzee,10.0,,
leeuwen2013total,lome,10,m,exchanger,,,,,,chimpanzee,10.0,,
leeuwen2013total,fraukje,35,f,observed,lome,10.0,m,observer,fraukje_lome,chimpanzee,10.0,,
leeuwen2013total,kara,6,f,observed,lome,10.0,m,observer,kara_lome,chimpanzee,10.0,1.0,1.0
leeuwen2013total,kofi,6,m,observed,lome,10.0,m,observer,kofi_lome,chimpanzee,10.0,1.0,
leeuwen2013total,lobo,7,m,observed,lome,10.0,m,observer,lobo_lome,chimpanzee,10.0,4.0,
leeuwen2013total,swela,16,f,observed,lome,10.0,m,observer,swela_lome,chimpanzee,10.0,,
leeuwen2013total,ulla,34,f,observed,lome,10.0,m,observer,ulla_lome,chimpanzee,10.0,,
leeuwen2013total,dorien,31,f,observed,lome,10.0,m,observer,dorien_lome,chimpanzee,10.0,,
leeuwen2013total,tai,9,f,observed,fraukje,35.0,f,observer,tai_fraukje,chimpanzee,1.0,19.0,10.0
leeuwen2013total,pia,12,f,observed,fraukje,35.0,f,observer,pia_fraukje,chimpanzee,1.0,,1.0
leeuwen2013total,lome,10,m,observed,fraukje,35.0,f,observer,lome_fraukje,chimpanzee,1.0,1.0,
leeuwen2013total,fraukje,35,f,exchanger,,,,,,chimpanzee,1.0,1.0,
leeuwen2013total,kara,6,f,observed,fraukje,35.0,f,observer,kara_fraukje,chimpanzee,1.0,1.0,8.0
leeuwen2013total,kofi,6,m,observed,fraukje,35.0,f,observer,kofi_fraukje,chimpanzee,1.0,4.0,
leeuwen2013total,lobo,7,m,observed,fraukje,35.0,f,observer,lobo_fraukje,chimpanzee,1.0,2.0,
leeuwen2013total,swela,16,f,observed,fraukje,35.0,f,observer,swela_fraukje,chimpanzee,1.0,,
leeuwen2013total,ulla,34,f,observed,fraukje,35.0,f,observer,ulla_fraukje,chimpanzee,1.0,,
leeuwen2013total,dorien,31,f,observed,fraukje,35.0,f,observer,dorien_fraukje,chimpanzee,1.0,,
leeuwen2013total,tai,9,f,observed,fraukje,35.0,f,observer,tai_fraukje,chimpanzee,2.0,,
leeuwen2013total,pia,12,f,observed,fraukje,35.0,f,observer,pia_fraukje,chimpanzee,2.0,3.0,2.0
leeuwen2013total,lome,10,m,observed,fraukje,35.0,f,observer,lome_fraukje,chimpanzee,2.0,,
leeuwen2013total,fraukje,35,f,exchanger,,,,,,chimpanzee,2.0,,
leeuwen2013total,kara,6,f,observed,fraukje,35.0,f,observer,kara_fraukje,chimpanzee,2.0,1.0,1.0
leeuwen2013total,kofi,6,m,observed,fraukje,35.0,f,observer,kofi_fraukje,chimpanzee,2.0,,2.0
leeuwen2013total,lobo,7,m,observed,fraukje,35.0,f,observer,lobo_fraukje,chimpanzee,2.0,1.0,
leeuwen2013total,swela,16,f,observed,fraukje,35.0,f,observer,swela_fraukje,chimpanzee,2.0,,6.0
leeuwen2013total,ulla,34,f,observed,fraukje,35.0,f,observer,ulla_fraukje,chimpanzee,2.0,,1.0
leeuwen2013total,dorien,31,f,observed,fraukje,35.0,f,observer,dorien_fraukje,chimpanzee,2.0,,
leeuwen2013total,tai,9,f,observed,fraukje,35.0,f,observer,tai_fraukje,chimpanzee,3.0,,
leeuwen2013total,pia,12,f,observed,fraukje,35.0,f,observer,pia_fraukje,chimpanzee,3.0,,
leeuwen2013total,lome,10,m,observed,fraukje,35.0,f,observer,lome_fraukje,chimpanzee,3.0,,
leeuwen2013total,fraukje,35,f,exchanger,,,,,,chimpanzee,3.0,,
leeuwen2013total,kara,6,f,observed,fraukje,35.0,f,observer,kara_fraukje,chimpanzee,3.0,,
leeuwen2013total,kofi,6,m,observed,fraukje,35.0,f,observer,kofi_fraukje,chimpanzee,3.0,,
leeuwen2013total,lobo,7,m,observed,fraukje,35.0,f,observer,lobo_fraukje,chimpanzee,3.0,,
leeuwen2013total,swela,16,f,observed,fraukje,35.0,f,observer,swela_fraukje,chimpanzee,3.0,,
leeuwen2013total,ulla,34,f,observed,fraukje,35.0,f,observer,ulla_fraukje,chimpanzee,3.0,,
leeuwen2013total,dorien,31,f,observed,fraukje,35.0,f,observer,dorien_fraukje,chimpanzee,3.0,,
leeuwen2013total,tai,9,f,observed,fraukje,35.0,f,observer,tai_fraukje,chimpanzee,4.0,24.0,3.0
leeuwen2013total,pia,12,f,observed,fraukje,35.0,f,observer,pia_fraukje,chimpanzee,4.0,6.0,7.0
leeuwen2013total,lome,10,m,observed,fraukje,35.0,f,observer,lome_fraukje,chimpanzee,4.0,,
leeuwen2013total,fraukje,35,f,exchanger,,,,,,chimpanzee,4.0,2.0,3.0
leeuwen2013total,kara,6,f,observed,fraukje,35.0,f,observer,kara_fraukje,chimpanzee,4.0,,8.0
leeuwen2013total,kofi,6,m,observed,fraukje,35.0,f,observer,kofi_fraukje,chimpanzee,4.0,,
leeuwen2013total,lobo,7,m,observed,fraukje,35.0,f,observer,lobo_fraukje,chimpanzee,4.0,3.0,
leeuwen2013total,swela,16,f,observed,fraukje,35.0,f,observer,swela_fraukje,chimpanzee,4.0,,
leeuwen2013total,ulla,34,f,observed,fraukje,35.0,f,observer,ulla_fraukje,chimpanzee,4.0,,
leeuwen2013total,dorien,31,f,observed,fraukje,35.0,f,observer,dorien_fraukje,chimpanzee,4.0,,
leeuwen2013total,tai,9,f,observed,fraukje,35.0,f,observer,tai_fraukje,chimpanzee,5.0,,
leeuwen2013total,pia,12,f,observed,fraukje,35.0,f,observer,pia_fraukje,chimpanzee,5.0,,6.0
leeuwen2013total,lome,10,m,observed,fraukje,35.0,f,observer,lome_fraukje,chimpanzee,5.0,,
leeuwen2013total,fraukje,35,f,exchanger,,,,,,chimpanzee,5.0,2.0,3.0
leeuwen2013total,kara,6,f,observed,fraukje,35.0,f,observer,kara_fraukje,chimpanzee,5.0,,
leeuwen2013total,kofi,6,m,observed,fraukje,35.0,f,observer,kofi_fraukje,chimpanzee,5.0,,2.0
leeuwen2013total,lobo,7,m,observed,fraukje,35.0,f,observer,lobo_fraukje,chimpanzee,5.0,6.0,
leeuwen2013total,swela,16,f,observed,fraukje,35.0,f,observer,swela_fraukje,chimpanzee,5.0,,
leeuwen2013total,ulla,34,f,observed,fraukje,35.0,f,observer,ulla_fraukje,chimpanzee,5.0,,
leeuwen2013total,dorien,31,f,observed,fraukje,35.0,f,observer,dorien_fraukje,chimpanzee,5.0,,
leeuwen2013total,tai,9,f,observed,fraukje,35.0,f,observer,tai_fraukje,chimpanzee,6.0,41.0,7.0
leeuwen2013total,pia,12,f,observed,fraukje,35.0,f,observer,pia_fraukje,chimpanzee,6.0,1.0,9.0
leeuwen2013total,lome,10,m,observed,fraukje,35.0,f,observer,lome_fraukje,chimpanzee,6.0,,3.0
leeuwen2013total,fraukje,35,f,exchanger,,,,,,chimpanzee,6.0,4.0,16.0
leeuwen2013total,kara,6,f,observed,fraukje,35.0,f,observer,kara_fraukje,chimpanzee,6.0,3.0,8.0
leeuwen2013total,kofi,6,m,observed,fraukje,35.0,f,observer,kofi_fraukje,chimpanzee,6.0,6.0,3.0
leeuwen2013total,lobo,7,m,observed,fraukje,35.0,f,observer,lobo_fraukje,chimpanzee,6.0,27.0,
leeuwen2013total,swela,16,f,observed,fraukje,35.0,f,observer,swela_fraukje,chimpanzee,6.0,,
leeuwen2013total,ulla,34,f,observed,fraukje,35.0,f,observer,ulla_fraukje,chimpanzee,6.0,,
leeuwen2013total,dorien,31,f,observed,fraukje,35.0,f,observer,dorien_fraukje,chimpanzee,6.0,,
leeuwen2013total,tai,9,f,observed,fraukje,35.0,f,observer,tai_fraukje,chimpanzee,7.0,30.0,2.0
leeuwen2013total,pia,12,f,observed,fraukje,35.0,f,observer,pia_fraukje,chimpanzee,7.0,2.0,17.0
leeuwen2013total,lome,10,m,observed,fraukje,35.0,f,observer,lome_fraukje,chimpanzee,7.0,,9.0
leeuwen2013total,fraukje,35,f,exchanger,,,,,,chimpanzee,7.0,9.0,14.0
leeuwen2013total,kara,6,f,observed,fraukje,35.0,f,observer,kara_fraukje,chimpanzee,7.0,1.0,3.0
leeuwen2013total,kofi,6,m,observed,fraukje,35.0,f,observer,kofi_fraukje,chimpanzee,7.0,3.0,1.0
leeuwen2013total,lobo,7,m,observed,fraukje,35.0,f,observer,lobo_fraukje,chimpanzee,7.0,20.0,
leeuwen2013total,swela,16,f,observed,fraukje,35.0,f,observer,swela_fraukje,chimpanzee,7.0,,10.0
leeuwen2013total,ulla,34,f,observed,fraukje,35.0,f,observer,ulla_fraukje,chimpanzee,7.0,,
leeuwen2013total,dorien,31,f,observed,fraukje,35.0,f,observer,dorien_fraukje,chimpanzee,7.0,,
leeuwen2013total,tai,9,f,observed,fraukje,35.0,f,observer,tai_fraukje,chimpanzee,8.0,36.0,1.0
leeuwen2013total,pia,12,f,observed,fraukje,35.0,f,observer,pia_fraukje,chimpanzee,8.0,3.0,5.0
leeuwen2013total,lome,10,m,observed,fraukje,35.0,f,observer,lome_fraukje,chimpanzee,8.0,,
leeuwen2013total,fraukje,35,f,exchanger,,,,,,chimpanzee,8.0,16.0,11.0
leeuwen2013total,kara,6,f,observed,fraukje,35.0,f,observer,kara_fraukje,chimpanzee,8.0,15.0,6.0
leeuwen2013total,kofi,6,m,observed,fraukje,35.0,f,observer,kofi_fraukje,chimpanzee,8.0,3.0,3.0
leeuwen2013total,lobo,7,m,observed,fraukje,35.0,f,observer,lobo_fraukje,chimpanzee,8.0,25.0,
leeuwen2013total,swela,16,f,observed,fraukje,35.0,f,observer,swela_fraukje,chimpanzee,8.0,,
leeuwen2013total,ulla,34,f,observed,fraukje,35.0,f,observer,ulla_fraukje,chimpanzee,8.0,,
leeuwen2013total,dorien,31,f,observed,fraukje,35.0,f,observer,dorien_fraukje,chimpanzee,8.0,,
leeuwen2013total,tai,9,f,observed,fraukje,35.0,f,observer,tai_fraukje,chimpanzee,9.0,20.0,3.0
leeuwen2013total,pia,12,f,observed,fraukje,35.0,f,observer,pia_fraukje,chimpanzee,9.0,1.0,2.0
leeuwen2013total,lome,10,m,observed,fraukje,35.0,f,observer,lome_fraukje,chimpanzee,9.0,,
leeuwen2013total,fraukje,35,f,exchanger,,,,,,chimpanzee,9.0,7.0,5.0
leeuwen2013total,kara,6,f,observed,fraukje,35.0,f,observer,kara_fraukje,chimpanzee,9.0,6.0,1.0
leeuwen2013total,kofi,6,m,observed,fraukje,35.0,f,observer,kofi_fraukje,chimpanzee,9.0,9.0,
leeuwen2013total,lobo,7,m,observed,fraukje,35.0,f,observer,lobo_fraukje,chimpanzee,9.0,11.0,
leeuwen2013total,swela,16,f,observed,fraukje,35.0,f,observer,swela_fraukje,chimpanzee,9.0,,
leeuwen2013total,ulla,34,f,observed,fraukje,35.0,f,observer,ulla_fraukje,chimpanzee,9.0,,
leeuwen2013total,dorien,31,f,observed,fraukje,35.0,f,observer,dorien_fraukje,chimpanzee,9.0,,
leeuwen2013total,tai,9,f,observed,fraukje,35.0,f,observer,tai_fraukje,chimpanzee,10.0,29.0,9.0
leeuwen2013total,pia,12,f,observed,fraukje,35.0,f,observer,pia_fraukje,chimpanzee,10.0,,
leeuwen2013total,lome,10,m,observed,fraukje,35.0,f,observer,lome_fraukje,chimpanzee,10.0,,
leeuwen2013total,fraukje,35,f,exchanger,,,,,,chimpanzee,10.0,,3.0
leeuwen2013total,kara,6,f,observed,fraukje,35.0,f,observer,kara_fraukje,chimpanzee,10.0,7.0,6.0
leeuwen2013total,kofi,6,m,observed,fraukje,35.0,f,observer,kofi_fraukje,chimpanzee,10.0,8.0,2.0
leeuwen2013total,lobo,7,m,observed,fraukje,35.0,f,observer,lobo_fraukje,chimpanzee,10.0,18.0,
leeuwen2013total,swela,16,f,observed,fraukje,35.0,f,observer,swela_fraukje,chimpanzee,10.0,,
leeuwen2013total,ulla,34,f,observed,fraukje,35.0,f,observer,ulla_fraukje,chimpanzee,10.0,,
leeuwen2013total,dorien,31,f,observed,fraukje,35.0,f,observer,dorien_fraukje,chimpanzee,10.0,,
leeuwen2013total,tai,9,f,observed,kara,6.0,f,observer,tai_kara,chimpanzee,1.0,6.0,2.0
leeuwen2013total,pia,12,f,observed,kara,6.0,f,observer,pia_kara,chimpanzee,1.0,,1.0
leeuwen2013total,lome,10,m,observed,kara,6.0,f,observer,lome_kara,chimpanzee,1.0,1.0,1.0
leeuwen2013total,fraukje,35,f,observed,kara,6.0,f,observer,fraukje_kara,chimpanzee,1.0,,
leeuwen2013total,kara,6,f,exchanger,,,,,,chimpanzee,1.0,1.0,8.0
leeuwen2013total,kofi,6,m,observed,kara,6.0,f,observer,kofi_kara,chimpanzee,1.0,,
leeuwen2013total,lobo,7,m,observed,kara,6.0,f,observer,lobo_kara,chimpanzee,1.0,2.0,
leeuwen2013total,swela,16,f,observed,kara,6.0,f,observer,swela_kara,chimpanzee,1.0,,
leeuwen2013total,ulla,34,f,observed,kara,6.0,f,observer,ulla_kara,chimpanzee,1.0,,
leeuwen2013total,dorien,31,f,observed,kara,6.0,f,observer,dorien_kara,chimpanzee,1.0,,
leeuwen2013total,tai,9,f,observed,kara,6.0,f,observer,tai_kara,chimpanzee,2.0,3.0,1.0
leeuwen2013total,pia,12,f,observed,kara,6.0,f,observer,pia_kara,chimpanzee,2.0,2.0,3.0
leeuwen2013total,lome,10,m,observed,kara,6.0,f,observer,lome_kara,chimpanzee,2.0,,
leeuwen2013total,fraukje,35,f,observed,kara,6.0,f,observer,fraukje_kara,chimpanzee,2.0,,
leeuwen2013total,kara,6,f,exchanger,,,,,,chimpanzee,2.0,1.0,1.0
leeuwen2013total,kofi,6,m,observed,kara,6.0,f,observer,kofi_kara,chimpanzee,2.0,,
leeuwen2013total,lobo,7,m,observed,kara,6.0,f,observer,lobo_kara,chimpanzee,2.0,,
leeuwen2013total,swela,16,f,observed,kara,6.0,f,observer,swela_kara,chimpanzee,2.0,,
leeuwen2013total,ulla,34,f,observed,kara,6.0,f,observer,ulla_kara,chimpanzee,2.0,,
leeuwen2013total,dorien,31,f,observed,kara,6.0,f,observer,dorien_kara,chimpanzee,2.0,,
leeuwen2013total,tai,9,f,observed,kara,6.0,f,observer,tai_kara,chimpanzee,3.0,4.0,
leeuwen2013total,pia,12,f,observed,kara,6.0,f,observer,pia_kara,chimpanzee,3.0,1.0,3.0
leeuwen2013total,lome,10,m,observed,kara,6.0,f,observer,lome_kara,chimpanzee,3.0,,5.0
leeuwen2013total,fraukje,35,f,observed,kara,6.0,f,observer,fraukje_kara,chimpanzee,3.0,,
leeuwen2013total,kara,6,f,exchanger,,,,,,chimpanzee,3.0,,3.0
leeuwen2013total,kofi,6,m,observed,kara,6.0,f,observer,kofi_kara,chimpanzee,3.0,,1.0
leeuwen2013total,lobo,7,m,observed,kara,6.0,f,observer,lobo_kara,chimpanzee,3.0,,
leeuwen2013total,swela,16,f,observed,kara,6.0,f,observer,swela_kara,chimpanzee,3.0,,
leeuwen2013total,ulla,34,f,observed,kara,6.0,f,observer,ulla_kara,chimpanzee,3.0,,
leeuwen2013total,dorien,31,f,observed,kara,6.0,f,observer,dorien_kara,chimpanzee,3.0,,
leeuwen2013total,tai,9,f,observed,kara,6.0,f,observer,tai_kara,chimpanzee,4.0,6.0,1.0
leeuwen2013total,pia,12,f,observed,kara,6.0,f,observer,pia_kara,chimpanzee,4.0,2.0,7.0
leeuwen2013total,lome,10,m,observed,kara,6.0,f,observer,lome_kara,chimpanzee,4.0,,
leeuwen2013total,fraukje,35,f,observed,kara,6.0,f,observer,fraukje_kara,chimpanzee,4.0,2.0,1.0
leeuwen2013total,kara,6,f,exchanger,,,,,,chimpanzee,4.0,,10.0
leeuwen2013total,kofi,6,m,observed,kara,6.0,f,observer,kofi_kara,chimpanzee,4.0,,
leeuwen2013total,lobo,7,m,observed,kara,6.0,f,observer,lobo_kara,chimpanzee,4.0,1.0,
leeuwen2013total,swela,16,f,observed,kara,6.0,f,observer,swela_kara,chimpanzee,4.0,,
leeuwen2013total,ulla,34,f,observed,kara,6.0,f,observer,ulla_kara,chimpanzee,4.0,,
leeuwen2013total,dorien,31,f,observed,kara,6.0,f,observer,dorien_kara,chimpanzee,4.0,,
leeuwen2013total,tai,9,f,observed,kara,6.0,f,observer,tai_kara,chimpanzee,5.0,1.0,
leeuwen2013total,pia,12,f,observed,kara,6.0,f,observer,pia_kara,chimpanzee,5.0,,4.0
leeuwen2013total,lome,10,m,observed,kara,6.0,f,observer,lome_kara,chimpanzee,5.0,,
leeuwen2013total,fraukje,35,f,observed,kara,6.0,f,observer,fraukje_kara,chimpanzee,5.0,,
leeuwen2013total,kara,6,f,exchanger,,,,,,chimpanzee,5.0,1.0,4.0
leeuwen2013total,kofi,6,m,observed,kara,6.0,f,observer,kofi_kara,chimpanzee,5.0,,
leeuwen2013total,lobo,7,m,observed,kara,6.0,f,observer,lobo_kara,chimpanzee,5.0,1.0,
leeuwen2013total,swela,16,f,observed,kara,6.0,f,observer,swela_kara,chimpanzee,5.0,,
leeuwen2013total,ulla,34,f,observed,kara,6.0,f,observer,ulla_kara,chimpanzee,5.0,,
leeuwen2013total,dorien,31,f,observed,kara,6.0,f,observer,dorien_kara,chimpanzee,5.0,,
leeuwen2013total,tai,9,f,observed,kara,6.0,f,observer,tai_kara,chimpanzee,6.0,12.0,7.0
leeuwen2013total,pia,12,f,observed,kara,6.0,f,observer,pia_kara,chimpanzee,6.0,,9.0
leeuwen2013total,lome,10,m,observed,kara,6.0,f,observer,lome_kara,chimpanzee,6.0,,1.0
leeuwen2013total,fraukje,35,f,observed,kara,6.0,f,observer,fraukje_kara,chimpanzee,6.0,2.0,11.0
leeuwen2013total,kara,6,f,exchanger,,,,,,chimpanzee,6.0,3.0,17.0
leeuwen2013total,kofi,6,m,observed,kara,6.0,f,observer,kofi_kara,chimpanzee,6.0,5.0,2.0
leeuwen2013total,lobo,7,m,observed,kara,6.0,f,observer,lobo_kara,chimpanzee,6.0,12.0,
leeuwen2013total,swela,16,f,observed,kara,6.0,f,observer,swela_kara,chimpanzee,6.0,,
leeuwen2013total,ulla,34,f,observed,kara,6.0,f,observer,ulla_kara,chimpanzee,6.0,,
leeuwen2013total,dorien,31,f,observed,kara,6.0,f,observer,dorien_kara,chimpanzee,6.0,,
leeuwen2013total,tai,9,f,observed,kara,6.0,f,observer,tai_kara,chimpanzee,7.0,10.0,
leeuwen2013total,pia,12,f,observed,kara,6.0,f,observer,pia_kara,chimpanzee,7.0,3.0,8.0
leeuwen2013total,lome,10,m,observed,kara,6.0,f,observer,lome_kara,chimpanzee,7.0,,4.0
leeuwen2013total,fraukje,35,f,observed,kara,6.0,f,observer,fraukje_kara,chimpanzee,7.0,2.0,4.0
leeuwen2013total,kara,6,f,exchanger,,,,,,chimpanzee,7.0,4.0,4.0
leeuwen2013total,kofi,6,m,observed,kara,6.0,f,observer,kofi_kara,chimpanzee,7.0,,
leeuwen2013total,lobo,7,m,observed,kara,6.0,f,observer,lobo_kara,chimpanzee,7.0,4.0,
leeuwen2013total,swela,16,f,observed,kara,6.0,f,observer,swela_kara,chimpanzee,7.0,,4.0
leeuwen2013total,ulla,34,f,observed,kara,6.0,f,observer,ulla_kara,chimpanzee,7.0,,
leeuwen2013total,dorien,31,f,observed,kara,6.0,f,observer,dorien_kara,chimpanzee,7.0,,
leeuwen2013total,tai,9,f,observed,kara,6.0,f,observer,tai_kara,chimpanzee,8.0,8.0,
leeuwen2013total,pia,12,f,observed,kara,6.0,f,observer,pia_kara,chimpanzee,8.0,1.0,5.0
leeuwen2013total,lome,10,m,observed,kara,6.0,f,observer,lome_kara,chimpanzee,8.0,,
leeuwen2013total,fraukje,35,f,observed,kara,6.0,f,observer,fraukje_kara,chimpanzee,8.0,6.0,3.0
leeuwen2013total,kara,6,f,exchanger,,,,,,chimpanzee,8.0,19.0,10.0
leeuwen2013total,kofi,6,m,observed,kara,6.0,f,observer,kofi_kara,chimpanzee,8.0,1.0,1.0
leeuwen2013total,lobo,7,m,observed,kara,6.0,f,observer,lobo_kara,chimpanzee,8.0,8.0,
leeuwen2013total,swela,16,f,observed,kara,6.0,f,observer,swela_kara,chimpanzee,8.0,,
leeuwen2013total,ulla,34,f,observed,kara,6.0,f,observer,ulla_kara,chimpanzee,8.0,,
leeuwen2013total,dorien,31,f,observed,kara,6.0,f,observer,dorien_kara,chimpanzee,8.0,,
leeuwen2013total,tai,9,f,observed,kara,6.0,f,observer,tai_kara,chimpanzee,9.0,10.0,
leeuwen2013total,pia,12,f,observed,kara,6.0,f,observer,pia_kara,chimpanzee,9.0,1.0,1.0
leeuwen2013total,lome,10,m,observed,kara,6.0,f,observer,lome_kara,chimpanzee,9.0,,
leeuwen2013total,fraukje,35,f,observed,kara,6.0,f,observer,fraukje_kara,chimpanzee,9.0,3.0,2.0
leeuwen2013total,kara,6,f,exchanger,,,,,,chimpanzee,9.0,16.0,1.0
leeuwen2013total,kofi,6,m,observed,kara,6.0,f,observer,kofi_kara,chimpanzee,9.0,3.0,1.0
leeuwen2013total,lobo,7,m,observed,kara,6.0,f,observer,lobo_kara,chimpanzee,9.0,7.0,
leeuwen2013total,swela,16,f,observed,kara,6.0,f,observer,swela_kara,chimpanzee,9.0,,
leeuwen2013total,ulla,34,f,observed,kara,6.0,f,observer,ulla_kara,chimpanzee,9.0,,
leeuwen2013total,dorien,31,f,observed,kara,6.0,f,observer,dorien_kara,chimpanzee,9.0,,
leeuwen2013total,tai,9,f,observed,kara,6.0,f,observer,tai_kara,chimpanzee,10.0,25.0,10.0
leeuwen2013total,pia,12,f,observed,kara,6.0,f,observer,pia_kara,chimpanzee,10.0,1.0,1.0
leeuwen2013total,lome,10,m,observed,kara,6.0,f,observer,lome_kara,chimpanzee,10.0,,
leeuwen2013total,fraukje,35,f,observed,kara,6.0,f,observer,fraukje_kara,chimpanzee,10.0,,
leeuwen2013total,kara,6,f,exchanger,,,,,,chimpanzee,10.0,15.0,18.0
leeuwen2013total,kofi,6,m,observed,kara,6.0,f,observer,kofi_kara,chimpanzee,10.0,11.0,4.0
leeuwen2013total,lobo,7,m,observed,kara,6.0,f,observer,lobo_kara,chimpanzee,10.0,14.0,
leeuwen2013total,swela,16,f,observed,kara,6.0,f,observer,swela_kara,chimpanzee,10.0,,
leeuwen2013total,ulla,34,f,observed,kara,6.0,f,observer,ulla_kara,chimpanzee,10.0,,
leeuwen2013total,dorien,31,f,observed,kara,6.0,f,observer,dorien_kara,chimpanzee,10.0,,
leeuwen2013total,tai,9,f,observed,kofi,6.0,m,observer,tai_kofi,chimpanzee,1.0,,
leeuwen2013total,pia,12,f,observed,kofi,6.0,m,observer,pia_kofi,chimpanzee,1.0,,
leeuwen2013total,lome,10,m,observed,kofi,6.0,m,observer,lome_kofi,chimpanzee,1.0,,
leeuwen2013total,fraukje,35,f,observed,kofi,6.0,m,observer,fraukje_kofi,chimpanzee,1.0,,
leeuwen2013total,kara,6,f,observed,kofi,6.0,m,observer,kara_kofi,chimpanzee,1.0,,1.0
leeuwen2013total,kofi,6,m,exchanger,,,,,,chimpanzee,1.0,4.0,
leeuwen2013total,lobo,7,m,observed,kofi,6.0,m,observer,lobo_kofi,chimpanzee,1.0,,
leeuwen2013total,swela,16,f,observed,kofi,6.0,m,observer,swela_kofi,chimpanzee,1.0,,
leeuwen2013total,ulla,34,f,observed,kofi,6.0,m,observer,ulla_kofi,chimpanzee,1.0,,
leeuwen2013total,dorien,31,f,observed,kofi,6.0,m,observer,dorien_kofi,chimpanzee,1.0,,
leeuwen2013total,tai,9,f,observed,kofi,6.0,m,observer,tai_kofi,chimpanzee,2.0,1.0,1.0
leeuwen2013total,pia,12,f,observed,kofi,6.0,m,observer,pia_kofi,chimpanzee,2.0,1.0,5.0
leeuwen2013total,lome,10,m,observed,kofi,6.0,m,observer,lome_kofi,chimpanzee,2.0,,
leeuwen2013total,fraukje,35,f,observed,kofi,6.0,m,observer,fraukje_kofi,chimpanzee,2.0,,
leeuwen2013total,kara,6,f,observed,kofi,6.0,m,observer,kara_kofi,chimpanzee,2.0,1.0,1.0
leeuwen2013total,kofi,6,m,exchanger,,,,,,chimpanzee,2.0,,3.0
leeuwen2013total,lobo,7,m,observed,kofi,6.0,m,observer,lobo_kofi,chimpanzee,2.0,,
leeuwen2013total,swela,16,f,observed,kofi,6.0,m,observer,swela_kofi,chimpanzee,2.0,,6.0
leeuwen2013total,ulla,34,f,observed,kofi,6.0,m,observer,ulla_kofi,chimpanzee,2.0,,1.0
leeuwen2013total,dorien,31,f,observed,kofi,6.0,m,observer,dorien_kofi,chimpanzee,2.0,,
leeuwen2013total,tai,9,f,observed,kofi,6.0,m,observer,tai_kofi,chimpanzee,3.0,44.0,2.0
leeuwen2013total,pia,12,f,observed,kofi,6.0,m,observer,pia_kofi,chimpanzee,3.0,8.0,9.0
leeuwen2013total,lome,10,m,observed,kofi,6.0,m,observer,lome_kofi,chimpanzee,3.0,,13.0
leeuwen2013total,fraukje,35,f,observed,kofi,6.0,m,observer,fraukje_kofi,chimpanzee,3.0,,
leeuwen2013total,kara,6,f,observed,kofi,6.0,m,observer,kara_kofi,chimpanzee,3.0,,2.0
leeuwen2013total,kofi,6,m,exchanger,,,,,,chimpanzee,3.0,2.0,4.0
leeuwen2013total,lobo,7,m,observed,kofi,6.0,m,observer,lobo_kofi,chimpanzee,3.0,7.0,
leeuwen2013total,swela,16,f,observed,kofi,6.0,m,observer,swela_kofi,chimpanzee,3.0,,
leeuwen2013total,ulla,34,f,observed,kofi,6.0,m,observer,ulla_kofi,chimpanzee,3.0,,
leeuwen2013total,dorien,31,f,observed,kofi,6.0,m,observer,dorien_kofi,chimpanzee,3.0,,
leeuwen2013total,tai,9,f,observed,kofi,6.0,m,observer,tai_kofi,chimpanzee,4.0,14.0,2.0
leeuwen2013total,pia,12,f,observed,kofi,6.0,m,observer,pia_kofi,chimpanzee,4.0,4.0,6.0
leeuwen2013total,lome,10,m,observed,kofi,6.0,m,observer,lome_kofi,chimpanzee,4.0,,
leeuwen2013total,fraukje,35,f,observed,kofi,6.0,m,observer,fraukje_kofi,chimpanzee,4.0,,2.0
