study_id,experiment,participant,age_in_years,sex,species,session,trial,condition,correct_side,correct_side_1,chosen_side,order_block,order_block2,session_within_block,block,side_with_food_image
volter2018intuitive,4,alexandra,15,f,chimpanzee,4,48,incongruent,r,0.0,l,mirror_first,1.0,4.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,49,incongruent,r,1.0,r,mirror_first,2.0,1.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,50,congruent,r,0.0,l,mirror_first,2.0,1.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,51,congruent,l,0.0,r,mirror_first,2.0,1.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,52,incongruent,l,0.0,r,mirror_first,2.0,1.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,53,congruent,r,1.0,r,mirror_first,2.0,1.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,54,congruent,l,1.0,l,mirror_first,2.0,1.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,55,incongruent,l,0.0,r,mirror_first,2.0,1.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,56,incongruent,r,0.0,l,mirror_first,2.0,1.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,57,congruent,r,0.0,l,mirror_first,2.0,1.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,58,incongruent,r,1.0,r,mirror_first,2.0,1.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,59,incongruent,l,1.0,l,mirror_first,2.0,1.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,5,60,congruent,l,1.0,l,mirror_first,2.0,1.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,61,incongruent,l,0.0,r,mirror_first,2.0,2.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,62,congruent,l,1.0,l,mirror_first,2.0,2.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,63,incongruent,r,1.0,r,mirror_first,2.0,2.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,64,congruent,r,1.0,r,mirror_first,2.0,2.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,65,incongruent,r,1.0,r,mirror_first,2.0,2.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,66,incongruent,l,0.0,r,mirror_first,2.0,2.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,67,congruent,r,1.0,r,mirror_first,2.0,2.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,68,congruent,l,1.0,l,mirror_first,2.0,2.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,69,incongruent,l,1.0,l,mirror_first,2.0,2.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,70,congruent,r,0.0,l,mirror_first,2.0,2.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,71,congruent,l,0.0,r,mirror_first,2.0,2.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,6,72,incongruent,r,1.0,r,mirror_first,2.0,2.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,73,incongruent,l,1.0,l,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,74,incongruent,r,1.0,r,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,75,congruent,r,0.0,l,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,76,congruent,l,0.0,r,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,77,congruent,l,0.0,r,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,78,incongruent,l,1.0,l,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,79,congruent,r,0.0,l,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,80,incongruent,l,1.0,l,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,81,congruent,r,0.0,l,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,82,incongruent,r,1.0,r,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,83,incongruent,l,1.0,l,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,7,84,congruent,l,0.0,r,mirror_first,2.0,3.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,85,congruent,l,0.0,r,mirror_first,2.0,4.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,86,congruent,r,1.0,r,mirror_first,2.0,4.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,87,incongruent,r,0.0,l,mirror_first,2.0,4.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,88,incongruent,r,1.0,r,mirror_first,2.0,4.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,89,congruent,l,1.0,l,mirror_first,2.0,4.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,90,incongruent,r,1.0,r,mirror_first,2.0,4.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,91,congruent,r,0.0,l,mirror_first,2.0,4.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,92,incongruent,l,0.0,r,mirror_first,2.0,4.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,93,congruent,r,0.0,l,mirror_first,2.0,4.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,94,incongruent,r,1.0,r,mirror_first,2.0,4.0,image,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,95,congruent,l,1.0,l,mirror_first,2.0,4.0,image,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,8,96,incongruent,l,0.0,r,mirror_first,2.0,4.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,1,congruent,l,0.0,r,image_first,1.0,1.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,2,incongruent,l,0.0,r,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,3,congruent,r,1.0,r,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,4,incongruent,r,1.0,r,image_first,1.0,1.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,5,congruent,r,0.0,l,image_first,1.0,1.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,6,incongruent,r,1.0,r,image_first,1.0,1.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,7,congruent,l,0.0,r,image_first,1.0,1.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,8,incongruent,l,0.0,r,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,9,incongruent,l,1.0,l,image_first,1.0,1.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,10,congruent,r,1.0,r,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,11,congruent,l,1.0,l,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,1,12,incongruent,r,1.0,r,image_first,1.0,1.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,13,congruent,l,1.0,l,image_first,1.0,2.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,14,congruent,r,0.0,l,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,15,incongruent,l,1.0,l,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,16,incongruent,r,1.0,r,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,17,congruent,r,0.0,l,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,18,incongruent,l,1.0,l,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,19,congruent,l,1.0,l,image_first,1.0,2.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,20,incongruent,r,0.0,l,image_first,1.0,2.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,21,incongruent,l,1.0,l,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,22,congruent,l,0.0,r,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,23,congruent,r,0.0,l,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,2,24,incongruent,r,0.0,l,image_first,1.0,2.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,3,25,incongruent,l,1.0,l,image_first,1.0,3.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,3,26,congruent,r,0.0,l,image_first,1.0,3.0,image,0.0
