study_id,experiment,participant,age_in_years,sex,species,phase,session,trial,condition,order,order2,correct_side,first_response,chosen_side
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,1,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,2,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,3,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,4,base,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,5,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,6,base,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,7,control,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,8,base,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,9,shadow,shadow_first,1.0,l,1.0,l
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,10,control,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,11,control,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,1,12,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,2,13,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,2,14,control,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,2,15,base,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,2,16,control,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,2,17,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,2,18,control,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,2,19,base,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,2,20,base,shadow_first,1.0,l,1.0,l
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,2,21,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,2,22,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,2,23,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,3,24,control,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,3,25,base,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,3,26,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,3,27,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,3,28,control,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,3,29,shadow,shadow_first,1.0,l,1.0,l
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,3,30,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,3,31,shadow,shadow_first,1.0,l,1.0,l
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,3,32,base,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,3,33,control,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,3,34,base,shadow_first,1.0,l,1.0,l
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,4,35,base,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,4,36,base,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,4,37,control,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,4,38,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,4,39,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,4,40,control,shadow_first,1.0,r,1.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,4,41,shadow,shadow_first,1.0,l,1.0,l
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,4,42,control,shadow_first,1.0,l,0.0,r
volter2018intuitive,1,alex,14,m,chimpanzee,shadow,4,43,shadow,shadow_first,1.0,r,1.0,r
