study_id,experiment,participant,age_in_years,sex,species,phase,session,trial,condition,correct_side,first_response,chosen_side,distance,visibility,baited_side,touch_occluder_at_correct_side
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,8,close_clear,1,1.0,l,close,clear,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,9,close_clear,1,1.0,l,close,clear,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,10,dis_op,1,1.0,r,dis,op,r,0.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,11,dis_clear,1,1.0,l,dis,clear,l,0.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,12,dis_clear,1,1.0,r,dis,clear,r,0.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,13,close_opaque,1,1.0,r,close,op,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,14,close_opaque,1,1.0,l,close,op,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,15,close_clear,1,1.0,r,close,clear,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,16,dis_op,1,0.0,l,dis,op,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,17,close_opaque,1,1.0,r,close,op,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,18,dis_op,1,0.0,l,dis,op,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,19,dis_clear,1,0.0,l,dis,clear,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,20,close_clear,1,1.0,r,close,clear,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,21,close_clear,1,1.0,l,close,clear,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,22,dis_clear,1,1.0,r,dis,clear,r,0.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,23,close_opaque,1,1.0,l,close,op,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,2,24,dis_op,1,0.0,r,dis,op,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,25,close_opaque,1,1.0,l,close,op,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,26,dis_clear,1,1.0,l,dis,clear,l,0.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,27,close_clear,1,1.0,l,close,clear,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,28,dis_op,1,1.0,r,dis,op,r,0.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,29,close_clear,1,1.0,r,close,clear,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,30,dis_op,1,0.0,l,dis,op,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,31,close_opaque,1,1.0,r,close,op,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,32,dis_clear,1,1.0,r,dis,clear,r,0.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,33,close_clear,1,1.0,r,close,clear,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,34,dis_op,1,0.0,l,dis,op,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,35,dis_clear,1,1.0,r,dis,clear,r,0.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,3,36,close_opaque,1,1.0,r,close,op,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,4,37,dis_op,1,0.0,r,dis,op,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,4,38,close_opaque,1,1.0,l,close,op,l,1.0
