study_id,year,month,day,participant,age_in_years,sex,species,session,trial,apparatus,start_time,end_time,finger,lift,shoot,success_action
manrique2013repeated,2009,9,6,alex,8,m,chimpanzee,2,1,3,"0'18""","10'08""",1,8,2,no_success
manrique2013repeated,2009,9,7,alex,8,m,chimpanzee,3,1,3,"0'20""","10'09""",1,6,7,no_success
manrique2013repeated,2009,9,8,alex,8,m,chimpanzee,4,1,3,"0'20""","0'31""",0,0,4,shoot
manrique2013repeated,2009,9,8,alex,8,m,chimpanzee,4,2,3,"1'11""","1'40""",0,0,21,shoot
manrique2013repeated,2009,9,8,alex,8,m,chimpanzee,4,3,3,"2'12""","2'21""",0,0,10,shoot
manrique2013repeated,2009,9,8,alex,8,m,chimpanzee,4,4,3,"2'37""","2'50""",0,0,11,shoot
manrique2013repeated,2009,9,8,alex,8,m,chimpanzee,4,5,3,"3'04""","3'20""",0,0,16,shoot
manrique2013repeated,2009,9,8,alex,8,m,chimpanzee,4,6,3,"3'31""","3'54""",0,0,13,shoot
manrique2013repeated,2009,9,8,alex,8,m,chimpanzee,4,7,3,"4'04""","4'16""",0,0,14,shoot
manrique2013repeated,2009,9,8,alex,8,m,chimpanzee,4,8,3,"4'39""","4'56""",0,0,15,shoot
manrique2013repeated,2009,9,8,alex,8,m,chimpanzee,4,9,3,"5'10""","5'35""",0,0,18,shoot
manrique2013repeated,2009,9,8,alex,8,m,chimpanzee,4,10,3,"5'47""","06'05""",0,0,16,shoot
manrique2013repeated,2009,9,9,alex,8,m,chimpanzee,5,11,3,"0'21""","0'26""",0,0,9,shoot
manrique2013repeated,2009,9,9,alex,8,m,chimpanzee,5,12,3,"1'16""","1'25""",0,0,17,shoot
manrique2013repeated,2009,9,9,alex,8,m,chimpanzee,5,13,3,"1'41""","1'51""",0,0,15,shoot
manrique2013repeated,2009,9,9,alex,8,m,chimpanzee,5,14,3,"2'23""","04'08""",0,1,38,shoot
manrique2013repeated,2009,9,9,alex,8,m,chimpanzee,5,15,3,"4'24""","4'31""",0,0,9,shoot
manrique2013repeated,2009,9,9,alex,8,m,chimpanzee,5,16,3,"4'53""",5',0,0,12,shoot
manrique2013repeated,2009,9,9,alex,8,m,chimpanzee,5,17,3,"5'19""","5'34""",0,1,16,shoot
manrique2013repeated,2009,9,9,alex,8,m,chimpanzee,5,18,3,"5'52""","6'18""",0,0,31,shoot
manrique2013repeated,2009,9,9,alex,8,m,chimpanzee,5,19,3,"6'33""","6'39""",0,0,9,shoot
manrique2013repeated,2009,9,9,alex,8,m,chimpanzee,5,20,3,"7'06""","8'32""",0,0,80,shoot
manrique2013repeated,2009,08,31,alexandra,10,f,chimpanzee,1,1,1,"0'24""","0'36""",1,0,0,finger
manrique2013repeated,2009,9,1,alexandra,10,f,chimpanzee,2,2,1,"0'06""","0'16""",1,0,0,finger
manrique2013repeated,2009,9,1,alexandra,10,f,chimpanzee,2,3,1,"0'22""","0'30""",1,0,0,finger
manrique2013repeated,2009,9,1,alexandra,10,f,chimpanzee,2,4,1,"0'35""","0'39""",1,0,0,finger
manrique2013repeated,2009,9,1,alexandra,10,f,chimpanzee,2,5,1,"0'48""","0'55""",1,0,0,finger
manrique2013repeated,2009,9,1,alexandra,10,f,chimpanzee,2,6,1,"1'10""","1'24""",1,0,0,finger
manrique2013repeated,2009,9,1,alexandra,10,f,chimpanzee,2,7,1,"1'45""","2'12""",2,0,0,finger
manrique2013repeated,2009,9,1,alexandra,10,f,chimpanzee,2,8,1,"2'22""","2'36""",2,0,0,finger
manrique2013repeated,2009,9,1,alexandra,10,f,chimpanzee,2,9,1,"2'44""","2'49""",1,0,0,finger
manrique2013repeated,2009,9,1,alexandra,10,f,chimpanzee,2,10,1,"2'59""","3'07""",1,0,0,finger
manrique2013repeated,2009,9,1,alexandra,10,f,chimpanzee,2,11,1,"3'22""","3'31""",1,0,0,finger
manrique2013repeated,2009,9,2,alexandra,10,f,chimpanzee,3,12,1,"0'15""","0'37""",1,0,0,finger
manrique2013repeated,2009,9,2,alexandra,10,f,chimpanzee,3,13,1,"0'52""","1'01""",1,0,0,finger
manrique2013repeated,2009,9,2,alexandra,10,f,chimpanzee,3,14,1,"1'18""","1'23""",1,0,0,finger
manrique2013repeated,2009,9,2,alexandra,10,f,chimpanzee,3,15,1,"1'29""","1'35""",1,0,0,finger
