study_id,experiment,year,month,day,participant,sex,species,session,trial,condition,response_side,correct
cacchione2014apes,2,2011,6,5,louna,f,gorilla,3,1,5_slis_11,left,correct
cacchione2014apes,2,2011,6,5,louna,f,gorilla,3,2,5_slis_11,left,incorrect
cacchione2014apes,2,2011,6,5,louna,f,gorilla,3,3,5_slis_11,left,correct
cacchione2014apes,2,2011,6,5,louna,f,gorilla,3,4,5_slis_11,left,incorrect
cacchione2014apes,2,2011,6,5,louna,f,gorilla,3,1,5_slis_12,left,incorrect
cacchione2014apes,2,2011,6,5,louna,f,gorilla,3,2,5_slis_12,left,correct
cacchione2014apes,2,2011,6,5,louna,f,gorilla,3,3,5_slis_12,left,incorrect
cacchione2014apes,2,2011,6,5,louna,f,gorilla,3,4,5_slis_12,left,correct
cacchione2014apes,2,2011,6,4,louna,f,gorilla,4,1,5_sols_11,right,correct
cacchione2014apes,2,2011,6,4,louna,f,gorilla,4,2,5_sols_11,right,incorrect
cacchione2014apes,2,2011,6,4,louna,f,gorilla,4,3,5_sols_11,right,correct
cacchione2014apes,2,2011,6,4,louna,f,gorilla,4,4,5_sols_11,right,incorrect
cacchione2014apes,2,2011,6,4,louna,f,gorilla,4,1,5_sols_12,left,correct
cacchione2014apes,2,2011,6,4,louna,f,gorilla,4,2,5_sols_12,left,incorrect
cacchione2014apes,2,2011,6,4,louna,f,gorilla,4,3,5_sols_12,left,correct
cacchione2014apes,2,2011,6,4,louna,f,gorilla,4,4,5_sols_12,right,correct
cacchione2014apes,2,2011,6,4,gorgo,m,gorilla,4,1,5_slis_11,right,incorrect
cacchione2014apes,2,2011,6,4,gorgo,m,gorilla,4,2,5_slis_11,left,incorrect
cacchione2014apes,2,2011,6,4,gorgo,m,gorilla,4,3,5_slis_11,right,incorrect
cacchione2014apes,2,2011,6,4,gorgo,m,gorilla,4,4,5_slis_11,left,incorrect
cacchione2014apes,2,2011,6,4,gorgo,m,gorilla,4,1,5_slis_12,left,incorrect
cacchione2014apes,2,2011,6,4,gorgo,m,gorilla,4,2,5_slis_12,left,correct
cacchione2014apes,2,2011,6,4,gorgo,m,gorilla,4,3,5_slis_12,left,incorrect
cacchione2014apes,2,2011,6,4,gorgo,m,gorilla,4,4,5_slis_12,left,correct
cacchione2014apes,2,2011,6,5,gorgo,m,gorilla,5,1,5_sols_11,left,correct
cacchione2014apes,2,2011,6,5,gorgo,m,gorilla,5,2,5_sols_11,right,correct
cacchione2014apes,2,2011,6,5,gorgo,m,gorilla,5,3,5_sols_11,left,correct
cacchione2014apes,2,2011,6,5,gorgo,m,gorilla,5,4,5_sols_11,right,correct
cacchione2014apes,2,2011,6,5,gorgo,m,gorilla,5,1,5_sols_12,left,incorrect
cacchione2014apes,2,2011,6,5,gorgo,m,gorilla,5,2,5_sols_12,left,correct
cacchione2014apes,2,2011,6,5,gorgo,m,gorilla,5,3,5_sols_12,left,incorrect
cacchione2014apes,2,2011,6,5,gorgo,m,gorilla,5,4,5_sols_12,left,correct
cacchione2014apes,2,2011,6,5,viringika,f,gorilla,4,1,5_slis_11,left,correct
cacchione2014apes,2,2011,6,5,viringika,f,gorilla,4,2,5_slis_11,left,incorrect
cacchione2014apes,2,2011,6,5,viringika,f,gorilla,4,3,5_slis_11,left,correct
cacchione2014apes,2,2011,6,5,viringika,f,gorilla,4,4,5_slis_11,right,correct
cacchione2014apes,2,2011,6,5,viringika,f,gorilla,4,1,5_slis_12,left,incorrect
cacchione2014apes,2,2011,6,5,viringika,f,gorilla,4,2,5_slis_12,left,correct
cacchione2014apes,2,2011,6,5,viringika,f,gorilla,4,3,5_slis_12,right,correct
cacchione2014apes,2,2011,6,5,viringika,f,gorilla,4,4,5_slis_12,left,correct
cacchione2014apes,2,2011,6,6,viringika,f,gorilla,5,1,5_sols_11,left,incorrect
cacchione2014apes,2,2011,6,6,viringika,f,gorilla,5,2,5_sols_11,left,correct
cacchione2014apes,2,2011,6,6,viringika,f,gorilla,5,3,5_sols_11,left,incorrect
cacchione2014apes,2,2011,6,6,viringika,f,gorilla,5,4,5_sols_11,left,correct
cacchione2014apes,2,2011,6,6,viringika,f,gorilla,5,1,5_sols_12,left,correct
cacchione2014apes,2,2011,6,6,viringika,f,gorilla,5,2,5_sols_12,right,correct
cacchione2014apes,2,2011,6,6,viringika,f,gorilla,5,3,5_sols_12,left,correct
cacchione2014apes,2,2011,6,6,viringika,f,gorilla,5,4,5_sols_12,right,correct
cacchione2014apes,2,2011,5,28,kuno,m,bonobo,4,1,5_slis_11,right,correct
cacchione2014apes,2,2011,5,28,kuno,m,bonobo,4,2,5_slis_11,right,incorrect
cacchione2014apes,2,2011,5,28,kuno,m,bonobo,4,3,5_slis_11,left,incorrect
cacchione2014apes,2,2011,5,28,kuno,m,bonobo,4,4,5_slis_11,right,incorrect
cacchione2014apes,2,2011,5,28,kuno,m,bonobo,4,1,5_slis_12,right,incorrect
cacchione2014apes,2,2011,5,28,kuno,m,bonobo,4,2,5_slis_12,left,incorrect
cacchione2014apes,2,2011,5,28,kuno,m,bonobo,4,3,5_slis_12,right,incorrect
cacchione2014apes,2,2011,5,28,kuno,m,bonobo,4,4,5_slis_12,left,incorrect
cacchione2014apes,2,2011,6,7,kuno,m,bonobo,5,1,5_sols_11,right,correct
cacchione2014apes,2,2011,6,7,kuno,m,bonobo,5,2,5_sols_11,right,incorrect
cacchione2014apes,2,2011,6,7,kuno,m,bonobo,5,3,5_sols_11,left,incorrect
cacchione2014apes,2,2011,6,7,kuno,m,bonobo,5,4,5_sols_11,left,correct
cacchione2014apes,2,2011,6,7,kuno,m,bonobo,5,1,5_sols_12,right,incorrect
cacchione2014apes,2,2011,6,7,kuno,m,bonobo,5,2,5_sols_12,right,correct
cacchione2014apes,2,2011,6,7,kuno,m,bonobo,5,3,5_sols_12,right,incorrect
cacchione2014apes,2,2011,6,7,kuno,m,bonobo,5,4,5_sols_12,right,correct
cacchione2014apes,2,2011,6,7,joey,m,bonobo,5,1,5_slis_11,left,incorrect
cacchione2014apes,2,2011,6,7,joey,m,bonobo,5,2,5_slis_11,right,incorrect
cacchione2014apes,2,2011,6,7,joey,m,bonobo,5,3,5_slis_11,left,incorrect
cacchione2014apes,2,2011,6,7,joey,m,bonobo,5,4,5_slis_11,left,correct
cacchione2014apes,2,2011,6,7,joey,m,bonobo,5,1,5_slis_12,left,correct
cacchione2014apes,2,2011,6,7,joey,m,bonobo,5,2,5_slis_12,right,correct
cacchione2014apes,2,2011,6,7,joey,m,bonobo,5,3,5_slis_12,right,incorrect
cacchione2014apes,2,2011,6,7,joey,m,bonobo,5,4,5_slis_12,left,incorrect
cacchione2014apes,2,2011,5,28,joey,m,bonobo,4,1,5_sols_11,right,incorrect
cacchione2014apes,2,2011,5,28,joey,m,bonobo,4,2,5_sols_11,left,incorrect
cacchione2014apes,2,2011,5,28,joey,m,bonobo,4,3,5_sols_11,right,incorrect
cacchione2014apes,2,2011,5,28,joey,m,bonobo,4,4,5_sols_11,left,incorrect
cacchione2014apes,2,2011,5,28,joey,m,bonobo,4,1,5_sols_12,right,correct
cacchione2014apes,2,2011,5,28,joey,m,bonobo,4,2,5_sols_12,left,correct
cacchione2014apes,2,2011,5,28,joey,m,bonobo,4,3,5_sols_12,left,incorrect
cacchione2014apes,2,2011,5,28,joey,m,bonobo,4,4,5_sols_12,left,correct
cacchione2014apes,2,2011,6,7,luiza,f,bonobo,5,1,5_slis_11,left,correct
cacchione2014apes,2,2011,6,7,luiza,f,bonobo,5,2,5_slis_11,right,correct
cacchione2014apes,2,2011,6,7,luiza,f,bonobo,5,3,5_slis_11,left,correct
cacchione2014apes,2,2011,6,7,luiza,f,bonobo,5,4,5_slis_11,left,incorrect
cacchione2014apes,2,2011,6,7,luiza,f,bonobo,5,1,5_slis_12,right,correct
cacchione2014apes,2,2011,6,7,luiza,f,bonobo,5,2,5_slis_12,left,correct
cacchione2014apes,2,2011,6,7,luiza,f,bonobo,5,3,5_slis_12,right,correct
cacchione2014apes,2,2011,6,7,luiza,f,bonobo,5,4,5_slis_12,left,correct
cacchione2014apes,2,2011,6,5,luiza,f,bonobo,4,1,5_sols_11,left,correct
cacchione2014apes,2,2011,6,5,luiza,f,bonobo,4,2,5_sols_11,right,correct
cacchione2014apes,2,2011,6,5,luiza,f,bonobo,4,3,5_sols_11,right,incorrect
cacchione2014apes,2,2011,6,5,luiza,f,bonobo,4,4,5_sols_11,right,correct
cacchione2014apes,2,2011,6,5,luiza,f,bonobo,4,1,5_sols_12,right,correct
cacchione2014apes,2,2011,6,5,luiza,f,bonobo,4,2,5_sols_12,left,correct
cacchione2014apes,2,2011,6,5,luiza,f,bonobo,4,3,5_sols_12,right,correct
cacchione2014apes,2,2011,6,5,luiza,f,bonobo,4,4,5_sols_12,left,correct
cacchione2014apes,2,2011,6,7,ulindi,f,bonobo,5,1,5_slis_11,left,correct
cacchione2014apes,2,2011,6,7,ulindi,f,bonobo,5,2,5_slis_11,right,correct
cacchione2014apes,2,2011,6,7,ulindi,f,bonobo,5,3,5_slis_11,left,correct
cacchione2014apes,2,2011,6,7,ulindi,f,bonobo,5,4,5_slis_11,right,correct
cacchione2014apes,2,2011,6,7,ulindi,f,bonobo,5,1,5_slis_12,right,correct
cacchione2014apes,2,2011,6,7,ulindi,f,bonobo,5,2,5_slis_12,left,correct
cacchione2014apes,2,2011,6,7,ulindi,f,bonobo,5,3,5_slis_12,right,correct
cacchione2014apes,2,2011,6,7,ulindi,f,bonobo,5,4,5_slis_12,left,correct
cacchione2014apes,2,2011,6,5,ulindi,f,bonobo,4,1,5_sols_11,left,correct
cacchione2014apes,2,2011,6,5,ulindi,f,bonobo,4,2,5_sols_11,right,correct
cacchione2014apes,2,2011,6,5,ulindi,f,bonobo,4,3,5_sols_11,left,correct
cacchione2014apes,2,2011,6,5,ulindi,f,bonobo,4,4,5_sols_11,right,correct
cacchione2014apes,2,2011,6,5,ulindi,f,bonobo,4,1,5_sols_12,right,correct
cacchione2014apes,2,2011,6,5,ulindi,f,bonobo,4,2,5_sols_12,left,correct
cacchione2014apes,2,2011,6,5,ulindi,f,bonobo,4,3,5_sols_12,right,correct
cacchione2014apes,2,2011,6,5,ulindi,f,bonobo,4,4,5_sols_12,left,correct
cacchione2014apes,2,2011,6,4,fifi,f,chimpanzee,4,1,5_slis_11,left,correct
cacchione2014apes,2,2011,6,4,fifi,f,chimpanzee,4,2,5_slis_11,left,incorrect
cacchione2014apes,2,2011,6,4,fifi,f,chimpanzee,4,3,5_slis_11,right,incorrect
cacchione2014apes,2,2011,6,4,fifi,f,chimpanzee,4,4,5_slis_11,left,incorrect
cacchione2014apes,2,2011,6,4,fifi,f,chimpanzee,4,1,5_slis_12,right,correct
cacchione2014apes,2,2011,6,4,fifi,f,chimpanzee,4,2,5_slis_12,left,correct
cacchione2014apes,2,2011,6,4,fifi,f,chimpanzee,4,3,5_slis_12,right,correct
