"study_id","experiment_name","year","month","day","participant","age_original","age_in_years","sex","species","species_subgroup","session","trial","condition","app_left","app_right","side_indicated","cho2","code2"
"bohn2016comprehension","1b",2012,9,27,"fraukje",36.47,36,"f","chimpanzee","a",4,6,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,9,27,"fraukje",36.47,36,"f","chimpanzee","a",4,7,"arbitrary","b","a","l","r",0
"bohn2016comprehension","1b",2012,9,27,"fraukje",36.47,36,"f","chimpanzee","a",4,8,"arbitrary","b","a","l","l",0
"bohn2016comprehension","1b",2012,9,27,"fraukje",36.47,36,"f","chimpanzee","a",4,9,"arbitrary","b","a","r","n",0
"bohn2016comprehension","1b",2012,9,27,"fraukje",36.47,36,"f","chimpanzee","a",4,10,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,9,27,"fraukje",36.47,36,"f","chimpanzee","a",4,11,"arbitrary","b","a","l","l",0
"bohn2016comprehension","1b",2012,9,27,"fraukje",36.47,36,"f","chimpanzee","a",4,12,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,1,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,2,"arbitrary","b","a","l","l",0
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,3,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,4,"arbitrary","b","a","r","n",0
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,5,"arbitrary","b","a","l","l",0
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,6,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,7,"arbitrary","b","a","r","l",0
