study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,ls_or_lm_trial,1st_amount_chosen,2nd_amount_chosen,1st_choice_container,2nd_choice_container
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,4.0,no-transfer-8-cup,lm_trial,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,5.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,6.0,no-transfer-8-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,7.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,8.0,4-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,9.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,10.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,11.0,no-transfer-4-cup,lm_trial,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,12.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,13.0,4-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,14.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,15.0,no-transfer-8-cup,lm_trial,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,16.0,8-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,17.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,18.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,19.0,no_testing_trial,no_trial_type,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,13,limbuko,6.0,m,bonobo,3,20.0,no-transfer-8-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,1.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,2.0,4-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,3.0,no-transfer-8-cup,lm_trial,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,4.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,5.0,no-transfer-8-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,6.0,no-transfer-4-cup,lm_trial,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,7.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,8.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,9.0,8-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,10.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,11.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,12.0,4-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,13.0,8-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,14.0,no-transfer-8-cup,lm_trial,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,15.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,16.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,17.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,18.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,19.0,no-transfer-8-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,14,limbuko,6.0,m,bonobo,4,20.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,1.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,2.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,3.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,4.0,no-transfer-8-cup,lm_trial,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,5.0,4-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,6.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,7.0,8-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,8.0,no-transfer-8-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,9.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
