study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,ls_or_lm_trial,1st_amount_chosen,2nd_amount_chosen,2nd_choice_container,1st_choice_hesitation,2nd_choice_hesitation
suda2004piagetian,3.0,2002,02,26,kuno,5.0,m,bonobo,4,3.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,26,kuno,5.0,m,bonobo,4,4.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,26,kuno,5.0,m,bonobo,4,5.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,26,kuno,5.0,m,bonobo,4,6.0,4-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,26,kuno,5.0,m,bonobo,4,7.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,26,kuno,5.0,m,bonobo,4,8.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,26,kuno,5.0,m,bonobo,4,9.0,4-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,26,kuno,5.0,m,bonobo,4,10.0,8-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,28,kuno,5.0,m,bonobo,5,1.0,4-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,28,kuno,5.0,m,bonobo,5,2.0,4-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,28,kuno,5.0,m,bonobo,5,3.0,8-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,28,kuno,5.0,m,bonobo,5,4.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,28,kuno,5.0,m,bonobo,5,5.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,28,kuno,5.0,m,bonobo,5,6.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,28,kuno,5.0,m,bonobo,5,7.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,28,kuno,5.0,m,bonobo,5,8.0,8-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,28,kuno,5.0,m,bonobo,5,9.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,02,28,kuno,5.0,m,bonobo,5,10.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,03,01,kuno,5.0,m,bonobo,6,1.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,03,01,kuno,5.0,m,bonobo,6,2.0,8-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,03,01,kuno,5.0,m,bonobo,6,3.0,4-cup,lm_trial,smaller_quantity,smaller_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,03,01,kuno,5.0,m,bonobo,6,4.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,3.0,2002,03,01,kuno,5.0,m,bonobo,6,5.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,no_hesitation,no_hesitation_or_no_testing_trial
