study_id,experiment,participant,sex,species,session,trial,condition,response,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,1.0,vertical_baseline,top,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,2.0,vertical_baseline,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,3.0,vertical_baseline,top,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,4.0,vertical_baseline,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,5.0,vertical_baseline,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,6.0,vertical_baseline,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,7.0,vertical_baseline,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,8.0,vertical_baseline,top,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,9.0,vertical_baseline,top,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,10.0,vertical_baseline,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,1.0,vertical_switch,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,2.0,vertical_switch,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,3.0,vertical_switch,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,4.0,vertical_switch,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,5.0,vertical_switch,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,6.0,vertical_switch,top,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,7.0,vertical_switch,top,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,8.0,vertical_switch,top,incorrect
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,9.0,vertical_switch,top,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,10.0,vertical_switch,down,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,1.0,horizontal_baseline,front,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,2.0,horizontal_baseline,front,incorrect
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,3.0,horizontal_baseline,front,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,4.0,horizontal_baseline,back,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,5.0,horizontal_baseline,back,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,6.0,horizontal_baseline,front,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,7.0,horizontal_baseline,front,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,8.0,horizontal_baseline,back,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,9.0,horizontal_baseline,back,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,10.0,horizontal_baseline,front,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,1.0,horizontal_switch,back,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,2.0,horizontal_switch,back,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,3.0,horizontal_switch,back,correct
cacchione2009gravity,baseline,bebe,f,gorilla,1.0,4.0,horizontal_switch,back,correct
