"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","one cup was placed at the far end of the surface with another cup 19 cm away from it with a varied length of the rolling trajectory-  horizontal_test_far = grape placed 25 cm from the beginning of the screen/ horizontal_test_near = grape placed directly infront of the screen/horizontal_test_far_opposite_c. = participants received the opposite spatial arrangement"
"response","participant response - front/back "
"correct","whether the response was correct or incorrect"
