study_id,experiment,participant,sex,species,session,trial,condition,response,correct
cacchione2009gravity,1,bebe,f,gorilla,1.0,1.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,bebe,f,gorilla,1.0,2.0,vertical_test_far,top,correct
cacchione2009gravity,1,bebe,f,gorilla,1.0,3.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,bebe,f,gorilla,1.0,4.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,bebe,f,gorilla,1.0,5.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,bebe,f,gorilla,1.0,6.0,vertical_test_far,top,correct
cacchione2009gravity,1,bebe,f,gorilla,1.0,7.0,vertical_test_far,top,correct
cacchione2009gravity,1,bebe,f,gorilla,1.0,8.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,bebe,f,gorilla,1.0,9.0,vertical_test_far,top,correct
cacchione2009gravity,1,bebe,f,gorilla,1.0,10.0,vertical_test_far,top,correct
cacchione2009gravity,1,bebe,f,gorilla,1.0,1.0,vertical_test_near,top,correct
cacchione2009gravity,1,bebe,f,gorilla,1.0,2.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,bebe,f,gorilla,1.0,3.0,vertical_test_near,top,correct
cacchione2009gravity,1,bebe,f,gorilla,1.0,4.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,bebe,f,gorilla,1.0,5.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,bebe,f,gorilla,1.0,6.0,vertical_test_near,top,correct
cacchione2009gravity,1,bebe,f,gorilla,1.0,7.0,vertical_test_near,top,correct
cacchione2009gravity,1,bebe,f,gorilla,1.0,8.0,vertical_test_near,top,correct
cacchione2009gravity,1,bebe,f,gorilla,1.0,9.0,vertical_test_near,top,correct
cacchione2009gravity,1,n’diki,f,gorilla,1.0,1.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,n’diki,f,gorilla,1.0,2.0,vertical_test_far,top,correct
cacchione2009gravity,1,n’diki,f,gorilla,1.0,3.0,vertical_test_far,top,correct
cacchione2009gravity,1,n’diki,f,gorilla,1.0,4.0,vertical_test_far,top,correct
cacchione2009gravity,1,n’diki,f,gorilla,1.0,5.0,vertical_test_far,top,correct
cacchione2009gravity,1,n’diki,f,gorilla,1.0,1.0,vertical_test_near,top,correct
cacchione2009gravity,1,n’diki,f,gorilla,1.0,2.0,vertical_test_near,top,correct
cacchione2009gravity,1,n’diki,f,gorilla,1.0,3.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,n’diki,f,gorilla,1.0,4.0,vertical_test_near,top,correct
cacchione2009gravity,1,n’diki,f,gorilla,1.0,5.0,vertical_test_near,top,correct
cacchione2009gravity,1,ruby_b'windi,f,gorilla,1.0,1.0,vertical_test_far,top,correct
cacchione2009gravity,1,ruby_b'windi,f,gorilla,1.0,2.0,vertical_test_far,top,correct
cacchione2009gravity,1,ruby_b'windi,f,gorilla,1.0,3.0,vertical_test_far,top,correct
cacchione2009gravity,1,ruby_b'windi,f,gorilla,1.0,4.0,vertical_test_far,top,correct
cacchione2009gravity,1,ruby_b'windi,f,gorilla,1.0,1.0,vertical_test_near,top,correct
cacchione2009gravity,1,ruby_b'windi,f,gorilla,1.0,2.0,vertical_test_near,top,correct
cacchione2009gravity,1,ruby_b'windi,f,gorilla,1.0,3.0,vertical_test_near,top,correct
cacchione2009gravity,1,ruby_b'windi,f,gorilla,1.0,4.0,vertical_test_near,top,correct
cacchione2009gravity,1,viringika,f,gorilla,1.0,1.0,vertical_test_far,top,correct
cacchione2009gravity,1,viringika,f,gorilla,1.0,2.0,vertical_test_far,top,correct
cacchione2009gravity,1,viringika,f,gorilla,1.0,3.0,vertical_test_far,top,correct
cacchione2009gravity,1,viringika,f,gorilla,1.0,4.0,vertical_test_far,top,correct
cacchione2009gravity,1,viringika,f,gorilla,1.0,1.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,viringika,f,gorilla,1.0,2.0,vertical_test_near,top,correct
cacchione2009gravity,1,viringika,f,gorilla,1.0,3.0,vertical_test_near,top,correct
cacchione2009gravity,1,viringika,f,gorilla,1.0,4.0,vertical_test_near,top,correct
cacchione2009gravity,1,viringika,f,gorilla,1.0,5.0,vertical_test_near,top,correct
cacchione2009gravity,1,gorgo,m,gorilla,1.0,1.0,vertical_test_far,top,correct
cacchione2009gravity,1,gorgo,m,gorilla,1.0,2.0,vertical_test_far,top,correct
cacchione2009gravity,1,gorgo,m,gorilla,1.0,3.0,vertical_test_far,top,correct
cacchione2009gravity,1,gorgo,m,gorilla,1.0,4.0,vertical_test_far,top,correct
cacchione2009gravity,1,gorgo,m,gorilla,1.0,1.0,vertical_test_near,top,correct
cacchione2009gravity,1,gorgo,m,gorilla,1.0,2.0,vertical_test_near,top,correct
cacchione2009gravity,1,gorgo,m,gorilla,1.0,3.0,vertical_test_near,top,correct
cacchione2009gravity,1,gorgo,m,gorilla,1.0,4.0,vertical_test_near,top,correct
cacchione2009gravity,1,bimbo,m,orangutan,1.0,1.0,vertical_test_far,top,correct
cacchione2009gravity,1,bimbo,m,orangutan,1.0,2.0,vertical_test_far,top,correct
cacchione2009gravity,1,bimbo,m,orangutan,1.0,3.0,vertical_test_far,top,correct
cacchione2009gravity,1,bimbo,m,orangutan,1.0,4.0,vertical_test_far,top,correct
cacchione2009gravity,1,bimbo,m,orangutan,1.0,1.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,bimbo,m,orangutan,1.0,2.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,bimbo,m,orangutan,1.0,3.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,bimbo,m,orangutan,1.0,4.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,bimbo,m,orangutan,1.0,5.0,vertical_test_near,top,correct
cacchione2009gravity,1,bimbo,m,orangutan,1.0,6.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,bimbo,m,orangutan,1.0,7.0,vertical_test_near,top,correct
cacchione2009gravity,1,bimbo,m,orangutan,1.0,8.0,vertical_test_near,top,correct
cacchione2009gravity,1,bimbo,m,orangutan,1.0,9.0,vertical_test_near,top,correct
cacchione2009gravity,1,bimbo,m,orangutan,1.0,10.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,dokana,f,orangutan,1.0,1.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dokana,f,orangutan,1.0,2.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dokana,f,orangutan,1.0,3.0,vertical_test_far,top,correct
cacchione2009gravity,1,dokana,f,orangutan,1.0,4.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dokana,f,orangutan,1.0,5.0,vertical_test_far,top,correct
cacchione2009gravity,1,dokana,f,orangutan,1.0,6.0,vertical_test_far,top,correct
cacchione2009gravity,1,dokana,f,orangutan,1.0,7.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dokana,f,orangutan,1.0,8.0,vertical_test_far,top,correct
cacchione2009gravity,1,dokana,f,orangutan,1.0,9.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dokana,f,orangutan,1.0,10.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dokana,f,orangutan,1.0,1.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,dokana,f,orangutan,1.0,2.0,vertical_test_near,top,correct
cacchione2009gravity,1,dokana,f,orangutan,1.0,3.0,vertical_test_near,top,correct
cacchione2009gravity,1,dokana,f,orangutan,1.0,4.0,vertical_test_near,top,correct
cacchione2009gravity,1,dokana,f,orangutan,1.0,5.0,vertical_test_near,top,correct
cacchione2009gravity,1,dunja,f,orangutan,1.0,1.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,2.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,3.0,vertical_test_far,top,correct
cacchione2009gravity,1,dunja,f,orangutan,1.0,4.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,5.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,6.0,vertical_test_far,top,correct
cacchione2009gravity,1,dunja,f,orangutan,1.0,7.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,8.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,9.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,10.0,vertical_test_far,top,correct
cacchione2009gravity,1,dunja,f,orangutan,1.0,1.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,2.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,3.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,4.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,5.0,vertical_test_near,top,correct
cacchione2009gravity,1,dunja,f,orangutan,1.0,6.0,vertical_test_near,top,correct
cacchione2009gravity,1,dunja,f,orangutan,1.0,7.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,8.0,vertical_test_near,top,correct
cacchione2009gravity,1,dunja,f,orangutan,1.0,9.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,dunja,f,orangutan,1.0,10.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,padana,f,orangutan,1.0,1.0,vertical_test_far,top,correct
cacchione2009gravity,1,padana,f,orangutan,1.0,2.0,vertical_test_far,top,correct
cacchione2009gravity,1,padana,f,orangutan,1.0,3.0,vertical_test_far,top,correct
cacchione2009gravity,1,padana,f,orangutan,1.0,4.0,vertical_test_far,top,correct
cacchione2009gravity,1,padana,f,orangutan,1.0,1.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,padana,f,orangutan,1.0,2.0,vertical_test_near,down,incorrect
cacchione2009gravity,1,padana,f,orangutan,1.0,3.0,vertical_test_near,top,correct
cacchione2009gravity,1,padana,f,orangutan,1.0,4.0,vertical_test_near,top,correct
cacchione2009gravity,1,padana,f,orangutan,1.0,5.0,vertical_test_near,top,correct
cacchione2009gravity,1,padana,f,orangutan,1.0,6.0,vertical_test_near,top,correct
cacchione2009gravity,1,pini,f,orangutan,1.0,1.0,vertical_test_far,down,incorrect
cacchione2009gravity,1,pini,f,orangutan,1.0,2.0,vertical_test_far,top,correct
cacchione2009gravity,1,pini,f,orangutan,1.0,3.0,vertical_test_far,top,correct
cacchione2009gravity,1,pini,f,orangutan,1.0,4.0,vertical_test_far,top,correct
cacchione2009gravity,1,pini,f,orangutan,1.0,5.0,vertical_test_far,top,correct
cacchione2009gravity,1,pini,f,orangutan,1.0,1.0,vertical_test_near,top,correct
