"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","one cup was positioned on top of table and the other beneath - vertical_test_slight_alignment_far = bottom cup was misaligned by 3 cm /vertical_test_great_alignment_far = both cups were moved away from the table center and misaligned 19 cm/ vertical_test_great_alignment_far_opposite_c. = participants received the opposite spatial arrangment "
"response","participant response - top/down"
"correct","whether the response was correct or incorrect"
