study_id,experiment,participant,sex,species,session,trial,condition,response,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,1.0,horizontal_test_far,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,2.0,horizontal_test_far,back,incorrect
cacchione2009gravity,2,bebe,f,gorilla,1.0,3.0,horizontal_test_far,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,4.0,horizontal_test_far,back,incorrect
cacchione2009gravity,2,bebe,f,gorilla,1.0,5.0,horizontal_test_far,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,6.0,horizontal_test_far,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,7.0,horizontal_test_far,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,8.0,horizontal_test_far,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,1.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,2.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,3.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,4.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,1.0,horizontal_test_near,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,2.0,horizontal_test_near,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,3.0,horizontal_test_near,front,correct
cacchione2009gravity,2,bebe,f,gorilla,1.0,4.0,horizontal_test_near,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,1.0,horizontal_test_far,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,2.0,horizontal_test_far,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,3.0,horizontal_test_far,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,4.0,horizontal_test_far,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,1.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,2.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,3.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,4.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,1.0,horizontal_test_near,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,2.0,horizontal_test_near,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,3.0,horizontal_test_near,front,correct
cacchione2009gravity,2,n’diki,f,gorilla,1.0,4.0,horizontal_test_near,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,1.0,horizontal_test_far,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,2.0,horizontal_test_far,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,3.0,horizontal_test_far,back,incorrect
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,4.0,horizontal_test_far,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,5.0,horizontal_test_far,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,1.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,2.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,3.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,4.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,1.0,horizontal_test_near,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,2.0,horizontal_test_near,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,3.0,horizontal_test_near,front,correct
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,4.0,horizontal_test_near,back,incorrect
cacchione2009gravity,2,ruby_b'windi,f,gorilla,1.0,5.0,horizontal_test_near,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,1.0,horizontal_test_far,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,2.0,horizontal_test_far,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,3.0,horizontal_test_far,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,4.0,horizontal_test_far,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,1.0,horizontal_test_far_opposite_c.,back,incorrect
cacchione2009gravity,2,viringika,f,gorilla,1.0,2.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,3.0,horizontal_test_far_opposite_c.,back,incorrect
cacchione2009gravity,2,viringika,f,gorilla,1.0,4.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,5.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,6.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,1.0,horizontal_test_near,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,2.0,horizontal_test_near,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,3.0,horizontal_test_near,front,correct
cacchione2009gravity,2,viringika,f,gorilla,1.0,4.0,horizontal_test_near,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,1.0,horizontal_test_far,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,2.0,horizontal_test_far,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,3.0,horizontal_test_far,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,4.0,horizontal_test_far,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,1.0,horizontal_test_far_opposite_c.,back,incorrect
cacchione2009gravity,2,gorgo,m,gorilla,1.0,2.0,horizontal_test_far_opposite_c.,back,incorrect
cacchione2009gravity,2,gorgo,m,gorilla,1.0,3.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,4.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,5.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,6.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,1.0,horizontal_test_near,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,2.0,horizontal_test_near,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,3.0,horizontal_test_near,front,correct
cacchione2009gravity,2,gorgo,m,gorilla,1.0,4.0,horizontal_test_near,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,1.0,horizontal_test_far,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,2.0,horizontal_test_far,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,3.0,horizontal_test_far,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,4.0,horizontal_test_far,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,1.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,2.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,3.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,4.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,1.0,horizontal_test_near,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,2.0,horizontal_test_near,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,3.0,horizontal_test_near,front,correct
cacchione2009gravity,2,bimbo,m,orangutan,1.0,4.0,horizontal_test_near,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,1.0,horizontal_test_far,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,2.0,horizontal_test_far,back,incorrect
cacchione2009gravity,2,dokana,f,orangutan,1.0,3.0,horizontal_test_far,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,4.0,horizontal_test_far,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,5.0,horizontal_test_far,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,1.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,2.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,3.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,4.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,1.0,horizontal_test_near,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,2.0,horizontal_test_near,back,incorrect
cacchione2009gravity,2,dokana,f,orangutan,1.0,3.0,horizontal_test_near,back,incorrect
cacchione2009gravity,2,dokana,f,orangutan,1.0,4.0,horizontal_test_near,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,5.0,horizontal_test_near,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,6.0,horizontal_test_near,front,correct
cacchione2009gravity,2,dokana,f,orangutan,1.0,7.0,horizontal_test_near,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,1.0,horizontal_test_far,back,incorrect
cacchione2009gravity,2,dunja,f,orangutan,1.0,2.0,horizontal_test_far,back,incorrect
cacchione2009gravity,2,dunja,f,orangutan,1.0,3.0,horizontal_test_far,back,incorrect
cacchione2009gravity,2,dunja,f,orangutan,1.0,4.0,horizontal_test_far,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,5.0,horizontal_test_far,back,incorrect
cacchione2009gravity,2,dunja,f,orangutan,1.0,6.0,horizontal_test_far,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,7.0,horizontal_test_far,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,8.0,horizontal_test_far,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,9.0,horizontal_test_far,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,1.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,2.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,3.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,4.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,1.0,horizontal_test_near,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,2.0,horizontal_test_near,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,3.0,horizontal_test_near,front,correct
cacchione2009gravity,2,dunja,f,orangutan,1.0,4.0,horizontal_test_near,back,incorrect
cacchione2009gravity,2,dunja,f,orangutan,1.0,5.0,horizontal_test_near,front,correct
cacchione2009gravity,2,padana,f,orangutan,1.0,1.0,horizontal_test_far,front,correct
cacchione2009gravity,2,padana,f,orangutan,1.0,2.0,horizontal_test_far,front,correct
cacchione2009gravity,2,padana,f,orangutan,1.0,3.0,horizontal_test_far,front,correct
cacchione2009gravity,2,padana,f,orangutan,1.0,4.0,horizontal_test_far,back,incorrect
cacchione2009gravity,2,padana,f,orangutan,1.0,5.0,horizontal_test_far,front,correct
cacchione2009gravity,2,padana,f,orangutan,1.0,1.0,horizontal_test_far_opposite_c.,back,incorrect
cacchione2009gravity,2,padana,f,orangutan,1.0,2.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,padana,f,orangutan,1.0,3.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,padana,f,orangutan,1.0,4.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,padana,f,orangutan,1.0,5.0,horizontal_test_far_opposite_c.,front,correct
cacchione2009gravity,2,padana,f,orangutan,1.0,1.0,horizontal_test_near,front,correct
cacchione2009gravity,2,padana,f,orangutan,1.0,2.0,horizontal_test_near,front,correct
