"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained  "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"condition","two level factor: Exchange (e) / Release (r)"
"test","number of the trial from pretest (first trial) to 15 (last trial)"
"collect_v_ab","nb of valuable tokens collected and saved"
"collect_nv_ab","number of non-valuabe tokens collected and saved"
"collect_v_ba","nb of valuable tokens transported at the time of exchange"
"collect_nv_ba","number of non-valuable tokens transported at the time of exchange"
"token_rwd","type of token that was rewarded for a given participant  - either cube (cb) or tube (tb)"
