study_id,experiment,participant,age_in_years,sex,species,number_trials,lop,num_levels,order,configuration_id,repetition,t1_planning,t1_success,change_direction,sum_nonplan_error_lev1,sum_planning_errors,sum_non_planning_errors
volter2014younger,2,pia,12,f,chimpanzee,2,1,2,7,9,1,1,0,1.0,0.0,0.0,1.0
volter2014younger,2,pia,12,f,chimpanzee,4,2,2,8,21,1,0,0,1.0,0.0,3.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,5,1,2,9,13,1,0,0,1.0,0.0,3.0,1.0
volter2014younger,2,pia,12,f,chimpanzee,2,2,2,10,19,1,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,10,2,2,11,20,1,1,0,1.0,0.0,4.0,5.0
volter2014younger,2,pia,12,f,chimpanzee,1,0,3,12,7,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,2,1,2,13,14,1,0,0,2.0,0.0,1.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,9,0,3,14,6,1,1,0,1.0,5.0,0.0,8.0
volter2014younger,2,pia,12,f,chimpanzee,1,1,2,15,16,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,0,3,16,2,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,4,2,2,17,17,1,0,0,2.0,0.0,2.0,1.0
volter2014younger,2,pia,12,f,chimpanzee,1,0,3,18,4,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,2,2,2,19,18,1,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,3,0,3,20,8,1,0,0,1.0,2.0,0.0,2.0
volter2014younger,2,pia,12,f,chimpanzee,1,1,2,21,10,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,2,1,2,22,11,1,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,2,2,23,24,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,9,2,2,24,22,1,0,0,1.0,0.0,4.0,4.0
volter2014younger,2,pia,12,f,chimpanzee,1,2,2,1,18,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,2,1,2,2,9,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,0,3,3,1,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,2,2,4,24,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,2,0,3,5,8,2,0,0,1.0,1.0,0.0,1.0
volter2014younger,2,pia,12,f,chimpanzee,1,2,2,6,20,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,1,2,7,13,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,4,2,2,8,22,2,0,0,1.0,0.0,2.0,1.0
volter2014younger,2,pia,12,f,chimpanzee,2,0,3,9,4,2,0,0,1.0,1.0,0.0,1.0
volter2014younger,2,pia,12,f,chimpanzee,1,1,2,10,16,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,0,3,11,6,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,2,2,12,19,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,1,2,13,10,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,3,0,3,14,3,2,0,0,2.0,2.0,0.0,2.0
volter2014younger,2,pia,12,f,chimpanzee,2,2,2,15,23,2,0,0,2.0,0.0,1.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,3,0,3,16,7,2,0,0,2.0,1.0,0.0,2.0
volter2014younger,2,pia,12,f,chimpanzee,1,1,2,17,15,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,4,2,2,18,21,2,1,0,1.0,0.0,1.0,2.0
volter2014younger,2,pia,12,f,chimpanzee,1,0,3,19,5,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,2,0,3,20,2,2,0,0,1.0,1.0,0.0,1.0
volter2014younger,2,pia,12,f,chimpanzee,3,1,2,21,12,2,0,0,2.0,0.0,2.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,1,2,22,11,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,5,1,2,23,14,2,0,0,2.0,0.0,2.0,2.0
volter2014younger,2,pia,12,f,chimpanzee,6,2,2,24,17,2,0,0,2.0,0.0,3.0,2.0
volter2014younger,2,sandra,18,f,chimpanzee,2,2,2,1,20,1,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,4,0,3,2,6,1,0,0,1.0,2.0,0.0,3.0
volter2014younger,2,sandra,18,f,chimpanzee,2,1,2,3,12,1,0,0,2.0,0.0,1.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,7,0,3,4,3,1,1,0,2.0,4.0,0.0,6.0
volter2014younger,2,sandra,18,f,chimpanzee,4,1,2,5,16,1,1,0,0.0,0.0,2.0,1.0
volter2014younger,2,sandra,18,f,chimpanzee,2,2,2,6,18,1,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,4,1,2,7,15,1,0,0,1.0,0.0,1.0,2.0
volter2014younger,2,sandra,18,f,chimpanzee,1,0,3,8,1,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,5,2,2,9,23,1,0,0,2.0,0.0,3.0,1.0
volter2014younger,2,sandra,18,f,chimpanzee,1,2,2,10,17,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,7,1,2,11,9,1,0,0,1.0,0.0,3.0,3.0
volter2014younger,2,sandra,18,f,chimpanzee,1,2,2,12,24,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,10,2,2,13,21,1,0,0,1.0,0.0,6.0,3.0
volter2014younger,2,sandra,18,f,chimpanzee,2,0,3,14,2,1,0,0,1.0,1.0,0.0,1.0
volter2014younger,2,sandra,18,f,chimpanzee,1,0,3,15,7,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,13,1,2,16,11,1,1,0,1.0,0.0,9.0,3.0
volter2014younger,2,sandra,18,f,chimpanzee,1,1,2,17,10,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,1,2,2,18,19,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,5,0,3,19,5,1,0,0,0.0,4.0,0.0,4.0
volter2014younger,2,sandra,18,f,chimpanzee,1,2,2,20,22,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,1,0,3,21,8,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,1,1,2,22,13,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,4,1,2,23,14,1,0,0,2.0,0.0,2.0,1.0
volter2014younger,2,sandra,18,f,chimpanzee,4,0,3,24,4,1,0,0,1.0,2.0,0.0,3.0
volter2014younger,2,sandra,18,f,chimpanzee,6,0,3,1,2,2,0,0,1.0,4.0,0.0,5.0
volter2014younger,2,sandra,18,f,chimpanzee,5,1,2,2,12,2,0,0,2.0,0.0,3.0,1.0
volter2014younger,2,sandra,18,f,chimpanzee,8,2,2,3,19,2,0,0,1.0,0.0,5.0,2.0
volter2014younger,2,sandra,18,f,chimpanzee,2,0,3,4,6,2,0,0,1.0,1.0,0.0,1.0
volter2014younger,2,sandra,18,f,chimpanzee,1,2,2,5,24,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,3,1,2,6,15,2,0,0,1.0,0.0,2.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,3,2,2,7,22,2,1,0,1.0,0.0,1.0,1.0
volter2014younger,2,sandra,18,f,chimpanzee,3,0,3,8,5,2,0,0,0.0,2.0,0.0,2.0
volter2014younger,2,sandra,18,f,chimpanzee,7,1,2,9,9,2,0,0,1.0,0.0,5.0,1.0
volter2014younger,2,sandra,18,f,chimpanzee,1,0,3,10,1,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,2,1,2,11,14,2,0,0,2.0,0.0,1.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,1,1,2,12,11,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,5,2,2,13,21,2,0,0,1.0,0.0,3.0,1.0
volter2014younger,2,sandra,18,f,chimpanzee,2,0,3,14,3,2,0,0,2.0,1.0,0.0,1.0
volter2014younger,2,sandra,18,f,chimpanzee,6,0,3,15,4,2,0,0,1.0,4.0,0.0,5.0
volter2014younger,2,sandra,18,f,chimpanzee,1,1,2,16,16,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,2,1,2,17,13,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,1,2,2,18,20,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,9,0,3,19,7,2,1,0,2.0,5.0,0.0,8.0
volter2014younger,2,sandra,18,f,chimpanzee,2,2,2,20,23,2,1,0,2.0,0.0,0.0,1.0
volter2014younger,2,sandra,18,f,chimpanzee,2,2,2,21,18,2,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,3,0,3,22,8,2,0,0,1.0,2.0,0.0,2.0
volter2014younger,2,sandra,18,f,chimpanzee,1,1,2,23,10,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,sandra,18,f,chimpanzee,3,2,2,24,17,2,0,0,2.0,0.0,2.0,0.0
