study_id,experiment,participant,age_in_years,sex,species,number_trials,lop,num_levels,order,configuration_id,repetition,t1_planning,t1_success,change_direction,sum_nonplan_error_lev1,sum_planning_errors,sum_non_planning_errors
volter2014younger,2,fifi,18,f,chimpanzee,1,1,2,9,11,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,7,2,2,10,21,1,1,0,1.0,0.0,2.0,4.0
volter2014younger,2,fifi,18,f,chimpanzee,1,0,3,11,8,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,1,2,12,10,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,4,1,2,13,15,1,0,0,1.0,0.0,2.0,1.0
volter2014younger,2,fifi,18,f,chimpanzee,2,2,2,14,17,1,1,0,2.0,0.0,0.0,1.0
volter2014younger,2,fifi,18,f,chimpanzee,1,2,2,15,22,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,3,0,3,16,5,1,0,0,0.0,2.0,0.0,2.0
volter2014younger,2,fifi,18,f,chimpanzee,2,0,3,17,7,1,0,0,2.0,1.0,0.0,1.0
volter2014younger,2,fifi,18,f,chimpanzee,1,2,2,18,18,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,4,1,2,19,12,1,0,0,2.0,0.0,3.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,2,0,3,20,3,1,0,0,2.0,1.0,0.0,1.0
volter2014younger,2,fifi,18,f,chimpanzee,1,2,2,21,19,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,1,2,22,14,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,0,3,23,1,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,2,0,3,24,2,1,0,0,1.0,1.0,0.0,1.0
volter2014younger,2,fifi,18,f,chimpanzee,2,1,2,1,11,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,0,3,2,1,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,5,0,3,3,7,2,0,0,2.0,3.0,0.0,4.0
volter2014younger,2,fifi,18,f,chimpanzee,1,2,2,4,24,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,4,0,3,5,2,2,0,0,1.0,3.0,0.0,3.0
volter2014younger,2,fifi,18,f,chimpanzee,2,1,2,6,9,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,0,3,7,4,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,2,0,3,8,6,2,0,0,1.0,1.0,0.0,1.0
volter2014younger,2,fifi,18,f,chimpanzee,1,2,2,9,17,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,2,2,10,21,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,0,3,11,3,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,7,2,2,12,20,2,0,0,1.0,0.0,4.0,2.0
volter2014younger,2,fifi,18,f,chimpanzee,1,1,2,13,15,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,2,1,2,14,14,2,0,0,2.0,0.0,1.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,2,2,15,18,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,1,2,16,13,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,2,0,3,17,5,2,0,0,0.0,1.0,0.0,1.0
volter2014younger,2,fifi,18,f,chimpanzee,2,2,2,18,19,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,1,2,19,12,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,0,3,20,8,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,1,2,21,10,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,2,2,22,23,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,2,2,23,22,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,1,2,24,16,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,1,2,1,16,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,4,1,2,2,15,1,0,0,1.0,0.0,2.0,1.0
volter2014younger,2,kila,11,f,orangutan,1,2,2,3,22,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,11,2,2,4,20,1,0,0,1.0,0.0,9.0,1.0
volter2014younger,2,kila,11,f,orangutan,2,0,3,5,2,1,0,0,1.0,1.0,0.0,1.0
volter2014younger,2,kila,11,f,orangutan,8,2,2,6,19,1,0,0,1.0,0.0,7.0,0.0
volter2014younger,2,kila,11,f,orangutan,2,0,3,7,4,1,1,0,1.0,0.0,0.0,1.0
volter2014younger,2,kila,11,f,orangutan,1,2,2,8,21,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,5,1,2,9,9,1,0,0,1.0,0.0,3.0,1.0
volter2014younger,2,kila,11,f,orangutan,7,1,2,10,14,1,0,0,2.0,0.0,4.0,2.0
volter2014younger,2,kila,11,f,orangutan,6,0,3,11,6,1,0,0,1.0,5.0,0.0,5.0
volter2014younger,2,kila,11,f,orangutan,1,2,2,12,23,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,1,2,13,12,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,0,3,14,1,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,7,2,2,15,17,1,0,0,2.0,0.0,4.0,2.0
volter2014younger,2,kila,11,f,orangutan,2,1,2,16,13,1,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,0,3,17,8,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,2,2,18,18,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,2,0,3,19,3,1,0,0,2.0,1.0,0.0,1.0
volter2014younger,2,kila,11,f,orangutan,5,1,2,20,10,1,0,0,0.0,0.0,4.0,0.0
volter2014younger,2,kila,11,f,orangutan,4,1,2,21,11,1,0,0,1.0,0.0,3.0,0.0
volter2014younger,2,kila,11,f,orangutan,2,0,3,22,5,1,0,0,0.0,1.0,0.0,1.0
volter2014younger,2,kila,11,f,orangutan,1,2,2,23,24,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,1,2,24,12,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,1,2,1,11,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,0,3,2,6,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,3,0,3,3,2,2,0,0,1.0,2.0,0.0,2.0
volter2014younger,2,kila,11,f,orangutan,4,2,2,4,23,2,0,0,2.0,0.0,1.0,2.0
volter2014younger,2,kila,11,f,orangutan,1,1,2,5,10,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,0,3,6,7,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,2,0,3,7,8,2,0,0,1.0,1.0,0.0,1.0
