study_id,experiment_name,participant,sex,role,participant_2,sex_2,role_2,species,dyad,session,trial,condition,a_baited_focal_participant_bc_acts,b_baited_partner_a_acts
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_dokana,9,5,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_dokana,9,6,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_dokana,10,1,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_dokana,10,2,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_dokana,10,3,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_dokana,10,4,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_dokana,10,5,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_dokana,10,6,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,1,1,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,1,2,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,1,3,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,1,4,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,1,5,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,1,6,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,2,1,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,2,2,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,2,3,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,2,4,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,2,5,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,2,6,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,3,1,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,3,2,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,3,3,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,3,4,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,3,5,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,3,6,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,4,1,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,4,2,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,4,3,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,4,4,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,4,5,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,4,6,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,5,1,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,5,2,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,5,3,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,5,4,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,5,5,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,5,6,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,6,1,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,6,2,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,6,3,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,6,4,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,6,5,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,6,6,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,7,1,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,7,2,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,7,3,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,7,4,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,7,5,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,7,6,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,8,1,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,8,2,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,8,3,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,8,4,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,8,5,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,8,6,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,9,1,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,9,2,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,9,3,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,9,4,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,9,5,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,9,6,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,10,1,control,0.0,
