"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc"
"participant","name of the participant"
"sex","sex of the participant"
"role","role of the participant – focal_participant_bc "
"participant_2","name of the participant_2"
"sex_2","sex of the participant_2"
"role_2","role of the participant_2 – partner_a "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan"
"dyad","name of the two participants that compose the dyad"
"session","set of trials - mostly occurring on the same day - usually numerical"
"trial","presentation of the experiment to the participants - usually numerical"
"condition","condition participants received  – control/experimental"
"a_baited_focal_participant_bc_acts","whether the individual who could pull the platforms pulled the platforms when A was baited"
"b_baited_partner_a_acts","whether the individual who could pull the platforms pulled the platforms when B was baited"
