"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial_number","trial number within participant (across sessions/ 1-72)"
"trial_type","within-participant manipulation (base = control/infer/ non-causal)"
"location","location of baited cup on platform (left/right)"
"reward","whether participants picked the baited cup (1) or not (0)"
"reward_codes","whether they obtain the reward (correct) or not (incorrect)"
