study_id,experiment,participant,age_in_years,sex,species,session,trial_number,trial_type,location,reward,reward_codes
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,1.0,preexisting,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,2.0,recent,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,3.0,preexisting,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,4.0,recent,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,5.0,recent,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,6.0,preexisting,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,7.0,preexisting,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,8.0,recent,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,9.0,recent,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,10.0,preexisting,r,0.0,incorrect
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,11.0,preexisting,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,1,12.0,recent,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,13.0,preexisting,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,14.0,preexisting,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,15.0,recent,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,16.0,preexisting,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,17.0,preexisting,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,18.0,recent,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,19.0,recent,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,20.0,preexisting,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,21.0,preexisting,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,22.0,recent,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,23.0,recent,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,2,24.0,recent,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,25.0,preexisting,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,26.0,preexisting,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,27.0,recent,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,28.0,recent,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,29.0,recent,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,30.0,preexisting,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,31.0,preexisting,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,32.0,recent,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,33.0,recent,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,34.0,preexisting,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,35.0,preexisting,l,0.0,incorrect
volter2014great,4,gertrudia,19.0,f,chimpanzee,3,36.0,recent,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,4,37.0,preexisting,r,0.0,incorrect
volter2014great,4,gertrudia,19.0,f,chimpanzee,4,38.0,recent,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,4,39.0,preexisting,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,4,40.0,recent,l,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,4,41.0,recent,r,1.0,correct
volter2014great,4,gertrudia,19.0,f,chimpanzee,4,42.0,preexisting,r,0.0,incorrect
