"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial_number","trial number within participant and session (1-12)"
"trial_type","within-participant manipulation (base = control/ con = see/ exp = infer)"
"location","location of baited cup on platform (left/ right)"
"reward","whether participants picked the baited cup (1) or not (0)"
"reward_codes","whether they succeeded and obtain the reward (correct) or not (incorrect)"
