study_id,experiment,participant,age_in_years,sex,species,session,trial_number,trial_type,location,reward,reward_codes
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,1.0,infer,l,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,2.0,infer,r,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,3.0,one_step,l,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,4.0,infer,r,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,5.0,two_steps,r,0.0,incorrect
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,6.0,two_steps,l,0.0,incorrect
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,7.0,one_step,l,0.0,incorrect
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,8.0,two_steps,r,0.0,incorrect
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,9.0,infer,l,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,10.0,two_steps,l,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,11.0,one_step,r,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,1,12.0,one_step,r,0.0,incorrect
volter2014great,5,gertrudia,19.0,f,chimpanzee,2,13.0,infer,l,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,2,14.0,one_step,r,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,2,15.0,infer,r,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,2,16.0,two_steps,l,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,2,17.0,infer,r,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,2,18.0,two_steps,r,0.0,incorrect
volter2014great,5,gertrudia,19.0,f,chimpanzee,2,19.0,one_step,l,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,2,20.0,infer,l,1.0,correct
volter2014great,5,gertrudia,19.0,f,chimpanzee,2,21.0,one_step,r,1.0,correct
