study_id,experiment,experiment_name,participant,sex,species,session,trial_number,trial_type,location,reward,reward_codes
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,12.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,1.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,2.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,3.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,4.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,5.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,6.0,base,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,7.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,8.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,9.0,base,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,10.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,11.0,base,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,12.0,con,l,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,7,1.0,con,r,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,7,2.0,exp,r,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,7,3.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,annett,f,chimpanzee,7,4.0,exp,r,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,7,5.0,con,l,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,7,6.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,annett,f,chimpanzee,7,7.0,base,r,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,7,8.0,con,l,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,7,9.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,annett,f,chimpanzee,7,10.0,con,r,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,7,11.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,annett,f,chimpanzee,7,12.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,annett,f,chimpanzee,8,1.0,con,r,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,8,2.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,annett,f,chimpanzee,8,3.0,exp,l,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,8,4.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,annett,f,chimpanzee,8,5.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,annett,f,chimpanzee,8,6.0,con,r,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,8,7.0,exp,l,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,8,8.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,annett,f,chimpanzee,8,9.0,con,l,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,8,10.0,con,r,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,8,11.0,base,l,1.0,correct
volter2014great,0,pilot_1,annett,f,chimpanzee,8,12.0,exp,l,1.0,correct
