study_id,experiment_name,participant,sex,species,site,condition,target_ms,distractor_ms,dls,firstlook_target,firstlook_distractor,firstlook_correct
krupenye2016great,study_1,alex,m,chimpanzee,leipzig,fb2,0.0,966.6666667,-1.0,0.0,1.0,0.0
krupenye2016great,study_1,bangolo,m,chimpanzee,leipzig,fb2,250.0,250.0,0.0,0.0,1.0,0.0
krupenye2016great,study_1,batak,m,orangutan,leipzig,fb2,0.0,0.0,,0.0,0.0,
krupenye2016great,study_1,daza,f,chimpanzee,leipzig,fb1,416.6666667,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_1,dokana,f,orangutan,leipzig,fb2,316.6666667,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_1,fimi,f,bonobo,leipzig,fb1,300.0,233.3333333,0.125,1.0,0.0,1.0
krupenye2016great,study_1,fraukje,f,chimpanzee,leipzig,fb2,666.6666667,1383.333333,-0.349593496,1.0,0.0,1.0
krupenye2016great,study_1,frederike,f,chimpanzee,leipzig,fb1,266.6666667,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_1,gemena,f,bonobo,leipzig,fb1,1100.0,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_1,jahaga,f,chimpanzee,leipzig,fb2,900.0,250.0,0.565217391,1.0,0.0,1.0
krupenye2016great,study_1,jasongo,m,bonobo,leipzig,fb1,316.6666667,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_1,jeudi,f,chimpanzee,leipzig,fb2,883.3333333,383.3333333,0.394736842,1.0,0.0,1.0
krupenye2016great,study_1,kara,f,chimpanzee,leipzig,fb1,416.6666667,183.3333333,0.388888889,1.0,0.0,1.0
krupenye2016great,study_1,kasai_II,m,bonobo,leipzig,fb1,350.0,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_1,kofi,m,chimpanzee,leipzig,fb2,0.0,0.0,,0.0,0.0,
krupenye2016great,study_1,kuno,m,bonobo,leipzig,fb2,250.0,266.6666667,-0.032258065,1.0,0.0,1.0
krupenye2016great,study_1,lexi,f,bonobo,leipzig,fb2,166.6666667,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_1,lobo,m,chimpanzee,leipzig,fb1,0.0,133.3333333,-1.0,0.0,1.0,0.0
krupenye2016great,study_1,lome,m,chimpanzee,leipzig,fb1,0.0,133.3333333,-1.0,0.0,1.0,0.0
krupenye2016great,study_1,luiza,f,bonobo,leipzig,fb2,400.0,866.6666667,-0.368421053,0.0,1.0,0.0
krupenye2016great,study_1,padana,f,orangutan,leipzig,fb2,0.0,0.0,,0.0,0.0,
krupenye2016great,study_1,pini,f,orangutan,leipzig,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_1,raja,f,orangutan,leipzig,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_1,riet,f,chimpanzee,leipzig,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_1,robert,m,chimpanzee,leipzig,fb1,0.0,250.0,-1.0,0.0,1.0,0.0
krupenye2016great,study_1,sandra,f,chimpanzee,leipzig,fb2,400.0,600.0,-0.2,1.0,0.0,1.0
krupenye2016great,study_1,suaq,m,orangutan,leipzig,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_1,tanah,f,orangutan,leipzig,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_1,yaro,m,bonobo,leipzig,,,,,,,
krupenye2016great,study_1,yasa,f,bonobo,leipzig,fb2,216.6666667,400.0,-0.297297297,1.0,0.0,1.0
krupenye2016great,study_1,hatsuka,f,chimpanzee,kumamoto,fb1,1286.666667,786.6666667,0.241157556,1.0,0.0,1.0
krupenye2016great,study_1,ikela,f,bonobo,kumamoto,fb1,0.0,0.0,,0.0,0.0,
krupenye2016great,study_1,iroha,f,chimpanzee,kumamoto,fb1,833.3333333,996.6666667,-0.089253188,1.0,0.0,1.0
krupenye2016great,study_1,junior,m,bonobo,kumamoto,fb1,120.0,0.0,1.0,1.0,0.0,1.0
krupenye2016great,study_1,lenore,f,bonobo,kumamoto,fb1,0.0,256.6666667,-1.0,0.0,1.0,0.0
krupenye2016great,study_1,lolita,f,bonobo,kumamoto,fb2,483.3333333,260.0,0.30044843,0.0,1.0,0.0
krupenye2016great,study_1,louise,f,bonobo,kumamoto,fb2,0.0,0.0,,0.0,0.0,
krupenye2016great,study_1,misaki,f,chimpanzee,kumamoto,fb2,0.0,570.0,-1.0,0.0,1.0,0.0
krupenye2016great,study_1,mizuki,f,chimpanzee,kumamoto,fb2,0.0,343.3333333,-1.0,0.0,1.0,0.0
krupenye2016great,study_1,natsuki,f,chimpanzee,kumamoto,fb2,1700.0,173.3333333,0.814946619,1.0,0.0,1.0
krupenye2016great,study_1,vijay,m,bonobo,kumamoto,fb2,153.3333333,0.0,1.0,1.0,0.0,1.0
