"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"site","study location where the research was conducted - Leipzig / Kumamoto"
"condition","condition presented to the participant -  fb1 (false believe task 1) / fb2 (false believe task 2). "
"target_ms","time in milliseconds the participant looked at the target"
"distractor_ms","time in milliseconds the participant looked at the distractor"
"dls","differential looking score between target and distractor"
"firstlook_target","whether the participant looked at the target first - 1 = yes / 0 = no"
"firstlook_distractor","whether the participant looked at the distractor first - 1 = yes / 0 = no"
"firstlook_correct","whether the participant looked at the target first - 1 = yes / 0 = no"
