"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/macaque"
"correct_2a"," percent of correct choices in test trials with Set a. Each set was presented for four consecutive sessions before switching to the other set for the next four sessions. Empty values indicate that participant participated  in 12 sessions but did not reach criterion"
"correct_2b"," percent of correct choices in test trials with Set b. Each set was presented for four consecutive sessions before switching to the other set for the next four sessions."
"set_combined"," percent of correct choices in test trials within both test sets"
"control"," percent of correct choices in control trials"
"chance"," chance level in percent"
