study_id,experiment,participant,age_in_years,sex,species,phase,session,trial,condition,order_condition,demonstration,blicket_side,first_response_side,blicket_object,first_response_correct,second_response,second_response_side
volter2016great,4,bimbo,34,m,orangutan,test,3.0,5,causal,association_first,observation,right,right,10,1.0,,
volter2016great,4,bimbo,34,m,orangutan,test,3.0,6,causal,association_first,observation,left,right,11,0.0,0.0,right
volter2016great,4,bimbo,34,m,orangutan,test,4.0,7,causal,association_first,observation,left,right,14,0.0,0.0,right
volter2016great,4,bimbo,34,m,orangutan,test ,4.0,8,causal,association_first,observation,right,right,16,1.0,,
volter2016great,4,dokana,26,f,orangutan,test,1.0,1,causal,causal_first,observation,left,right,1,0.0,1.0,left
volter2016great,4,dokana,26,f,orangutan,test,1.0,2,causal,causal_first,observation,right,right,3,1.0,,
volter2016great,4,dokana,26,f,orangutan,test,2.0,3,causal,causal_first,observation,right,right,6,1.0,,
volter2016great,4,dokana,26,f,orangutan,test ,2.0,4,causal,causal_first,observation,left,left,8,1.0,,
volter2016great,4,dokana,26,f,orangutan,test,3.0,5,association,causal_first,observation,right,right,9,1.0,,
volter2016great,4,dokana,26,f,orangutan,test,3.0,6,association,causal_first,observation,left,right,12,0.0,0.0,right
volter2016great,4,dokana,26,f,orangutan,test,4.0,7,association,causal_first,observation,right,right,13,1.0,,
volter2016great,4,dokana,26,f,orangutan,test ,4.0,8,association,causal_first,observation,left,right,16,0.0,0.0,right
volter2016great,4,padana,17,f,orangutan,test,1.0,1,causal,causal_first,observation,right,right,2,1.0,,
volter2016great,4,padana,17,f,orangutan,test,1.0,2,causal,causal_first,observation,left,left,3,1.0,,
volter2016great,4,padana,17,f,orangutan,test,2.0,3,causal,causal_first,observation,left,left,5,1.0,,
volter2016great,4,padana,17,f,orangutan,test ,2.0,4,causal,causal_first,observation,right,right,8,1.0,,
volter2016great,4,padana,17,f,orangutan,test,3.0,5,association,causal_first,observation,left,right,10,0.0,1.0,left
volter2016great,4,padana,17,f,orangutan,test,3.0,6,association,causal_first,observation,right,right,12,1.0,,
volter2016great,4,padana,17,f,orangutan,test,4.0,7,association,causal_first,observation,left,right,14,0.0,0.0,right
volter2016great,4,padana,17,f,orangutan,test ,4.0,8,association,causal_first,observation,right,right,15,1.0,,
volter2016great,4,pini,26,f,orangutan,test,1.0,1,association,association_first,observation,left,left,1,1.0,,
volter2016great,4,pini,26,f,orangutan,test,1.0,2,association,association_first,observation,right,left,3,0.0,0.0,left
volter2016great,4,pini,26,f,orangutan,test,2.0,3,association,association_first,observation,right,right,5,1.0,,
volter2016great,4,pini,26,f,orangutan,test ,2.0,4,association,association_first,observation,left,left,7,1.0,,
volter2016great,4,pini,26,f,orangutan,test,3.0,5,causal,association_first,observation,right,right,9,1.0,,
volter2016great,4,pini,26,f,orangutan,test,3.0,6,causal,association_first,observation,left,left,12,1.0,,
volter2016great,4,pini,26,f,orangutan,test,4.0,7,causal,association_first,observation,left,left,13,1.0,,
volter2016great,4,pini,26,f,orangutan,test ,4.0,8,causal,association_first,observation,right,left,15,0.0,1.0,right
volter2016great,4,raja,11,f,orangutan,test,1.0,1,association,association_first,observation,right,left,2,0.0,1.0,right
volter2016great,4,raja,11,f,orangutan,test,1.0,2,association,association_first,observation,left,left,4,1.0,,
volter2016great,4,raja,11,f,orangutan,test,3.0,3,association,association_first,observation,left,right,6,0.0,0.0,right
volter2016great,4,raja,11,f,orangutan,test ,3.0,4,association,association_first,observation,right,left,8,0.0,1.0,right
volter2016great,4,raja,11,f,orangutan,test,4.0,5,causal,association_first,observation,right,right,9,1.0,,
volter2016great,4,raja,11,f,orangutan,test,4.0,6,causal,association_first,observation,left,right,11,0.0,0.0,right
volter2016great,4,raja,11,f,orangutan,test,5.0,7,causal,association_first,observation,left,left,13,1.0,,
volter2016great,4,raja,11,f,orangutan,test ,5.0,8,causal,association_first,observation,right,left,16,0.0,1.0,right
