study_id,experiment,participant,age_in_years,sex,species,phase,session,trial,condition,order_condition,demonstration,order_demo,blicket_side,first_response_side,blicket_object,first_response_100percent_object
volter2016great,3,tai,12,f,chimpanzee,test,7.0,8,backward_blocking,retrospective_first,intervention,observation_first,right,left,16,0.0
volter2016great,3,sandra,21,f,chimpanzee,test,2.0,3,retrospective_discounting,retrospective_first,observation,observation_first,right,right,6,0.0
volter2016great,3,sandra,21,f,chimpanzee,test,3.0,4,backward_blocking,retrospective_first,observation,observation_first,left,left,7,1.0
volter2016great,3,sandra,21,f,chimpanzee,test,5.0,7,retrospective_discounting,retrospective_first,intervention,observation_first,left,left,14,0.0
volter2016great,3,sandra,21,f,chimpanzee,test,6.0,8,backward_blocking,retrospective_first,intervention,observation_first,right,right,16,1.0
volter2016great,3,jahaga,22,f,chimpanzee,test,2.0,3,retrospective_discounting,retrospective_first,observation,observation_first,left,right,6,1.0
volter2016great,3,jahaga,22,f,chimpanzee,test,3.0,4,backward_blocking,retrospective_first,observation,observation_first,right,left,8,0.0
volter2016great,3,jahaga,22,f,chimpanzee,test,5.0,7,retrospective_discounting,retrospective_first,intervention,observation_first,left,right,13,1.0
volter2016great,3,jahaga,22,f,chimpanzee,test,6.0,8,backward_blocking,retrospective_first,intervention,observation_first,right,right,15,1.0
volter2016great,3,fraukje,38,f,chimpanzee,test,2.0,3,retrospective_discounting,retrospective_first,observation,observation_first,right,left,5,1.0
volter2016great,3,fraukje,38,f,chimpanzee,test,3.0,4,backward_blocking,retrospective_first,observation,observation_first,left,left,8,1.0
volter2016great,3,kara,9,f,chimpanzee,test,2.0,3,retrospective_discounting,retrospective_first,intervention,intervention_first,left,right,5,0.0
volter2016great,3,kara,9,f,chimpanzee,test,3.0,4,backward_blocking,retrospective_first,intervention,intervention_first,right,left,8,0.0
volter2016great,3,kara,9,f,chimpanzee,test,5.0,7,retrospective_discounting,retrospective_first,observation,intervention_first,right,left,14,1.0
volter2016great,3,kara,9,f,chimpanzee,test,6.0,8,backward_blocking,retrospective_first,observation,intervention_first,left,left,15,1.0
volter2016great,3,lome,13,m,chimpanzee,test,5.0,7,retrospective_discounting,retrospective_first,observation,intervention_first,left,right,14,1.0
volter2016great,3,lome,13,m,chimpanzee,test,6.0,8,backward_blocking,retrospective_first,observation,intervention_first,right,right,15,1.0
volter2016great,3,annett,15,f,chimpanzee,test,3.0,3,retrospective_discounting,retrospective_first,intervention,intervention_first,left,right,5,1.0
volter2016great,3,annett,15,f,chimpanzee,test,4.0,4,backward_blocking,retrospective_first,intervention,intervention_first,right,right,8,1.0
volter2016great,3,riet,37,f,chimpanzee,test,5.0,7,retrospective_discounting,retrospective_first,observation,intervention_first,right,right,13,0.0
volter2016great,3,riet,37,f,chimpanzee,test,6.0,8,backward_blocking,retrospective_first,observation,intervention_first,left,right,15,0.0
volter2016great,3,alex,13,m,chimpanzee,test,2.0,3,backward_blocking,backward_first,observation,observation_first,left,left,6,1.0
volter2016great,3,alex,13,m,chimpanzee,test,3.0,4,retrospective_discounting,backward_first,observation,observation_first,right,right,8,1.0
volter2016great,3,alex,13,m,chimpanzee,test,5.0,7,backward_blocking,backward_first,intervention,observation_first,left,right,14,0.0
volter2016great,3,alex,13,m,chimpanzee,test,6.0,8,retrospective_discounting,backward_first,intervention,observation_first,right,left,15,1.0
volter2016great,3,dorien,34,f,chimpanzee,test,2.0,3,backward_blocking,backward_first,observation,observation_first,right,left,5,0.0
volter2016great,3,dorien,34,f,chimpanzee,test,3.0,4,retrospective_discounting,backward_first,observation,observation_first,left,left,7,0.0
volter2016great,3,raja,11,f,orangutan,test,2.0,3,backward_blocking,backward_first,intervention,intervention_first,left,left,6,1.0
volter2016great,3,raja,11,f,orangutan,test,3.0,4,retrospective_discounting,backward_first,intervention,intervention_first,right,left,8,1.0
volter2016great,3,raja,11,f,orangutan,test,5.0,7,backward_blocking,backward_first,observation,intervention_first,left,left,13,1.0
volter2016great,3,raja,11,f,orangutan,test,6.0,8,retrospective_discounting,backward_first,observation,intervention_first,right,left,16,1.0
volter2016great,3,dokana,26,f,orangutan,test,2.0,3,backward_blocking,backward_first,intervention,intervention_first,right,right,5,1.0
volter2016great,3,dokana,26,f,orangutan,test,3.0,4,retrospective_discounting,backward_first,intervention,intervention_first,left,right,7,1.0
volter2016great,3,dokana,26,f,orangutan,test,5.0,7,backward_blocking,backward_first,observation,intervention_first,right,right,14,1.0
volter2016great,3,dokana,26,f,orangutan,test,6.0,8,retrospective_discounting,backward_first,observation,intervention_first,left,right,15,1.0
volter2016great,3,pini,26,f,orangutan,test,5.0,7,retrospective_discounting,retrospective_first,intervention,observation_first,right,left,14,1.0
volter2016great,3,pini,26,f,orangutan,test,6.0,8,backward_blocking,retrospective_first,intervention,observation_first,left,right,16,0.0
volter2016great,3,tanah,5,f,orangutan,test,3.0,3,retrospective_discounting,retrospective_first,intervention,intervention_first,right,left,5,1.0
volter2016great,3,tanah,5,f,orangutan,test,4.0,4,backward_blocking,retrospective_first,intervention,intervention_first,left,left,7,1.0
volter2016great,3,padana,17,f,orangutan,test,2.0,3,backward_blocking,backward_first,observation,observation_first,right,right,5,1.0
volter2016great,3,padana,17,f,orangutan,test,3.0,4,retrospective_discounting,backward_first,observation,observation_first,left,right,7,1.0
