study_id,experiment,publication_status,participant,age_in_years,sex,species,phase,session,trial,order_condition,demonstration,order_a,first_response,first_response_side,blicket_object,first_response_correct,second_response,second_response_side,ac_side,second_response_correct
volter2016great,5,published,dorien,34,f,chimpanzee,training,1.0,1,,intervention,,,left,,0.0,,left,right,0.0
volter2016great,5,published,dorien,34,f,chimpanzee,training,1.0,2,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,dorien,34,f,chimpanzee,training,2.0,3,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,dorien,34,f,chimpanzee,training,2.0,4,,intervention,,,left,,0.0,,right,right,1.0
volter2016great,5,published,fraukje,38,f,chimpanzee,training,1.0,1,,intervention,,,left,,0.0,,right,right,1.0
volter2016great,5,published,fraukje,38,f,chimpanzee,training,1.0,2,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,jahaga,22,f,chimpanzee,training,1.0,1,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,jahaga,22,f,chimpanzee,training,1.0,2,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,kara,9,f,chimpanzee,training,1.0,1,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,kara,9,f,chimpanzee,training,1.0,2,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,kofi,9,m,chimpanzee,training,1.0,1,,intervention,,,left,,0.0,,left,right,0.0
volter2016great,5,published,kofi,9,m,chimpanzee,training,1.0,2,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,kofi,9,m,chimpanzee,training,2.0,3,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,kofi,9,m,chimpanzee,training,2.0,4,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,lobo,10,m,chimpanzee,training,1.0,1,,intervention,,,left,,0.0,,left,right,0.0
volter2016great,5,published,lobo,10,m,chimpanzee,training,1.0,2,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,lobo,10,m,chimpanzee,training,2.0,3,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,lobo,10,m,chimpanzee,training,2.0,4,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,lome,13,m,chimpanzee,training,1.0,1,,intervention,,,right,,0.0,,right,left,0.0
volter2016great,5,published,lome,13,m,chimpanzee,training,1.0,2,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,lome,13,m,chimpanzee,training,2.0,3,,intervention,,,left,,0.0,,right,right,1.0
volter2016great,5,published,lome,13,m,chimpanzee,training,2.0,4,,intervention,,,right,,0.0,,right,left,0.0
volter2016great,5,published,natascha,34,f,chimpanzee,training,1.0,1,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,natascha,34,f,chimpanzee,training,1.0,2,,intervention,,,right,,0.0,,right,left,0.0
volter2016great,5,published,natascha,34,f,chimpanzee,training,2.0,3,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,natascha,34,f,chimpanzee,training,2.0,4,,intervention,,,left,,0.0,,left,right,0.0
volter2016great,5,published,sandra,21,f,chimpanzee,training,1.0,1,,intervention,,,left,,0.0,,left,right,0.0
volter2016great,5,published,sandra,21,f,chimpanzee,training,1.0,2,,intervention,,,right,,0.0,,right,left,0.0
volter2016great,5,published,sandra,21,f,chimpanzee,training,2.0,3,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,sandra,21,f,chimpanzee,training,2.0,4,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,tai,12,f,chimpanzee,training,1.0,1,,intervention,,,right,,0.0,,left,left,1.0
volter2016great,5,published,tai,12,f,chimpanzee,training,1.0,2,,intervention,,,left,,0.0,,left,right,0.0
volter2016great,5,published,tai,12,f,chimpanzee,training,2.0,3,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,tai,12,f,chimpanzee,training,2.0,4,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,bimbo,34,m,orangutan,training,1.0,1,,intervention,,,right,,0.0,,right,left,0.0
volter2016great,5,published,bimbo,34,m,orangutan,training,1.0,2,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,bimbo,34,m,orangutan,training,2.0,3,,intervention,,,right,,0.0,,left,left,1.0
volter2016great,5,published,bimbo,34,m,orangutan,training,2.0,4,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,dokana,26,f,orangutan,training,1.0,1,,intervention,,,right,,0.0,,right,left,0.0
volter2016great,5,published,dokana,26,f,orangutan,training,1.0,2,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,dokana,26,f,orangutan,training,2.0,3,,intervention,,,left,,0.0,,right,right,1.0
volter2016great,5,published,dokana,26,f,orangutan,training,2.0,4,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,padana,17,f,orangutan,training,1.0,1,,intervention,,,right,,0.0,,right,left,0.0
volter2016great,5,published,padana,17,f,orangutan,training,1.0,2,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,padana,17,f,orangutan,training,2.0,3,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,padana,17,f,orangutan,training,2.0,4,,intervention,,,left,,0.0,,right,right,1.0
volter2016great,5,published,pini,26,f,orangutan,training,1.0,1,,intervention,,,right,,0.0,,right,left,0.0
volter2016great,5,published,pini,26,f,orangutan,training,1.0,2,,intervention,,,left,,0.0,,right,right,1.0
volter2016great,5,published,pini,26,f,orangutan,training,2.0,3,,intervention,,,right,,0.0,,left,left,1.0
volter2016great,5,published,pini,26,f,orangutan,training,2.0,4,,intervention,,,left,,0.0,,right,right,1.0
volter2016great,5,published,raja,11,f,orangutan,training,1.0,1,,intervention,,,right,,0.0,,right,left,0.0
volter2016great,5,published,raja,11,f,orangutan,training,1.0,2,,intervention,,,right,,1.0,,,right,
volter2016great,5,published,raja,11,f,orangutan,training,2.0,3,,intervention,,,left,,0.0,,right,right,1.0
volter2016great,5,published,raja,11,f,orangutan,training,2.0,4,,intervention,,,right,,0.0,,right,left,0.0
volter2016great,5,published,tanah,5,f,orangutan,training,1.0,1,,intervention,,,left,,1.0,,,left,
volter2016great,5,published,tanah,5,f,orangutan,training,1.0,2,,intervention,,,left,,0.0,,left,right,0.0
volter2016great,5,unpublished,fimi,6,f,bonobo,training,1.0,1,,intervention,,1,, a_b_d_c,,,,left,
volter2016great,5,unpublished,fimi,6,f,bonobo,training,1.0,2,,intervention,,1,, a_c_d_b,,,,right,
volter2016great,5,unpublished,fimi,6,f,bonobo,test,2.0,3,bb_first,intervention,afirst,0,, c_b_a_d,,,,left,
volter2016great,5,unpublished,fimi,6,f,bonobo,test,3.0,4,bb_first,intervention,afirst,1,, b_c_d_a,,,,left,
volter2016great,5,unpublished,gemena,9,f,bonobo,training,1.0,1,,intervention,,1,, c_b_d_a,,,,right,
volter2016great,5,unpublished,gemena,9,f,bonobo,training,1.0,2,,intervention,,0,, b_d_a_c,,0.0,,left,
volter2016great,5,unpublished,gemena,9,f,bonobo,training,2.0,3,,intervention,,0,, c_b_d_a,,0.0,,right,
volter2016great,5,unpublished,gemena,9,f,bonobo,training,2.0,4,,intervention,,1,, b_d_a_c,,,,left,
volter2016great,5,unpublished,gemena,9,f,bonobo,test,3.0,5,bb_first,intervention,bfirst,,, b_d_c_a,,,,right,
volter2016great,5,unpublished,gemena,9,f,bonobo,test,4.0,6,bb_first,intervention,bfirst,,, a_b_d_c,,,,right,
volter2016great,5,unpublished,jasongo,24,m,bonobo,training,1.0,1,,intervention,,1,, d_a_b_c,,,,right,
volter2016great,5,unpublished,jasongo,24,m,bonobo,training,1.0,2,,intervention,,0,, d_c_b_a,,1.0,,left,
volter2016great,5,unpublished,jasongo,24,m,bonobo,test,2.0,3,is_first,intervention,bfirst,0,, b_a_c_d,,,,right,
volter2016great,5,unpublished,jasongo,24,m,bonobo,test,3.0,4,is_first,intervention,bfirst,0,, d_b_c_a,,,,right,
volter2016great,5,unpublished,joey,32,m,bonobo,training,1.0,1,,intervention,,1,, a_d_b_c,,,,left,
volter2016great,5,unpublished,joey,32,m,bonobo,training,1.0,2,,intervention,,0,, d_c_a_b,,0.0,,right,
volter2016great,5,unpublished,joey,32,m,bonobo,training,2.0,3,,intervention,,1,, a_d_b_c,,,,left,
volter2016great,5,unpublished,joey,32,m,bonobo,training,2.0,4,,intervention,,1,, d_c_a_b,,,,right,
volter2016great,5,unpublished,joey,32,m,bonobo,test,3.0,5,is_first,intervention,afirst,1,,a_b_c_d,,,,left,
volter2016great,5,unpublished,joey,32,m,bonobo,test,4.0,6,is_first,intervention,afirst,0,, d_c_b_a,,,,left,
volter2016great,5,unpublished,kuno,18,m,bonobo,training,1.0,1,,intervention,,0,, b_d_a_c,,0.0,,left,
volter2016great,5,unpublished,kuno,18,m,bonobo,training,1.0,2,,intervention,,0,, c_b_a_d,,1.0,,right,
volter2016great,5,unpublished,kuno,18,m,bonobo,training,2.0,3,,intervention,,1,, b_d_a_c,,,,left,
volter2016great,5,unpublished,kuno,18,m,bonobo,training,2.0,4,,intervention,,/,, c_b_a_d,,,,right,
volter2016great,5,unpublished,kuno,18,m,bonobo,training,3.0,4,,intervention,,0,, c_b_a_d,,0.0,,right,
volter2016great,5,unpublished,kuno,18,m,bonobo,test,4.0,5,bb_first,intervention,bfirst,,, a_d_c_b,,,,right,
volter2016great,5,unpublished,kuno,18,m,bonobo,test,5.0,6,bb_first,intervention,bfirst,,, d_b_a_c,,,,right,
volter2016great,5,unpublished,lexi,15,f,bonobo,training,1.0,1,,intervention,,0,, c_d_a_b,,0.0,,right,
volter2016great,5,unpublished,lexi,15,f,bonobo,training,1.0,2,,intervention,,1,, b_c_a_d,,,,left,
volter2016great,5,unpublished,lexi,15,f,bonobo,training,2.0,3,,intervention,,1,, c_d_a_b,,,,left,
volter2016great,5,unpublished,lexi,15,f,bonobo,training,2.0,4,,intervention,,0,, b_c_a_d,,1.0,,right,
volter2016great,5,unpublished,lexi,15,f,bonobo,test,3.0,5,is_first,intervention,bfirst,0,, c_a_d_b,,,,right,
volter2016great,5,unpublished,lexi,15,f,bonobo,test,4.0,6,is_first,intervention,bfirst,1,, b_a_d_c,,,,right,
volter2016great,5,unpublished,luiza,10,f,bonobo,training,1.0,1,,intervention,,0,, b_a_c_d,,0.0,,left,
volter2016great,5,unpublished,luiza,10,f,bonobo,training,1.0,2,,intervention,,1,, d_a_c_b,,,,right,
volter2016great,5,unpublished,luiza,10,f,bonobo,training,2.0,3,,intervention,,0,, b_a_c_d,,0.0,,right,
volter2016great,5,unpublished,luiza,10,f,bonobo,training,2.0,4,,intervention,,0,, d_a_c_b,,0.0,,left,
volter2016great,5,unpublished,luiza,10,f,bonobo,test,3.0,5,is_first,intervention,afirst,,, a_c_b_d,,,,left,
volter2016great,5,unpublished,luiza,10,f,bonobo,test,4.0,6,is_first,intervention,afirst,,, c_d_b_a,,,,left,
volter2016great,5,unpublished,yasa,17,f,bonobo,training,1.0,1,,intervention,,1,, c_b_a_d,,,,left,
volter2016great,5,unpublished,yasa,17,f,bonobo,training,1.0,2,,intervention,,0,, c_b_d_a,,0.0,,right,
volter2016great,5,unpublished,yasa,17,f,bonobo,training,2.0,3,,intervention,,1,, c_b_a_d,,,,left,
volter2016great,5,unpublished,yasa,17,f,bonobo,training,2.0,4,,intervention,,0,, c_b_d_a,,0.0,,right,
volter2016great,5,unpublished,yasa,17,f,bonobo,test,3.0,5,bb_first,intervention,afirst,,, d_a_b_c,,,,left,
volter2016great,5,unpublished,yasa,17,f,bonobo,test,4.0,6,bb_first,intervention,afirst,,, c_b_d_a,,,,left,
volter2016great,5,unpublished,alex,13,m,chimpanzee,training,1.0,1,,intervention,,1,,a_b_c_d,,,,left,
volter2016great,5,unpublished,alex,13,m,chimpanzee,training,1.0,2,,intervention,,0,, d_b_c_a,,1.0,,right,
volter2016great,5,unpublished,alex,13,m,chimpanzee,test,2.0,3,bb_first,intervention,afirst,0,, c_b_d_a,,,,left,
volter2016great,5,unpublished,alex,13,m,chimpanzee,test,3.0,4,bb_first,intervention,afirst,1,, c_a_d_b,,,,left,
volter2016great,5,unpublished,alexandra,15,f,chimpanzee,training,1.0,1,,intervention,,1,, b_c_a_d,,,,right,
volter2016great,5,unpublished,alexandra,15,f,chimpanzee,training,1.0,2,,intervention,,0,, b_d_c_a,,1.0,,left,
volter2016great,5,unpublished,alexandra,15,f,chimpanzee,test,2.0,3,is_first,intervention,bfirst,0,, a_b_d_c,,,,right,
volter2016great,5,unpublished,alexandra,15,f,chimpanzee,test,3.0,4,is_first,intervention,bfirst,1,, b_d_a_c,,,,right,
volter2016great,5,unpublished,annett,15,f,chimpanzee,training,1.0,1,,intervention,,/,, d_c_a_b,,,,left,
volter2016great,5,unpublished,annett,15,f,chimpanzee,training,2.0,1,,intervention,,/,, d_c_a_b,,,,left,
volter2016great,5,unpublished,annett,15,f,chimpanzee,training,1.0,2,,intervention,,/,, d_b_a_c,,,,right,
volter2016great,5,unpublished,annett,15,f,chimpanzee,training,2.0,2,,intervention,,/,, d_b_a_c,,,,right,
volter2016great,5,unpublished,annett,15,f,chimpanzee,training,3.0,1,,intervention,,/,, d_c_a_b,,,,left,
volter2016great,5,unpublished,annett,15,f,chimpanzee,training,3.0,2,,intervention,,/,, d_b_a_c,,,,right,
volter2016great,5,unpublished,annett,15,f,chimpanzee,training,4.0,3,,intervention,,/,, d_c_a_b,,,,left,
volter2016great,5,unpublished,annett,15,f,chimpanzee,training,4.0,4,,intervention,,/,, d_b_a_c,,,,right,
volter2016great,5,unpublished,annett,15,f,chimpanzee,test,5.0,5,is_first,intervention,afirst,,, d_b_c_a,,,,left,
volter2016great,5,unpublished,annett,15,f,chimpanzee,test,6.0,6,is_first,intervention,afirst,,, a_d_b_c,,,,left,
volter2016great,5,unpublished,dorien,34,f,chimpanzee,training,1.0,1,,intervention,,0,, c_a_b_d,,0.0,,right,
volter2016great,5,unpublished,dorien,34,f,chimpanzee,training,1.0,2,,intervention,,1,, c_a_d_b,,,,left,
volter2016great,5,unpublished,dorien,34,f,chimpanzee,training,2.0,3,,intervention,,1,, c_a_b_d,,,,left,
volter2016great,5,unpublished,dorien,34,f,chimpanzee,training,2.0,4,,intervention,,0,, c_a_d_b,,1.0,,right,
volter2016great,5,unpublished,dorien,34,f,chimpanzee,test,3.0,5,is_first,intervention,bfirst,0,, c_d_b_a,,,,right,
volter2016great,5,unpublished,dorien,34,f,chimpanzee,test,4.0,6,is_first,intervention,bfirst,1,, d_a_b_c,,,,right,
