study_id,experiment,publication_status,participant,age_in_years,sex,species,phase,session,trial,order_condition,demonstration,order_a,first_response,first_response_side,blicket_object,first_response_correct,second_response,second_response_side,ac_side,second_response_correct
volter2016great,5,unpublished,dokana,26,f,orangutan,training,2.0,2,,intervention,,1,, a_b_d_c,,,,right,
volter2016great,5,unpublished,dokana,26,f,orangutan,training,3.0,3,,intervention,,0,, b_a_d_c,,1.0,,right,
volter2016great,5,unpublished,dokana,26,f,orangutan,training,3.0,4,,intervention,,1,, a_b_d_c,,,,left,
volter2016great,5,unpublished,dokana,26,f,orangutan,test,4.0,5,is_first,intervention,bfirst,0,, a_d_c_b,,,,right,
volter2016great,5,unpublished,dokana,26,f,orangutan,test,5.0,6,is_first,intervention,bfirst,,,a_b_c_d,,,,right,
volter2016great,5,unpublished,padana,17,f,orangutan,training,1.0,1,,intervention,,0,, b_d_a_c,,0.0,,left,
volter2016great,5,unpublished,padana,17,f,orangutan,training,1.0,2,,intervention,,1,, c_d_a_b,,,,right,
volter2016great,5,unpublished,padana,17,f,orangutan,training,2.0,3,,intervention,,1,, b_d_a_c,,,,left,
volter2016great,5,unpublished,padana,17,f,orangutan,training,2.0,4,,intervention,,0,, c_d_a_b,,1.0,,right,
volter2016great,5,unpublished,padana,17,f,orangutan,test,3.0,5,bb_first,intervention,afirst,1,, a_c_d_b,,,,left,
volter2016great,5,unpublished,padana,17,f,orangutan,test,4.0,6,bb_first,intervention,afirst,1,, c_a_d_b,,,,left,
volter2016great,5,unpublished,pini,26,f,orangutan,training,1.0,1,,intervention,,0,, d_c_a_b,,0.0,,left,
volter2016great,5,unpublished,pini,26,f,orangutan,training,1.0,2,,intervention,,0,, b_c_d_a,,1.0,,right,
volter2016great,5,unpublished,pini,26,f,orangutan,training,2.0,3,,intervention,,0,, d_c_a_b,,1.0,,left,
volter2016great,5,unpublished,pini,26,f,orangutan,training,2.0,4,,intervention,,0,, b_c_d_a,,1.0,,right,
volter2016great,5,unpublished,pini,26,f,orangutan,test,3.0,5,bb_first,intervention,bfirst,1,, a_b_d_c,,,,right,
volter2016great,5,unpublished,pini,26,f,orangutan,test,4.0,6,bb_first,intervention,bfirst,0,, d_b_a_c,,,,right,
volter2016great,5,unpublished,raja,11,f,orangutan,training,1.0,1,,intervention,,0,, a_d_c_b,,0.0,,left,
volter2016great,5,unpublished,raja,11,f,orangutan,training,1.0,2,,intervention,,1,, a_d_c_b,,,,right,
volter2016great,5,unpublished,raja,11,f,orangutan,training,2.0,3,,intervention,,0,, a_d_c_b,,1.0,,right,
volter2016great,5,unpublished,raja,11,f,orangutan,training,2.0,4,,intervention,,0,, a_d_c_b,,0.0,,left,
volter2016great,5,unpublished,raja,11,f,orangutan,test,3.0,5,is_first,intervention,bfirst,,, d_c_b_a,,,,right,
volter2016great,5,unpublished,raja,11,f,orangutan,test,4.0,6,is_first,intervention,bfirst,,, b_c_a_d,,,,right,
volter2016great,5,unpublished,tanah,5,f,orangutan,training,1.0,1,,intervention,,1,, b_d_c_a,,,,left,
volter2016great,5,unpublished,tanah,5,f,orangutan,training,1.0,2,,intervention,,/,, a_b_d_c,,,,right,
volter2016great,5,unpublished,tanah,5,f,orangutan,training,2.0,2,,intervention,,/,, a_b_d_c,,,,right,
volter2016great,5,unpublished,tanah,5,f,orangutan,training,3.0,2,,intervention,,0,, a_b_d_c,,0.0,,right,
volter2016great,5,unpublished,tanah,5,f,orangutan,training,4.0,3,,intervention,,,, b_d_c_a,,,,left,
volter2016great,5,unpublished,tanah,5,f,orangutan,training,4.0,4,,intervention,,,, a_b_d_c,,,,right,
volter2016great,5,unpublished,tanah,5,f,orangutan,test,5.0,5,is_first,intervention,afirst,,, d_c_b_a,,,,left,
volter2016great,5,unpublished,tanah,5,f,orangutan,test,6.0,6,is_first,intervention,afirst,,, a_c_b_d,,,,left,
