study_id,experiment,participant,age_in_years,sex,species,trial,condition,food_on_left,food_on_right,choice,choice_codes,success
call2004inferences,6,limbuko,6.0,m,bonobo,15.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,limbuko,6.0,m,bonobo,16.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,limbuko,6.0,m,bonobo,17.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,limbuko,6.0,m,bonobo,18.0,control,yes,no,1.0,right,1.0
call2004inferences,6,limbuko,6.0,m,bonobo,19.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,limbuko,6.0,m,bonobo,20.0,control,yes,no,1.0,right,1.0
call2004inferences,6,limbuko,6.0,m,bonobo,21.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,limbuko,6.0,m,bonobo,22.0,control,no,yes,2.0,left,1.0
call2004inferences,6,limbuko,6.0,m,bonobo,23.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,limbuko,6.0,m,bonobo,24.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,kuno,5.0,m,bonobo,1.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,kuno,5.0,m,bonobo,2.0,control,no,yes,1.0,right,0.0
call2004inferences,6,kuno,5.0,m,bonobo,3.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,kuno,5.0,m,bonobo,4.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,kuno,5.0,m,bonobo,5.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,kuno,5.0,m,bonobo,6.0,control,yes,no,1.0,right,1.0
call2004inferences,6,kuno,5.0,m,bonobo,7.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,kuno,5.0,m,bonobo,8.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,kuno,5.0,m,bonobo,9.0,control,yes,no,2.0,left,0.0
call2004inferences,6,kuno,5.0,m,bonobo,10.0,control,no,yes,2.0,left,1.0
call2004inferences,6,kuno,5.0,m,bonobo,11.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,kuno,5.0,m,bonobo,12.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,kuno,5.0,m,bonobo,13.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,kuno,5.0,m,bonobo,14.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,kuno,5.0,m,bonobo,15.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,kuno,5.0,m,bonobo,16.0,control,yes,no,2.0,left,0.0
call2004inferences,6,kuno,5.0,m,bonobo,17.0,control,no,yes,2.0,left,1.0
call2004inferences,6,kuno,5.0,m,bonobo,18.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,kuno,5.0,m,bonobo,19.0,control,yes,no,1.0,right,1.0
call2004inferences,6,kuno,5.0,m,bonobo,20.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,kuno,5.0,m,bonobo,21.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,kuno,5.0,m,bonobo,22.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,kuno,5.0,m,bonobo,23.0,control,no,yes,2.0,left,1.0
call2004inferences,6,kuno,5.0,m,bonobo,24.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,n’kwango,,m,gorilla,1.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,n’kwango,,m,gorilla,2.0,baseline,no,yes,1.0,right,0.0
call2004inferences,6,n’kwango,,m,gorilla,3.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,n’kwango,,m,gorilla,4.0,control,yes,no,2.0,left,0.0
call2004inferences,6,n’kwango,,m,gorilla,5.0,control,no,yes,2.0,left,1.0
call2004inferences,6,n’kwango,,m,gorilla,6.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,n’kwango,,m,gorilla,7.0,experimental_recorded_sound,yes,no,2.0,left,0.0
call2004inferences,6,n’kwango,,m,gorilla,8.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,n’kwango,,m,gorilla,9.0,control,yes,no,1.0,right,1.0
call2004inferences,6,n’kwango,,m,gorilla,10.0,control,no,yes,1.0,right,0.0
call2004inferences,6,n’kwango,,m,gorilla,11.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,n’kwango,,m,gorilla,12.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,n’kwango,,m,gorilla,13.0,experimental_recorded_sound,yes,no,2.0,left,0.0
