study_id,experiment,participant,age_in_years,sex,species,trial,condition,food_on_left,food_on_right,choice,choice_codes,success
call2004inferences,2,vimoto,6.0,m,gorilla,1.0,control,no,yes,1.0,right,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,2.0,auditory_both,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,3.0,control,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,4.0,visual_baited,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,5.0,auditory_both,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,6.0,visual_empty,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,7.0,control,no,yes,1.0,right,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,8.0,visual_baited,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,9.0,visual_empty,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,10.0,auditory_baited,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,11.0,auditory_empty,yes,no,2.0,left,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,12.0,control,yes,no,2.0,left,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,13.0,visual_both,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,14.0,auditory_empty,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,15.0,visual_both,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,16.0,control,yes,no,2.0,left,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,17.0,control,no,yes,1.0,right,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,18.0,auditory_baited,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,19.0,control,yes,no,2.0,left,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,20.0,visual_both,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,21.0,visual_baited,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,22.0,auditory_both,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,23.0,control,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,24.0,auditory_baited,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,25.0,auditory_empty,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,26.0,control,no,yes,1.0,right,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,27.0,auditory_empty,yes,no,2.0,left,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,28.0,visual_empty,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,29.0,visual_empty,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,30.0,control,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,31.0,auditory_both,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,32.0,control,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,33.0,visual_both,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,34.0,visual_baited,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,35.0,auditory_baited,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,36.0,control,yes,no,2.0,left,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,37.0,auditory_baited,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,38.0,visual_both,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,39.0,visual_baited,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,40.0,control,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,41.0,control,yes,no,2.0,left,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,42.0,auditory_baited,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,43.0,visual_both,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,44.0,control,no,yes,1.0,right,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,45.0,visual_baited,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,46.0,control,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,47.0,auditory_both,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,48.0,auditory_both,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,49.0,visual_empty,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,50.0,visual_empty,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,51.0,control,no,yes,1.0,right,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,52.0,control,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,53.0,auditory_empty,yes,no,2.0,left,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,54.0,auditory_empty,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,55.0,auditory_empty,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,56.0,auditory_baited,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,57.0,control,no,yes,1.0,right,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,58.0,control,yes,no,2.0,left,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,59.0,visual_empty,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,60.0,visual_empty,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,61.0,control,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,62.0,visual_baited,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,63.0,visual_baited,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,64.0,auditory_both,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,65.0,auditory_baited,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,66.0,control,yes,no,2.0,left,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,67.0,control,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,68.0,auditory_both,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,69.0,visual_both,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,70.0,control,yes,no,2.0,left,0.0
call2004inferences,2,vimoto,6.0,m,gorilla,71.0,auditory_empty,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,72.0,visual_both,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,73.0,auditory_baited,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,74.0,auditory_baited,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,75.0,control,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,76.0,control,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,77.0,visual_baited,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,78.0,visual_both,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,79.0,auditory_both,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,80.0,auditory_empty,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,81.0,control,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,82.0,control,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,83.0,visual_baited,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,84.0,visual_empty,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,85.0,auditory_both,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,86.0,visual_empty,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,87.0,control,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,88.0,control,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,89.0,auditory_empty,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,90.0,visual_both,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,91.0,control,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,92.0,visual_empty,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,93.0,auditory_both,yes,no,1.0,right,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,94.0,visual_baited,no,yes,2.0,left,1.0
call2004inferences,2,vimoto,6.0,m,gorilla,95.0,control,yes,no,1.0,right,1.0
