study_id,experiment,participant,age_in_years,sex,species,session,trial,continuous_trial,condition,food_on_left,food_on_right,choice,choice_codes,success
call2004inferences,1,bebe,24.0,f,gorilla,5.0,4.0,52.0,control,no,yes,2.0,left,1.0
call2004inferences,1,bebe,24.0,f,gorilla,5.0,5.0,53.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,bebe,24.0,f,gorilla,5.0,6.0,54.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,bebe,24.0,f,gorilla,5.0,7.0,55.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,bebe,24.0,f,gorilla,5.0,8.0,56.0,audition,no,yes,1.0,right,0.0
call2004inferences,1,bebe,24.0,f,gorilla,5.0,9.0,57.0,control,yes,no,1.0,right,1.0
call2004inferences,1,bebe,24.0,f,gorilla,5.0,10.0,58.0,control,no,yes,2.0,left,1.0
call2004inferences,1,bebe,24.0,f,gorilla,5.0,11.0,59.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,bebe,24.0,f,gorilla,5.0,12.0,60.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,13.0,61.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,14.0,62.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,15.0,63.0,control,yes,no,1.0,right,1.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,16.0,64.0,control,no,yes,2.0,left,1.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,17.0,65.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,18.0,66.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,19.0,67.0,control,no,yes,1.0,right,0.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,20.0,68.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,21.0,69.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,22.0,70.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,23.0,71.0,control,yes,no,2.0,left,0.0
call2004inferences,1,bebe,24.0,f,gorilla,6.0,24.0,72.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,1.0,1.0,control,no,yes,1.0,right,0.0
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,2.0,2.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,3.0,3.0,control,yes,no,1.0,right,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,4.0,4.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,5.0,5.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,6.0,6.0,vision,yes,no,1.0,right,1.0
