study_id,experiment,participant,age_in_years,sex,species,trial,condition,food_on_left,food_on_right,choice,choice_codes,success
call2004inferences,5,bebe,24.0,f,gorilla,1.0,control,no,yes,1.0,right,0.0
call2004inferences,5,bebe,24.0,f,gorilla,2.0,tapping,yes,no,1.0,right,1.0
call2004inferences,5,bebe,24.0,f,gorilla,3.0,control,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,4.0,control,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,5.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,6.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,7.0,control,no,yes,1.0,right,0.0
call2004inferences,5,bebe,24.0,f,gorilla,8.0,control,yes,no,1.0,right,1.0
call2004inferences,5,bebe,24.0,f,gorilla,9.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,10.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,11.0,tapping,yes,no,1.0,right,1.0
call2004inferences,5,bebe,24.0,f,gorilla,12.0,control,yes,no,1.0,right,1.0
call2004inferences,5,bebe,24.0,f,gorilla,13.0,control,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,14.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,15.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,16.0,control,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,17.0,control,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,18.0,tapping,yes,no,1.0,right,1.0
call2004inferences,5,bebe,24.0,f,gorilla,19.0,control,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,20.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,21.0,control,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,22.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,23.0,control,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,24.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,25.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,26.0,control,no,yes,1.0,right,0.0
call2004inferences,5,bebe,24.0,f,gorilla,27.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,28.0,control,yes,no,1.0,right,1.0
call2004inferences,5,bebe,24.0,f,gorilla,29.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,30.0,control,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,31.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,32.0,control,no,yes,1.0,right,0.0
call2004inferences,5,bebe,24.0,f,gorilla,33.0,tapping,yes,no,1.0,right,1.0
call2004inferences,5,bebe,24.0,f,gorilla,34.0,control,no,yes,1.0,right,0.0
call2004inferences,5,bebe,24.0,f,gorilla,35.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,36.0,control,yes,no,1.0,right,1.0
call2004inferences,5,bebe,24.0,f,gorilla,37.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,38.0,control,no,yes,1.0,right,0.0
call2004inferences,5,bebe,24.0,f,gorilla,39.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,40.0,control,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,41.0,control,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,42.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,43.0,control,yes,no,1.0,right,1.0
call2004inferences,5,bebe,24.0,f,gorilla,44.0,control,no,yes,1.0,right,0.0
call2004inferences,5,bebe,24.0,f,gorilla,45.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,bebe,24.0,f,gorilla,46.0,control,yes,no,1.0,right,1.0
call2004inferences,5,bebe,24.0,f,gorilla,47.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,bebe,24.0,f,gorilla,48.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,1.0,control,yes,no,1.0,right,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,2.0,tapping,yes,no,1.0,right,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,3.0,control,no,yes,1.0,right,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,4.0,control,yes,no,1.0,right,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,5.0,tapping,no,yes,1.0,right,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,6.0,tapping,no,yes,1.0,right,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,7.0,tapping,yes,no,1.0,right,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,8.0,control,no,yes,1.0,right,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,9.0,tapping,no,yes,1.0,right,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,10.0,tapping,yes,no,1.0,right,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,11.0,control,yes,no,1.0,right,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,12.0,control,no,yes,1.0,right,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,13.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,14.0,control,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,15.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,16.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,17.0,control,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,18.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,19.0,control,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,20.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,21.0,control,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,22.0,control,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,23.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,24.0,control,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,25.0,control,no,yes,1.0,right,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,26.0,control,yes,no,1.0,right,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,27.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,28.0,control,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,29.0,control,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,30.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,31.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,32.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,33.0,control,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,34.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,35.0,control,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,36.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,37.0,tapping,yes,no,1.0,right,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,38.0,control,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,39.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,40.0,tapping,no,yes,1.0,right,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,41.0,tapping,no,yes,1.0,right,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,42.0,control,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,43.0,tapping,no,yes,2.0,left,1.0
call2004inferences,5,gorgo,20.0,m,gorilla,44.0,control,no,yes,1.0,right,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,45.0,control,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,46.0,tapping,yes,no,2.0,left,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,47.0,control,no,yes,1.0,right,0.0
call2004inferences,5,gorgo,20.0,m,gorilla,48.0,control,yes,no,2.0,left,0.0
call2004inferences,5,ruby_b'windi,4.0,f,gorilla,1.0,tapping,yes,no,1.0,right,1.0
call2004inferences,5,ruby_b'windi,4.0,f,gorilla,2.0,control,no,yes,1.0,right,0.0
