study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,yawn_baseline,yawn_experimental,nosewipe_baseline,nosewipe_experimental,scratch_baseline,scratch_experimental,wristshake_baseline,wristshake_experimental,handclose_baseline,handclose_experimental
amici2014response,1,task_1_imitation_1_human,2006,2,27,yasa,8,f,bonobo,hand_closing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,14,yasa,8,f,bonobo,nose_wiping,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,14,yasa,8,f,bonobo,nose_wiping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,27,yasa,8,f,bonobo,scratching,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,27,yasa,8,f,bonobo,scratching,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,18,yasa,8,f,bonobo,wrist_shaking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,18,yasa,8,f,bonobo,wrist_shaking,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,9,yasa,8,f,bonobo,yawning,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,10,yasa,8,f,bonobo,yawning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,27,alex,4,m,chimpanzee,hand_closing,0.0,0.0,3.0,5.0,2.0,7.0,13.0,14.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,27,alex,4,m,chimpanzee,hand_closing,0.0,0.0,4.0,3.0,7.0,10.0,23.0,24.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,15,alex,4,m,chimpanzee,nose_wiping,0.0,0.0,1.0,2.0,1.0,8.0,11.0,7.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,15,alex,4,m,chimpanzee,nose_wiping,0.0,0.0,6.0,5.0,5.0,4.0,6.0,6.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,24,alex,4,m,chimpanzee,scratching,0.0,0.0,3.0,3.0,3.0,2.0,5.0,4.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,24,alex,4,m,chimpanzee,scratching,0.0,0.0,3.0,0.0,4.0,7.0,2.0,1.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,16,alex,4,m,chimpanzee,wrist_shaking,0.0,0.0,0.0,1.0,1.0,4.0,5.0,15.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,20,alex,4,m,chimpanzee,wrist_shaking,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,16,alex,4,m,chimpanzee,yawning,0.0,0.0,3.0,2.0,0.0,0.0,19.0,16.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,13,alex,4,m,chimpanzee,yawning,0.0,0.0,0.0,1.0,5.0,0.0,1.0,4.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,16,alexandra,6,f,chimpanzee,hand_closing,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,20,alexandra,6,f,chimpanzee,hand_closing,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,24,alexandra,6,f,chimpanzee,nose_wiping,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
