study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,condition,yawn_pre,yawn_video,yawn_post,nosewipe_pre,nosewipe_video,nosewipe_post,scratch_pre,scratch_video,scratch_post
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,fraukje,29,f,chimpanzee,1.0,1.0,yawning,0,0,0.0,1,0,0,5,0,6
amici2014response,2,task_2_imitation_1b_ape,2006,3,8,fraukje,29,f,chimpanzee,2.0,2.0,nose_wiping,0,0,0.0,1,2,2,2,8,8
amici2014response,2,task_2_imitation_1b_ape,2006,2,10,fraukje,29,f,chimpanzee,2.0,2.0,scratching,0,0,0.0,2,1,1,10,3,7
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,fraukje,29,f,chimpanzee,2.0,2.0,yawning,0,0,0.0,0,2,0,1,5,2
amici2014response,2,task_2_imitation_1b_ape,2006,3,8,frodo,12,m,chimpanzee,1.0,1.0,nose_wiping,0,0,0.0,0,1,2,0,3,15
amici2014response,2,task_2_imitation_1b_ape,2006,2,10,frodo,12,m,chimpanzee,1.0,1.0,scratching,0,0,0.0,3,1,5,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,frodo,12,m,chimpanzee,1.0,1.0,yawning,0,0,2.0,0,2,1,5,0,1
amici2014response,2,task_2_imitation_1b_ape,2006,3,8,frodo,12,m,chimpanzee,2.0,2.0,nose_wiping,0,0,0.0,1,1,3,6,7,8
amici2014response,2,task_2_imitation_1b_ape,2006,2,10,frodo,12,m,chimpanzee,2.0,2.0,scratching,0,0,0.0,2,1,1,1,4,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,frodo,12,m,chimpanzee,2.0,2.0,yawning,0,1,1.0,2,3,4,12,8,3
amici2014response,2,task_2_imitation_1b_ape,2006,2,28,jahaga,13,f,chimpanzee,1.0,1.0,nose_wiping,0,0,0.0,2,2,3,8,33,27
amici2014response,2,task_2_imitation_1b_ape,2006,4,16,jahaga,13,f,chimpanzee,1.0,1.0,scratching,0,0,0.0,3,0,2,24,11,17
amici2014response,2,task_2_imitation_1b_ape,2006,1,31,jahaga,13,f,chimpanzee,1.0,1.0,yawning,0,2,0.0,0,4,4,17,25,33
amici2014response,2,task_2_imitation_1b_ape,2006,2,28,jahaga,13,f,chimpanzee,2.0,2.0,nose_wiping,0,0,0.0,1,0,0,5,5,7
amici2014response,2,task_2_imitation_1b_ape,2006,4,16,jahaga,13,f,chimpanzee,2.0,2.0,scratching,0,0,0.0,2,1,1,17,31,29
amici2014response,2,task_2_imitation_1b_ape,2006,9,2,jahaga,13,f,chimpanzee,2.0,2.0,yawning,0,0,4.0,4,3,4,4,32,49
amici2014response,2,task_2_imitation_1b_ape,2006,3,8,patrick,8,m,chimpanzee,1.0,1.0,nose_wiping,0,0,0.0,1,0,1,0,35,13
amici2014response,2,task_2_imitation_1b_ape,2006,2,10,patrick,8,m,chimpanzee,1.0,1.0,scratching,0,0,0.0,0,0,0,2,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,patrick,8,m,chimpanzee,1.0,1.0,yawning,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,8,patrick,8,m,chimpanzee,2.0,2.0,nose_wiping,0,0,0.0,0,0,0,1,1,0
amici2014response,2,task_2_imitation_1b_ape,2006,2,10,patrick,8,m,chimpanzee,2.0,2.0,scratching,0,0,0.0,2,0,2,0,1,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,patrick,8,m,chimpanzee,2.0,2.0,yawning,0,0,0.0,2,1,0,1,7,3
amici2014response,2,task_2_imitation_1b_ape,2006,3,24,riet,28,f,chimpanzee,1.0,1.0,nose_wiping,0,0,0.0,0,0,0,7,3,9
amici2014response,2,task_2_imitation_1b_ape,2006,2,10,riet,28,f,chimpanzee,1.0,1.0,scratching,0,0,0.0,1,0,0,0,1,4
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,riet,28,f,chimpanzee,1.0,1.0,yawning,0,0,0.0,0,1,1,1,1,1
amici2014response,2,task_2_imitation_1b_ape,2006,3,24,riet,28,f,chimpanzee,2.0,2.0,nose_wiping,1,0,0.0,1,0,0,7,8,5
amici2014response,2,task_2_imitation_1b_ape,2006,2,10,riet,28,f,chimpanzee,2.0,2.0,scratching,0,0,0.0,1,1,0,1,1,3
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,riet,28,f,chimpanzee,2.0,2.0,yawning,0,2,3.0,1,0,0,0,12,5
amici2014response,2,task_2_imitation_1b_ape,2006,3,10,robert,30,m,chimpanzee,1.0,1.0,nose_wiping,0,0,0.0,2,0,0,8,28,13
amici2014response,2,task_2_imitation_1b_ape,2006,2,10,robert,30,m,chimpanzee,1.0,1.0,scratching,0,0,1.0,1,4,3,1,7,15
