study_id,participant,age_in_years,sex,species,sessions,trial,lottery,exchange,reward_obtained,visible_probability_of_gain,real_probability_of_gain,cover_position,number_large_visible_rewards,level_of_information,previous_rewards
romain2021non,pini,23,f,orangutan,1,1,1,yes,large,1,1,no_cover,6,risk,none
romain2021non,pini,23,f,orangutan,1,2,3,yes,large,1,1,cover_middle,4,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,1,3,19,yes,small,0,"0,33",cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,1,4,14,yes,large,"0,5","0,5",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,1,5,24,yes,large,"0,17","0,17",no_cover,1,risk,large
romain2021non,pini,23,f,orangutan,1,6,17,yes,large,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,1,7,5,yes,large,1,"0,83",cover_right,4,ambiguous,large
romain2021non,pini,23,f,orangutan,1,8,21,yes,large,"0,25","0,17",cover_right,1,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,1,9,8,yes,large,"0,83","0,83",no_cover,5,risk,large
romain2021non,pini,23,f,orangutan,1,10,18,yes,small,"0,5","0,33",cover_middle,2,ambiguous,large
romain2021non,pini,23,f,orangutan,1,11,15,yes,large,"0,25","0,5",cover_left,1,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,1,12,16,yes,small,"0,5","0,5",no_cover,3,risk,large
romain2021non,pini,23,f,orangutan,1,13,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,1,14,2,yes,large,1,1,cover_right,4,ambiguous,small
romain2021non,pini,23,f,orangutan,1,15,26,yes,small,0,0,cover_middle,0,predictability_disadvantageous,none
romain2021non,pini,23,f,orangutan,1,16,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,1,17,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,1,18,20,yes,large,"0,33","0,33",no_cover,2,risk,large
romain2021non,pini,23,f,orangutan,1,19,9,yes,large,1,"0,67",cover_right,4,ambiguous,large
romain2021non,pini,23,f,orangutan,1,20,27,yes,small,0,0,cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,1,21,10,yes,large,"0,5","0,67",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,1,22,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,1,23,12,yes,large,"0,67","0,67",no_cover,4,risk,large
romain2021non,pini,23,f,orangutan,1,24,13,yes,large,"0,75","0,5",cover_right,3,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,1,25,28,no,medium,0,0,no_cover,0,risk,large
romain2021non,pini,23,f,orangutan,1,26,4,yes,large,1,1,cover_left,4,predictability_advantageous,medium
romain2021non,pini,23,f,orangutan,1,27,23,yes,small,0,"0,17",cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,1,28,25,yes,small,0,0,cover_right,0,predictability_disadvantageous,small
